Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,477.44,457.94,469.03,474.41,471.89,490.72,501.25,490.83,431.96,447.9,427.86
Other Operating Income,--,--,--,--,--,--,--,--,20.01,--,--
Total Income From Operations,477.44,457.94,469.03,474.41,471.89,490.72,501.25,490.83,451.97,447.9,427.86
EXPENDITURE,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,0.05,--,--,0.0,0.01,0.2
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,118.49,114.51,110.46,111.55,121.09,129.23,125.76,111.81,120.19,131.59,134.55
Depreciation,42.3,42.89,43.6,48.27,52.41,54.53,51.71,52.75,47.52,44.82,41.27
Excise Duty,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,6.79,-8.75,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,314.59,303.48,318.22,331.52,306.11,319.66,321.85,308.07,282.88,338.49,296.74
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-4.73,5.81,-3.25,-16.93,-7.72,-12.75,1.93,18.2,1.38,-67.01,-44.9
Other Income,29.46,44.15,26.15,46.88,64.26,42.13,48.11,41.93,51.56,33.56,32.83
"P/L Before Int., Excpt. Items & Tax",24.73,49.96,22.9,29.95,56.54,29.38,50.04,60.13,52.95,-33.45,-12.07
Interest,10.54,10.35,10.86,12.91,9.68,17.13,20.97,19.93,18.38,15.86,14.21
P/L Before Exceptional Items & Tax,14.19,39.61,12.04,17.04,46.86,12.25,29.07,40.2,34.56,-49.31,-26.28
Exceptional Items,--,--,--,--,--,49.21,-23.17,-10.0,--,--,--
P/L Before Tax,14.19,39.61,12.04,17.04,46.86,61.46,5.9,30.2,34.56,-49.31,-26.28
Tax,3.29,10.19,3.35,4.37,11.07,3.84,6.53,24.03,-2.45,3.29,-6.44
P/L After Tax from Ordinary Activities,10.9,29.42,8.69,12.67,35.79,57.62,-0.63,6.17,37.01,-52.6,-19.84
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,10.9,29.42,8.69,12.67,35.79,57.62,-0.63,6.17,37.01,-52.6,-19.84
Equity Share Capital,44.14,44.09,44.06,44.05,44.01,43.77,36.43,36.43,36.43,36.42,36.43
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,
Basic EPS,0.25,0.67,0.2,0.29,0.82,1.38,-0.02,0.17,1.02,-1.45,-0.57
Diluted EPS,0.25,0.66,0.2,0.29,0.81,1.35,-0.02,0.17,--,-1.45,-0.57
EPS After Extra Ordinary,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,
Notes,,,,,,,,,,,
