Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2011-03-31,37.7,37.7,238.51,238.51,276.21,128.48,5.37,11.84,5.1,150.8,146.28,131.75,84.9,25.91,388.84,815.85,271.99,0.0,26.5,0.0,0.0,298.49,3.35,0.0,6.54,0.0,308.39,0.0,219.23,201.97,1.29,84.97,0.0,507.46,815.85,120.29,24.46,360.48,0.47,3.35,178.82,4.35,0.0
2012-03-31,37.7,37.7,323.16,323.16,360.86,94.86,9.53,12.29,5.39,122.07,139.46,181.93,150.57,35.66,507.62,990.55,267.82,0.0,58.24,0.0,0.0,326.06,3.35,0.0,34.99,0.0,364.4,0.0,258.74,186.83,25.72,154.85,0.0,626.15,990.55,51.17,38.95,467.96,11.6,3.35,186.31,2.18,0.0
2013-03-31,37.7,37.7,422.06,422.06,459.76,70.53,13.9,12.76,6.06,103.25,70.11,234.25,69.25,62.06,435.67,998.68,344.22,0.0,32.26,0.0,0.0,376.48,3.35,0.0,35.88,0.0,415.72,0.0,266.83,232.38,4.25,79.5,0.0,582.97,998.68,51.7,55.39,465.02,15.22,3.35,155.42,9.09,0.0
2014-03-31,37.7,37.7,591.99,591.99,629.7,52.22,22.72,12.7,6.68,94.32,25.42,281.9,60.62,70.48,438.43,1162.45,396.96,0.0,20.67,0.0,0.0,417.63,33.33,0.0,41.64,0.0,492.6,0.0,310.78,260.56,5.34,93.17,0.0,669.85,1162.45,68.6,69.44,750.17,21.79,33.33,176.49,16.83,0.0
2015-03-31,37.7,37.7,795.86,795.86,833.57,18.8,31.43,12.84,9.36,72.44,149.81,302.38,58.36,94.6,605.15,1511.16,488.68,0.0,83.14,0.0,0.0,571.82,33.33,0.0,65.03,0.0,670.18,0.0,382.48,337.94,4.41,116.15,0.0,840.98,1511.16,152.5,103.25,808.45,19.97,33.33,204.97,2.73,3.76
2016-03-31,37.7,37.7,1492.58,1492.58,1530.28,0.0,50.02,13.05,28.23,91.3,0.0,500.21,51.32,16.0,567.53,2189.11,697.25,0.0,92.34,0.0,0.0,789.59,37.46,0.0,48.75,0.0,875.8,0.0,533.72,371.5,284.81,123.28,0.0,1313.31,2189.11,0.0,196.35,1755.08,25.97,37.46,328.3,2.35,4.81
2017-03-31,37.7,37.7,1829.62,1829.62,1867.32,0.0,43.78,12.57,57.22,113.57,0.0,465.82,48.77,12.3,526.89,2507.78,799.01,0.0,347.75,0.0,0.0,1146.76,103.04,0.0,36.52,0.0,1286.32,0.0,574.62,466.06,0.69,20.19,159.9,1221.46,2507.78,394.77,0.0,0.0,0.0,103.04,0.0,0.0,0.0
2018-03-31,37.7,37.7,2156.93,2156.93,2194.63,500.0,44.64,0.0,61.33,605.97,121.53,601.98,140.28,13.5,877.29,3677.89,918.3,0.0,740.64,0.0,0.0,1658.94,298.89,0.0,0.0,44.37,2002.2,0.0,669.93,621.66,15.63,0.0,368.47,1675.69,3677.89,317.89,0.0,0.0,0.0,298.89,0.0,0.0,0.0
2019-03-31,37.7,37.7,2674.71,2674.71,2712.41,499.3,45.27,0.0,51.33,595.9,359.98,529.91,318.46,32.37,1240.72,4549.03,1077.08,0.0,1106.89,0.0,8.35,2192.32,506.39,0.0,0.0,14.31,2713.02,0.0,891.41,539.75,150.8,0.0,254.05,1836.01,4549.03,409.05,606.48,0.0,1945.27,506.39,0.0,0.0,0.0
2020-03-31,37.7,37.7,3308.32,3308.32,3346.02,886.99,45.76,73.3,73.21,1079.26,800.04,393.17,222.11,38.17,1453.49,5878.77,1268.11,0.0,1569.98,0.0,8.35,2846.44,833.25,0.0,0.0,47.71,3727.4,0.0,1073.19,784.11,37.13,0.0,256.94,2151.37,5878.77,455.59,606.2,0.0,2180.77,833.25,0.0,0.0,0.0
