Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19
Net Sales/Income from operations,4673.95,4618.69,4421.04,4358.64,4347.72,4621.7,4087.35,3911.88,3762.16,3507.12,3297.08,3100.3,2850.31,2889.46,2576.24,2361.9,2308.68,2403.2,2413.4,2152.2,2433.24,2479.12,2296.07,2067.97,1983.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,4673.95,4618.69,4421.04,4358.64,4347.72,4621.7,4087.35,3911.88,3762.16,3507.12,3297.08,3100.3,2850.31,2889.46,2576.24,2361.9,2308.68,2403.2,2413.4,2152.2,2433.24,2479.12,2296.07,2067.97,1983.26
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,154.25,152.28,148.77,134.13,132.23,144.37,147.84,145.26,152.13,142.14,129.01,138.61,120.66,120.92,114.73,116.4,126.16,131.18,122.15,112.09,133.42,124.19,104.23,106.54,94.13
Depreciation,-1.69,48.76,50.35,49.37,51.63,50.78,46.8,47.56,45.06,41.03,38.58,39.16,39.18,36.94,39.8,32.64,34.11,31.19,30.06,27.91,28.67,26.55,19.25,29.32,16.45
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,1245.12,1313.14,1212.04,1100.63,944.4,882.91,741.55,718.56,629.76,533.04,545.99,450.25,392.77,625.48,593.91,643.68,643.23,648.27,861.73,485.32,838.19,376.26,329.17,396.63,351.73
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1920.27,1906.11,1811.77,1632.46,1734.33,2230.46,1870.95,1767.1,1782.69,1791.33,1666.38,1485.53,1416.9,1560.99,1228.77,1018.91,1186.58,1185.33,956.43,767.39,1063.61,1107.77,1102.41,935.52,956.27
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1356.0,1198.4,1198.11,1442.05,1485.13,1313.18,1280.21,1233.4,1152.52,999.58,917.12,986.75,880.8,545.13,599.03,550.27,318.6,407.23,443.03,759.5,369.35,844.35,741.0,599.97,564.68
Other Income,157.79,147.87,134.78,123.95,126.85,119.9,134.05,134.23,154.41,149.03,156.24,162.55,165.79,250.2,119.22,89.04,159.46,136.57,99.33,43.4,77.16,84.09,80.13,234.51,92.99
"P/L Before Int., Excpt. Items & Tax",1513.79,1346.27,1332.89,1566.0,1611.98,1433.08,1414.26,1367.63,1306.93,1148.61,1073.36,1149.3,1046.59,795.33,718.25,639.31,478.06,543.81,542.36,802.9,446.51,928.43,821.14,834.48,657.68
Interest,795.26,828.64,787.68,766.83,723.82,695.49,604.86,571.07,507.26,464.28,367.71,308.38,267.37,276.81,254.13,229.01,243.66,260.93,264.17,274.63,334.42,345.22,319.34,301.94,272.78
P/L Before Exceptional Items & Tax,718.53,517.63,545.21,799.17,888.16,737.59,809.4,796.56,799.67,684.33,705.65,840.92,779.22,518.52,464.12,410.3,234.4,282.88,278.19,528.27,112.09,583.21,501.79,532.54,384.9
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,718.53,517.63,545.21,799.17,888.16,737.59,809.4,796.56,799.67,684.33,705.65,840.92,779.22,518.52,464.12,410.3,234.4,282.88,278.19,528.27,112.09,583.21,501.79,532.54,384.9
Tax,184.35,134.4,140.79,204.72,225.79,188.51,206.42,203.25,203.2,174.87,180.01,214.01,198.36,132.74,119.22,105.69,58.98,73.22,72.04,134.98,28.54,148.54,120.78,186.95,136.16
P/L After Tax from Ordinary Activities,534.18,383.23,404.42,594.45,662.37,549.08,602.98,593.31,596.47,509.46,525.64,626.91,580.86,385.78,344.9,304.61,175.42,209.66,206.15,393.29,83.54,434.67,381.01,345.6,248.74
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
