Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2018-12-31,436.82,21.31,0.62,3.63,48.49,182.02,135.54,120.45,72.86,7.0,65.86,20.55,45.31,45.31,1440.04,22.16,0.22,0.22,127.77,23.75,1.41,0.26,0.43
2019-03-31,502.77,28.59,0.58,3.96,66.33,216.19,150.61,150.85,84.58,12.37,72.21,8.43,63.78,63.78,1440.04,18.95,1.2,1.2,97.85,27.55,0.92,0.26,0.51
2019-06-30,567.2,35.02,0.44,2.71,100.13,252.91,159.39,131.96,161.24,18.79,142.45,47.97,94.48,94.48,1440.04,19.0,0.66,0.66,95.78,29.12,0.84,0.26,0.68
2019-09-30,619.83,31.46,1.3,1.74,75.03,266.36,177.79,143.82,141.39,24.79,116.6,23.97,92.63,92.63,1440.04,18.84,0.55,0.55,109.4,42.53,0.85,0.33,0.61
2019-12-31,666.47,36.02,2.92,1.01,74.89,279.89,196.41,161.0,144.01,30.53,113.48,23.82,89.66,89.66,1728.22,28.38,0.58,0.58,129.45,51.49,0.95,0.38,0.54
2020-03-31,698.22,36.2,3.07,0.0,72.16,270.85,184.9,163.3,190.6,96.88,93.72,20.57,73.15,73.15,1728.22,28.82,0.42,0.42,137.14,27.49,0.97,0.2,0.42
2020-06-30,697.63,41.54,7.11,0.0,28.7,288.27,185.76,86.26,214.69,140.34,74.35,19.7,54.65,54.65,1728.22,28.68,0.32,0.32,139.82,25.1,0.97,0.18,0.29
2020-09-30,700.57,43.96,9.08,0.0,64.4,283.47,189.8,112.57,232.17,100.52,131.65,35.65,96.0,96.0,1728.22,30.99,0.56,0.56,136.09,19.08,0.98,0.14,0.5
2020-12-31,637.75,45.3,5.27,0.0,100.43,256.04,203.94,124.99,203.78,583.45,-379.67,-100.84,-278.83,-278.83,1728.25,26.93,-1.61,-1.61,130.58,6.4,0.96,0.05,-1.51
2021-03-31,564.43,42.17,11.25,0.0,117.29,249.73,169.28,157.47,158.66,-25.22,183.88,47.39,136.49,136.49,1728.31,26.44,0.79,0.79,1070.6,424.58,7.07,2.93,0.69
