Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,675.9,500.18,413.74,482.68,365.66,486.46,346.07,450.09,185.26,228.03,172.96,307.55,303.35,273.51,189.45,214.8,247.56,257.11,169.75,114.08,260.84,263.76,237.49,187.61,269.42,229.35,302.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,675.9,500.18,413.74,482.68,365.66,486.46,346.07,450.09,185.26,228.03,172.96,307.55,303.35,273.51,189.45,214.8,247.56,257.11,169.75,114.08,260.84,263.76,237.49,187.61,269.42,229.35,302.26
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,530.81,393.18,293.17,402.85,275.34,328.6,280.79,377.84,142.42,148.81,97.68,191.77,272.71,187.1,115.02,155.21,147.08,161.75,102.11,80.11,198.62,134.9,131.61,142.33,--,-170.91,170.91
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,2.58,23.27,-23.37,16.78,50.62,-8.41,-14.34,-5.14,-18.99,4.06,42.4,-37.42,-24.69,-1.13,2.98,0.11,-5.58,2.76,-0.94,-3.47,2.21,14.63,-12.71,-4.56,-1.35,7.53
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,16.83,15.49,13.16,12.69,11.24,11.68,10.55,13.8,9.84,10.32,8.62,8.29,9.44,8.6,8.25,8.19,7.86,9.84,7.42,8.97,11.11,9.75,9.84,10.69,10.3,10.9,9.47
Depreciation,2.18,1.93,1.84,1.9,1.9,1.86,1.82,1.88,1.83,10.22,10.21,10.3,10.21,10.11,10.28,10.32,10.26,10.27,10.26,10.41,10.38,10.37,10.36,10.49,10.47,10.45,10.42
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
