Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15
EQUITIES AND LIABILITIES,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,
Equity Share Capital,1610.97,1610.97,1610.84,1610.77,1610.6,1610.25,1193.08,1192.8,1095.14,1095.14,501.05
Total Share Capital,1610.97,1610.97,1610.84,1610.77,1610.6,1610.25,1193.08,1192.8,1095.14,1095.14,501.05
Reserves and Surplus,22748.13,19954.48,17973.32,15770.38,15797.58,13585.21,10008.66,8189.14,3351.31,2239.36,0.58
Total Reserves and Surplus,22748.13,19954.48,17973.32,15770.38,15797.58,13585.21,10008.66,8189.14,3351.31,2239.36,0.58
Employees Stock Options,245.91,44.19,0.0,,,,,,,,0.0
Total ShareHolders Funds,24605.01,21609.64,19584.15,17381.15,17408.18,15195.46,11201.75,9381.95,4446.46,3334.5,501.63
Deposits,151212.5,135201.99,108069.31,96330.61,77972.22,57081.5,43231.62,33869.0,23228.66,12088.75,0.0
Borrowings,11138.49,16371.52,24710.82,19921.23,16960.36,16379.18,521.35,285.0,1028.94,3051.65,0.0
Other Liabilities and Provisions,4520.29,4658.51,3405.68,5233.55,2652.29,3061.66,1486.99,774.11,1532.04,1281.6,25.26
Total Capital and Liabilities,191476.29,177841.66,155769.97,138866.55,114993.05,91717.8,56441.71,44310.06,30236.09,19756.5,526.89
ASSETS,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,7477.45,15392.68,7326.58,4942.56,5235.39,6344.91,3879.15,2837.07,6012.07,810.29,0.01
Balances with Banks Money at Call and Short Notice,2091.94,777.84,923.14,4378.79,957.56,2008.0,1923.5,2673.52,1352.93,2363.11,401.25
Investments,40712.28,29287.58,32365.89,29078.71,25155.39,15351.77,10037.48,8371.94,5516.49,3758.03,0.0
Advances,131987.32,121136.78,104756.77,93974.93,81612.88,66629.95,39643.39,29713.04,16839.08,12437.55,0.0
Fixed Assets,1180.38,1173.43,854.59,587.89,486.71,368.77,331.2,238.13,251.79,237.23,108.61
Other Assets,8026.92,10073.34,9542.99,5903.67,1545.13,1014.41,626.98,476.37,263.74,150.29,17.02
Total Assets,191476.29,177841.66,155769.97,138866.55,114993.05,91717.8,56441.71,44310.06,30236.09,19756.5,526.89
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,
Number of Branches,0.0,0.0,1411.0,1189.0,1147.0,1018.0,986.0,936.0,0.0,0.0,0.0
Number of Employees,0.0,0.0,69702.0,60211.0,49445.0,39750.0,32342.0,28159.0,0.0,0.0,0.0
Capital Adequacy Ratios (%),18.71,18.28,19.76,20.1,23.47,27.43,29.2,31.48,0.0,0.0,0.0
KEY PERFORMANCE INDICATORS,,,,,,,,,,,
Tier 1 (%),0.0,0.0,18.7,18.89,22.48,25.19,27.88,30.3,0.0,0.0,0.0
Tier 2 (%),0.0,0.0,1.06,1.21,0.99,2.24,1.32,1.18,0.0,0.0,0.0
ASSETS QUALITY,,,,,,,,,,,
Gross NPA,6435.56,4784.88,5298.62,6380.0,5757.76,992.78,819.56,373.14,0.0,0.0,0.0
Gross NPA (%),4.71,3.84,4.87,6.46,7.0,1.0,2.0,1.0,0.0,0.0,0.0
Net NPA,1692.85,1347.61,1228.27,1564.23,2861.03,389.4,228.32,172.9,0.0,0.0,0.0
Net NPA (%),1.28,1.11,1.17,1.66,3.51,0.58,0.58,0.58,0.0,0.0,0.0
Net NPA To Advances (%),1.53,1.44,1.17,1.66,4.0,1.0,1.0,1.0,0.0,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,
Contingent Liabilities,0.0,0.0,8277.44,12405.53,1341.91,466.58,120.94,76.24,0.0,0.0,103.03
Bills for Collection,,,,,,,0.17,0.0,0.0,0.0,0.0
Preference Share Capital,,,,,,,,,,,0.0
Revaluation Reserve,,,,,,,,,,,0.0
Money Against Share Warrants,,,,,,,,,,,0.0
Equity Share Application Money,,,,,,,,,,,0.0
Preference Share Application Money,,,,,,,,,,,0.0
Share Capital Suspense,,,,,,,,,,,0.0
