Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,4763.56,4852.37,4882.02,4869.52,4629.29,4082.95,3888.25,3905.72,3698.41,3260.29,3264.62,3551.84,3440.44,2975.34,2777.68,2990.44,2570.46,2906.82,2792.55,2621.96,2463.24,2371.15,2370.15,2281.71,1593.79,1435.55,1399.84,1298.05,1178.52,954.89,897.31,792.89,860.01,--
(b) Income on Investment,582.23,548.36,518.89,532.39,474.36,492.31,531.09,515.81,502.14,486.38,455.54,442.24,403.05,394.42,339.41,341.43,356.85,315.77,272.29,229.25,246.54,200.6,195.5,190.16,155.54,151.25,159.44,150.89,136.47,129.75,119.56,104.24,103.95,--
(c) Int. on balances With RBI,9.29,15.92,30.24,41.72,22.37,18.06,13.83,23.55,9.75,14.14,13.84,31.64,18.71,38.67,58.38,24.76,12.45,18.36,46.73,40.67,30.16,53.14,51.25,28.7,11.66,12.6,12.54,34.61,9.57,21.09,36.86,74.09,29.25,--
(d) Others,78.78,62.08,68.67,92.19,63.33,72.11,58.77,77.83,57.95,46.83,39.45,29.65,9.37,0.23,5.43,53.38,60.89,66.89,86.06,126.21,106.35,92.74,73.37,130.73,71.7,50.14,33.81,72.62,26.04,72.49,66.39,182.14,85.12,1014.05
Other Income,699.62,1095.85,594.72,527.54,694.12,545.16,540.25,385.12,629.14,1033.31,476.41,329.69,964.4,712.29,491.63,533.36,787.25,553.28,381.76,386.76,500.18,357.72,360.27,331.02,387.83,234.1,230.44,210.69,203.38,158.2,222.64,121.96,129.43,85.14
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,2677.97,2648.45,2551.55,2530.8,2323.07,2140.07,2048.57,2032.29,1796.48,1727.21,1580.46,1540.94,1331.73,1283.96,1245.47,1295.94,1243.65,1236.1,1274.54,1206.56,1166.25,1177.35,1161.23,1056.75,575.21,525.55,528.19,519.0,487.19,446.44,426.56,409.87,388.61,407.75
Employees Cost,1084.22,1227.35,1044.03,1005.38,970.2,898.72,862.29,811.7,727.42,686.71,666.31,634.63,570.38,519.03,545.68,499.79,425.69,434.76,414.78,389.4,362.07,340.49,332.71,331.77,269.93,255.75,234.16,248.85,188.6,162.96,173.24,163.18,149.53,--
Other Expenses,799.96,677.42,643.85,586.29,751.7,516.49,537.93,501.73,577.84,504.85,450.21,388.85,412.47,367.81,332.13,276.56,389.09,276.18,262.56,224.7,297.46,293.63,249.67,218.75,222.17,201.87,199.74,178.49,174.37,152.56,148.01,145.39,139.54,280.85
