Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Mar '19
Net Sales/Income from operations,275.39,236.06,222.09,243.52,212.83,224.62,344.03,364.39,348.49,278.4,338.8,363.85,391.59,300.99,263.8,259.16,274.93,237.39,238.23,184.76,178.71,272.93,250.92
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,275.39,236.06,222.09,243.52,212.83,224.62,344.03,364.39,348.49,278.4,338.8,363.85,391.59,300.99,263.8,259.16,274.93,237.39,238.23,184.76,178.71,272.93,250.92
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,55.11,39.17,34.73,63.16,60.65,46.95,77.62,89.57,135.16,84.34,112.29,130.28,118.48,118.86,91.84,87.37,79.76,77.18,66.0,64.24,56.86,60.48,62.35
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-7.97,6.84,21.97,17.02,6.39,8.97,21.5,20.88,-26.51,0.33,15.64,-19.94,0.96,-26.28,-15.09,3.98,-13.55,-3.56,4.75,-11.27,-13.04,30.58,13.02
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,50.34,44.25,43.17,37.1,30.62,26.51,26.27,22.9,27.26,25.89,24.79,31.12,25.01,23.19,21.16,16.51,21.35,20.93,17.44,19.52,17.57,15.26,16.28
Depreciation,13.44,12.29,12.0,15.66,11.33,10.48,11.15,10.63,10.91,10.76,10.55,10.42,10.51,9.18,8.99,8.31,8.76,7.5,7.06,7.05,5.6,5.53,5.96
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,2.01,2.27,2.07,2.23,2.14,2.19,--,--,1.51,2.66,3.81,--,--,--,5.29,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,62.45,44.79,39.17,54.1,47.03,44.83,48.75,54.41,63.23,59.13,29.1,62.67,58.92,63.44,51.28,56.1,46.56,40.53,37.93,34.92,37.66,35.84,37.26
"P/L Before Other Inc. , Int., Excpt. Items & Tax",102.02,88.72,71.05,56.48,56.8,86.87,158.73,164.0,136.15,95.89,144.19,147.15,175.52,112.6,105.62,85.38,129.4,90.99,105.04,70.3,74.06,119.95,116.06
Other Income,15.18,13.43,17.95,16.87,13.97,14.2,10.06,10.75,12.51,10.39,10.9,134.4,9.27,38.34,5.78,3.3,4.84,0.36,5.74,5.34,4.89,5.45,0.41
"P/L Before Int., Excpt. Items & Tax",117.2,102.15,89.0,73.34,70.77,101.07,168.79,174.76,148.66,106.28,155.09,281.54,184.8,150.93,111.41,88.68,134.24,91.35,110.78,75.64,78.95,125.4,116.47
Interest,2.6,1.47,1.6,2.29,1.27,0.5,1.15,2.29,1.38,0.29,1.43,2.19,0.74,1.18,2.13,1.87,2.73,3.26,3.21,7.2,7.18,3.99,1.74
P/L Before Exceptional Items & Tax,114.6,100.68,87.4,71.06,69.5,100.57,167.65,172.47,147.28,105.99,153.66,279.36,184.05,149.76,109.28,86.81,131.51,88.09,107.58,68.44,71.77,121.41,114.73
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,114.6,100.68,87.4,71.06,69.5,100.57,167.65,172.47,147.28,105.99,153.66,279.36,184.05,149.76,109.28,86.81,131.51,88.09,107.58,68.44,71.77,121.41,114.73
Tax,28.25,24.35,22.32,17.62,17.14,25.84,43.35,42.3,37.82,27.06,39.61,54.89,47.06,34.56,27.84,22.35,33.87,22.76,26.35,15.2,19.77,31.49,39.9
P/L After Tax from Ordinary Activities,86.35,76.33,65.08,53.43,52.36,74.73,124.29,130.16,109.47,78.92,114.05,224.46,137.0,115.2,81.44,64.45,97.63,65.33,81.23,53.24,52.0,89.92,74.82
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,86.35,76.33,65.08,53.43,52.36,74.73,124.29,130.16,109.47,78.92,114.05,224.46,137.0,115.2,81.44,64.45,97.63,65.33,81.23,53.24,52.0,89.92,74.82
Equity Share Capital,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,12.73,12.73,12.73,12.73,12.73,12.73
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.39,3.0,2.56,2.1,2.06,2.94,4.88,5.11,4.3,3.1,4.48,8.82,5.38,4.53,3.2,2.53,3.84,2.57,6.38,4.18,4.09,7.06,5.88
Diluted EPS,3.37,2.98,2.56,2.1,2.06,2.94,4.88,5.11,4.3,3.1,4.48,8.82,5.38,4.53,3.2,2.53,3.84,2.57,6.38,4.18,4.09,3.53,5.88
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
