Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2015-03-31,0.05,0.05,-2.58,-2.58,0.0,-2.53,0.0,0.0,2.59,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3392.62,3392.62,10236.61,10236.61,3.32,13632.55,8219.05,47913.83,4204.44,73969.87,1900.84,1003.07,20091.18,45699.43,672.85,4602.5,73969.87,65.0,2405.0,22.04,21.5,0.54,3058.3,6.0,1139.04,2.39,2.0,2634.97,72936.7,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,3399.01,3399.01,11277.97,11277.97,1.07,14678.05,40208.22,50262.19,7011.2,112159.66,3036.29,2065.71,50471.7,49401.68,786.55,6397.73,112159.66,74.0,3905.0,18.9,18.54,0.36,1542.1,3.0,576.47,1.14,1.0,0.0,203611.23,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,3404.07,3404.07,11852.46,11852.46,0.0,15256.54,48198.2,57287.07,5778.37,126520.18,3050.86,1840.94,61201.53,52164.89,784.13,7477.83,126520.18,150.0,5814.0,18.0,17.68,0.32,1779.05,3.0,891.16,1.69,2.0,0.0,215689.88,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,4781.68,4781.68,13377.59,13377.59,0.0,18159.26,70479.01,69983.39,8563.2,167184.86,4149.53,5417.25,58475.39,86302.29,950.21,11890.21,167184.86,0.0,0.0,15.0,0.0,0.0,2136.04,2.0,1106.63,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,4809.9,4809.9,10532.7,10532.7,0.0,15342.6,65107.97,57397.19,11352.64,149200.4,3379.92,810.86,45404.58,85595.36,1037.73,12971.95,149200.4,464.0,20222.0,13.38,13.3,0.08,2279.56,3.0,808.57,0.94,1.0,914.95,280676.08,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,5675.85,5675.85,12131.95,12131.95,0.1,17807.89,88688.42,45786.09,10861.48,163143.88,4745.93,1081.93,45411.74,100550.13,1266.42,10087.74,163143.88,596.0,24169.0,13.77,13.27,0.5,4303.01,4.0,1883.28,1.86,2.0,1285.38,212474.34,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6217.71,6217.71,14769.65,14769.65,16.12,21003.48,105634.36,52962.6,10581.16,190181.61,5772.92,9984.99,46144.84,117857.8,1361.22,9059.84,190181.61,641.0,27804.0,16.74,14.88,1.86,4469.13,3.7,1808.07,1.53,1.53,1439.99,214299.08,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6618.12,6618.12,19103.05,19103.05,0.0,25721.17,144637.31,57212.09,12371.09,239941.66,10739.74,3158.22,61123.55,151794.53,2090.13,11035.49,239941.66,0.0,0.0,16.82,0.0,0.0,3884.45,3.0,1304.05,0.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,7069.92,7069.92,25032.46,25032.46,58.93,32161.31,200576.31,50935.57,12441.91,296115.1,11075.02,1405.19,74710.39,194592.37,2619.43,11712.7,296115.1,944.0,41141.0,16.11,13.36,2.75,3718.36,1.88,1160.47,0.6,0.6,3624.4,302348.05,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,7322.11,7322.11,30607.17,30607.17,148.72,38078.0,252065.25,38974.84,14700.56,343818.65,14023.5,1073.86,80715.52,233112.53,2662.65,12230.59,343818.65,0.0,0.0,15.48,0.0,0.0,4433.58,1.87,1229.92,0.53,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
