Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,19256.59,18902.41,18902.41,18902.41,16436.99,16436.99,9141.65,4890.77,2454.73,1807.27,1235.35,1235.35,924.1,797.0,618.75
Total Share Capital,19256.59,18902.41,18902.41,18902.41,16436.99,16436.99,9141.65,4890.77,2454.73,1807.27,1235.35,1235.35,924.1,797.0,618.75
Revaluation Reserve,0.0,0.0,0.0,,,,0.0,0.0,2165.44,2411.61,1706.53,1813.91,114793.66,114125.82,1159.99
Reserves and Surplus,13284.33,9039.89,6360.53,4097.98,507.82,-282.01,7218.23,8383.21,9124.38,11446.94,12699.14,13120.92,-102260.4,-102995.17,7546.19
Total Reserves and Surplus,13284.33,9039.89,6360.53,4097.98,507.82,-282.01,7218.23,8383.21,11289.82,13858.55,14405.67,14934.82,12533.26,11130.65,8706.18
Total ShareHolders Funds,32540.92,27942.3,25262.94,23000.39,16944.81,16154.98,16359.88,13273.98,13744.55,15665.82,15641.02,16170.17,13457.36,11927.65,9324.93
Deposits,311938.82,285905.38,260883.29,262158.92,240288.3,222951.88,222534.08,216831.81,211342.63,224514.24,246048.72,227976.09,202135.35,178434.18,145228.75
Borrowings,42227.66,30387.17,20803.77,3070.64,3671.58,5419.73,6146.04,9228.08,16097.67,27183.31,18232.41,24456.04,23322.86,23613.85,19355.4
Other Liabilities and Provisions,8307.54,7798.77,6795.82,11147.21,13105.67,16200.24,4968.36,8634.24,5982.64,7073.4,5714.83,6302.55,5740.46,5661.45,4875.19
Total Capital and Liabilities,395014.94,352033.62,313745.82,299377.16,274010.35,260726.83,250008.36,247968.11,247167.49,274436.76,285636.98,274904.84,244656.03,219637.13,178784.28
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,18115.55,16904.57,17148.36,16705.99,12188.25,3155.22,10292.53,11579.45,11499.97,14033.49,12637.77,11735.1,9837.82,10198.91,10010.89
Balances with Banks Money at Call and Short Notice,2954.72,1649.85,3458.73,20067.2,18588.08,20905.43,20598.97,14965.54,11723.07,8212.74,12260.77,7273.68,5420.59,6062.19,2007.76
Investments,111044.84,99632.08,94170.41,98179.31,95494.22,79416.08,66932.27,68645.94,71549.19,79189.55,81310.35,70236.8,61417.35,55565.88,48610.45
Advances,245555.17,213318.81,178052.57,144243.52,127720.65,121333.41,132597.63,132488.82,140458.62,160860.67,171756.02,175887.77,160364.12,140724.43,111832.98
Fixed Assets,4654.82,3739.75,3709.98,3364.9,2918.78,3127.34,3336.9,2893.43,3054.33,3270.46,2507.06,2604.38,1847.04,1744.05,1681.11
Other Assets,12689.84,16788.56,17205.77,16816.24,17100.36,32789.35,16250.05,17394.93,8882.31,8869.84,5165.0,7167.12,5769.11,5341.67,4641.08
Total Assets,395014.94,352033.62,313745.82,299377.16,274010.35,260726.83,250008.36,247968.11,247167.49,274436.76,285636.98,274904.84,244656.03,219637.13,178784.28
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,3217.0,3270.0,3280.0,3332.0,3373.0,3397.0,3381.0,3265.0,2902.0,2629.0,2184.0
Number of Employees,0.0,0.0,0.0,0.0,23579.0,24857.0,26354.0,27936.0,29806.0,31846.0,31947.0,29716.0,28280.0,27366.0,25626.0
Capital Adequacy Ratios (%),19.74,17.28,16.1,13.83,15.32,10.72,10.21,9.25,10.5,9.66,10.11,10.78,11.85,13.32,14.55
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,12.91,8.21,7.85,7.17,8.21,7.75,7.3,7.47,7.8,8.35,8.16
Tier 2 (%),0.0,0.0,0.0,0.0,2.41,2.51,2.36,2.09,2.28,1.92,2.81,3.31,4.05,4.97,6.39
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,5347.72,6794.43,14071.55,15298.62,16323.18,19912.7,333.98,38180.15,35098.26,30048.62,14922.45,9020.48,6607.96,3920.07,3089.59
Gross NPA (%),2.14,3.1,7.0,10.0,12.0,15.0,22.0,25.0,22.0,17.0,8.0,5.0,4.0,3.0,3.0
Net NPA,911.86,1216.86,3266.01,3824.62,4577.59,6602.8,143.68,20399.66,19749.0,19212.57,9813.33,5658.12,4027.21,1907.44,1328.42
Net NPA (%),0.37,0.57,1.83,2.65,3.58,5.44,10.81,15.33,13.99,11.89,5.68,3.2,2.5,1.35,1.19
Net NPA To Advances (%),0.92,0.81,1.0,1.0,4.0,5.0,11.0,15.0,14.0,12.0,6.0,3.0,3.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,15547.89,15348.25,15203.63,15239.38,14109.56,34982.22,39815.09,34581.7,30900.63,249.27,15838.45
Contingent Liabilities,0.0,0.0,0.0,0.0,68276.45,71030.57,56648.72,58366.45,82436.55,94982.07,98479.07,84280.17,31428.09,675.29,49329.09
