Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1970.34,2396.27,2169.86,2055.78,1630.61,2008.64,1702.27,1365.78,1378.09,1529.61,1381.14,1597.1,1593.66,1782.11,1730.6,1718.75,1740.02,1535.84,961.74,1184.72,1337.34,1460.82,1435.38,1257.42,1318.92,1489.59,1329.34,1237.14,1170.21,1259.19,1187.17,1325.24,1202.3,1423.11,1297.9,1238.48,1180.87,1122.93,1103.88,1044.97,1055.26,1127.97,883.71,872.47,895.56,906.9,620.52,690.33,717.78,752.15
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,122.88,152.92,109.77,109.71,88.37,65.81,52.56,51.86,62.25,67.12,77.65,82.46,68.42,61.55,64.09,66.05,44.06,42.27,47.66,46.83
Total Income From Operations,1970.34,2396.27,2169.86,2055.78,1630.61,2008.64,1702.27,1365.78,1378.09,1529.61,1381.14,1597.1,1593.66,1782.11,1730.6,1718.75,1740.02,1535.84,961.74,1184.72,1337.34,1460.82,1435.38,1257.42,1318.92,1489.59,1329.34,1237.14,1170.21,1259.19,1310.05,1478.16,1312.07,1532.82,1386.27,1304.29,1233.43,1174.79,1166.13,1112.09,1132.92,1210.43,952.13,934.02,959.64,972.95,664.58,732.6,765.44,798.97
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1132.48,1398.78,1287.01,1092.8,1087.06,1124.8,1014.06,748.38,775.66,944.82,819.0,798.32,882.23,944.14,889.53,913.5,822.12,686.74,401.66,608.51,677.42,715.33,722.68,630.8,669.03,788.71,673.64,591.11,565.32,554.73,701.13,668.06,679.66,769.69,634.53,559.9,602.2,540.76,471.49,508.63,548.24,581.88,540.89,481.99,556.38,525.01,408.41,399.13,424.53,467.11
Purchase of Traded Goods,31.43,100.79,109.48,74.26,54.21,81.72,94.47,28.42,14.32,63.02,71.36,108.53,67.06,101.18,104.34,76.54,82.73,35.94,29.26,32.37,16.29,13.68,13.18,12.94,17.35,23.41,14.2,8.39,6.37,11.46,4.18,8.79,9.83,22.42,14.37,7.16,6.12,7.41,4.04,1.99,1.37,0.0,2.64,1.44,2.97,1.64,0.92,-0.95,3.41,2.22
Increase/Decrease in Stocks,15.61,-4.68,-28.82,87.62,-207.03,29.53,-113.29,29.63,33.48,26.52,0.64,89.51,-25.22,-36.11,-59.25,-26.08,-7.61,73.14,41.62,-76.36,-48.67,21.66,-46.25,38.91,30.95,-1.13,-0.23,6.07,23.33,91.84,-50.43,42.74,-65.44,-54.34,-34.97,36.8,-38.17,-26.22,29.37,-11.39,-10.07,45.27,-93.84,-2.72,-42.19,13.17,-71.66,27.86,4.71,-22.03
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,87.67,106.79,--,92.21,93.33,93.35,96.87,84.47,86.92,77.4,65.53,70.53,76.17,57.82,57.56,60.12,72.69
Employees Cost,202.53,216.85,203.1,202.78,176.42,166.45,141.83,125.1,120.84,122.79,118.41,123.71,137.82,152.33,136.69,123.16,143.95,149.31,118.64,134.84,136.44,138.08,128.71,120.09,123.76,120.8,122.38,129.14,119.49,125.12,122.92,120.64,120.14,108.75,114.83,94.58,105.26,97.7,92.88,85.04,83.06,84.2,73.03,70.41,60.67,56.01,47.19,41.99,48.07,47.39
Depreciation,73.99,65.58,68.28,71.39,56.36,55.37,55.69,63.6,64.13,61.72,60.87,70.31,69.72,69.87,66.19,82.27,83.25,83.44,81.18,97.33,98.61,97.17,95.03,100.89,103.02,99.62,98.01,119.52,118.43,119.79,109.58,126.58,120.67,116.61,102.46,92.06,87.33,79.28,67.08,79.5,77.65,57.32,51.81,43.34,42.06,502.69,34.7,34.62,33.85,32.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,174.63,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,399.6,420.64,357.08,352.72,343.23,353.35,311.48,286.14,316.02,312.05,301.02,328.32,379.24,359.37,330.99,354.94,350.31,300.55,203.52,309.43,273.23,266.06,277.72,301.22,282.86,357.15,284.92,272.39,240.66,267.79,291.93,274.85,272.77,243.21,194.9,281.61,169.0,--,141.57,167.36,142.82,147.32,125.22,118.51,124.29,113.56,103.17,116.48,107.68,115.67
