Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,40.5,40.5,966.12,966.12,1006.62,12914.29,186.15,484.46,14591.52,1052.24,234.08,3616.23,9255.46,68.53,364.98,14591.52,246.0,2836.0,12.75,11.84,0.91,112.48,1.0,48.42,0.52,1.0,599.72,4451.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,40.82,40.82,1202.28,1202.28,1243.1,16340.76,348.7,418.1,18350.66,814.67,321.44,4586.19,12137.46,97.73,393.16,18350.66,300.0,3347.0,12.57,11.69,0.88,123.54,1.0,54.04,0.44,0.0,978.86,10070.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,47.44,47.44,1593.22,1593.22,1640.67,20304.76,476.74,554.92,22977.08,1016.34,754.15,5266.8,15246.06,141.28,552.46,22977.08,375.0,3785.0,13.98,13.27,0.71,173.1,1.0,96.39,0.63,1.0,766.39,6209.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,54.27,54.27,1970.66,1970.66,2024.93,22016.89,304.98,647.02,24993.83,1040.11,1139.5,5953.56,16096.84,182.95,580.86,24993.83,425.0,4215.0,15.01,14.43,0.58,293.06,2.0,197.29,1.23,1.0,685.22,5327.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,59.66,59.66,2635.87,2635.87,2695.52,24074.96,168.82,931.83,27871.13,1233.51,1303.26,6365.27,17965.5,210.41,793.18,27871.13,475.0,4365.0,16.52,16.03,0.49,335.82,2.0,232.79,1.3,1.0,674.22,7802.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,59.82,59.82,2992.18,2992.18,3052.0,27158.13,112.55,929.29,31251.96,1362.57,1237.5,6324.45,21056.92,217.56,1052.97,31251.96,525.0,4517.0,15.58,15.09,0.49,511.98,2.0,323.15,1.53,2.0,653.75,6814.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,60.11,60.11,3510.09,3510.09,3570.2,30115.74,531.0,1053.84,35270.78,1484.19,1394.79,7031.45,23832.7,215.08,1312.57,35270.78,550.0,4689.0,15.83,15.35,0.48,681.98,3.0,408.34,1.71,2.0,256.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,66.47,66.47,4096.76,4096.76,4163.24,32852.62,1735.88,1185.51,39937.25,1861.8,774.65,7879.11,27852.79,223.13,1345.78,39937.25,600.0,5319.0,16.22,15.79,0.43,856.55,3.0,474.78,1.7,2.0,319.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,73.45,73.45,4767.31,4767.31,4840.76,38447.95,480.91,1489.27,45258.89,1993.12,970.16,7712.2,32673.34,250.03,1660.03,45258.89,650.0,5518.0,15.55,15.03,0.52,977.05,3.0,591.46,1.81,2.0,460.81,4835.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,73.73,73.73,5222.34,5222.34,5296.07,40832.49,2032.4,1572.57,49733.53,2030.37,2691.28,9116.79,33927.45,245.16,1722.49,49733.53,0.0,0.0,17.0,0.0,0.0,1413.4,4.0,778.49,2.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,73.88,73.88,5768.59,5768.59,5842.48,44537.36,1345.7,1586.15,53311.68,2792.71,2822.35,9435.94,36157.83,232.69,1870.16,53311.68,0.0,0.0,19.52,0.0,0.0,1893.19,5.0,1075.19,2.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,73.96,73.96,6511.75,6511.75,6585.71,47689.67,5311.82,1943.72,61530.91,2965.1,3721.83,12221.22,40358.47,214.65,2049.64,61530.91,727.0,5367.0,20.85,19.78,1.07,1933.18,4.7,1191.1,2.95,2.95,409.02,9295.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,74.04,74.04,7383.17,7383.17,7457.21,52397.86,4688.09,2051.4,66594.56,3302.36,3346.92,14332.63,43053.35,239.33,2319.99,66594.56,752.0,6019.0,22.34,21.27,1.07,1920.16,4.37,1017.63,2.36,2.36,401.08,10263.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,74.07,74.07,8327.36,8327.36,8401.43,55656.64,4724.16,2043.64,70825.87,4615.4,2328.12,15664.11,45525.72,270.37,2422.14,70825.87,800.0,7188.0,23.73,22.69,1.04,1854.43,3.99,898.68,1.97,1.97,469.91,7847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,74.1,74.1,9392.52,9392.52,9466.62,63525.95,2169.41,2461.23,77623.21,3874.57,1415.97,17336.14,52081.25,322.34,2592.94,77623.21,0.0,0.0,23.75,0.0,0.0,1638.17,3.09,653.07,1.25,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
