Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Capital Work-In-Progress,Trade/Other Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods
2012-03-31,0.14,0.14,68.56,68.56,68.69,0.0,2.58,0.0,0.0,2.76,0.75,11.56,4.11,2.29,18.71,90.16,10.59,0.05,0.0,10.64,5.67,0.0,0.0,0.0,16.3,13.45,23.06,14.18,8.86,14.3,0.0,73.86,90.16,0.05,7.24,0.0,0.0,5.67,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,0.14,0.14,118.83,118.83,118.97,0.0,0.04,1.62,15.23,16.89,0.0,19.14,6.53,12.43,38.1,173.96,14.82,0.08,0.0,14.9,11.55,0.26,13.77,0.0,40.49,46.5,51.97,16.6,3.52,14.89,0.0,133.47,173.96,0.05,0.0,0.1,0.0,11.55,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,0.14,0.14,183.98,183.98,184.12,0.0,0.0,1.07,17.02,18.09,0.0,32.65,14.16,18.57,65.37,267.58,63.2,0.66,0.0,63.85,30.64,0.2,18.36,0.0,113.06,66.96,45.49,22.31,5.9,13.87,0.0,154.53,267.58,0.0,0.0,0.1,0.0,30.64,66.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.14,0.14,267.24,267.24,267.37,0.0,0.5,1.34,19.99,21.83,0.0,36.1,7.66,20.93,64.68,353.88,60.58,0.69,0.0,61.27,113.05,3.29,17.66,0.0,195.27,69.24,53.83,23.62,4.91,6.77,0.23,158.6,353.88,0.31,0.0,0.1,1.3,111.55,69.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.14,0.14,305.21,305.21,305.35,0.0,0.0,2.49,23.1,25.58,0.0,27.89,25.38,17.91,71.18,402.12,64.1,0.7,0.0,64.79,62.6,5.41,32.3,0.0,165.1,143.73,49.46,25.36,8.53,9.7,0.24,237.02,402.12,0.0,0.0,0.1,1.16,61.1,143.73,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,13.75,13.75,560.85,560.85,574.6,0.0,0.0,2.75,18.54,21.28,0.0,25.11,14.68,21.02,60.8,656.69,53.75,38.03,0.0,91.78,290.43,45.5,0.0,15.83,443.53,90.18,47.2,41.3,2.06,15.81,16.61,213.15,656.69,12.9,2.06,13.61,1.62,211.43,90.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,13.75,13.75,854.43,854.43,868.18,0.0,273.69,2.88,15.02,291.58,0.0,79.03,115.17,16.01,210.21,1369.98,50.49,439.26,0.0,489.75,451.84,95.25,0.0,16.95,1053.79,93.76,57.52,60.5,8.81,40.37,55.23,316.19,1369.98,14.12,2.78,13.61,1.76,269.85,93.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,13.75,13.75,1142.26,1142.26,1156.01,0.0,0.0,7.25,16.47,23.73,0.0,74.93,196.5,19.22,290.65,1470.38,53.83,430.01,1.98,486.58,274.36,137.78,0.0,21.88,920.6,306.11,74.7,75.9,6.47,2.04,84.57,549.78,1470.38,15.29,22.99,13.61,1.93,272.43,306.11,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,13.58,13.58,1286.12,1286.12,1299.7,0.0,0.0,9.85,24.13,33.99,0.0,89.93,29.76,29.76,149.44,1483.13,84.03,516.62,4.37,605.01,246.03,164.17,0.0,18.33,1033.53,74.27,65.46,140.82,64.95,1.87,102.22,449.6,1483.13,15.81,98.27,13.44,0.34,245.69,74.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,13.58,13.58,1561.89,1561.89,1575.47,0.0,0.0,5.8,29.09,34.88,0.0,86.71,30.88,26.87,144.46,1754.8,75.18,509.14,1.56,585.88,480.97,196.75,4.95,62.63,1331.17,50.4,64.85,113.76,32.66,35.16,126.82,423.63,1754.8,21.21,20.1,13.44,0.36,480.61,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
