Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
Net Sales/Income from operations,1842.21,1800.52,1946.79,1841.88,1838.25,1781.31,1969.62,1671.52,1558.16,1605.57,1789.44,1838.44,1734.52,1607.51,1571.71,1256.74,1396.35,1235.43,1032.97,361.48,894.61,919.08,1056.08,1182.9,1148.74,1259.96,1287.68,1286.67,1032.23,1102.95,1116.82,1074.6,1027.16,926.25
Other Operating Income,115.04,109.64,118.05,118.4,124.19,117.0,--,108.62,105.2,104.12,116.42,118.6,--,93.91,94.94,--,83.81,73.99,54.42,17.3,39.98,57.35,56.64,69.45,74.79,80.79,81.99,74.95,83.84,69.55,58.48,59.74,62.58,46.63
Total Income From Operations,1957.25,1910.16,2064.84,1960.28,1962.44,1898.31,1969.62,1780.14,1663.36,1709.69,1905.86,1957.04,1734.52,1701.42,1666.65,1256.74,1480.16,1309.42,1087.39,378.78,934.59,976.43,1112.72,1252.35,1223.53,1340.75,1369.67,1361.62,1116.07,1172.5,1175.3,1134.34,1089.74,972.88
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1089.03,1057.48,1131.2,1134.3,1128.53,1135.19,1141.8,1115.49,983.86,1006.28,1050.51,1256.9,1036.25,1084.28,1058.9,786.74,940.47,773.68,559.85,172.24,522.41,525.75,525.0,722.56,695.97,841.0,857.75,800.66,728.4,650.83,595.65,723.44,628.69,633.09
Purchase of Traded Goods,117.34,143.68,140.55,124.54,108.54,116.76,77.38,61.48,78.96,63.02,121.57,110.46,118.16,81.45,27.98,33.95,35.1,28.04,20.73,7.79,9.42,18.74,15.2,37.03,39.78,40.93,54.71,52.05,20.59,24.6,58.65,35.71,47.08,24.44
Increase/Decrease in Stocks,11.94,-24.01,45.24,-20.37,13.98,-38.49,36.18,-35.42,-16.83,10.31,32.96,-36.1,-4.68,-32.02,-4.12,-47.9,-68.75,-42.94,27.77,52.34,-16.46,7.24,122.03,12.39,37.93,-32.75,-47.1,15.51,-66.33,51.44,71.75,-56.81,10.46,-72.92
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,173.99,172.92,170.66,161.95,160.96,158.23,157.69,147.21,149.58,139.37,145.0,136.35,134.09,126.27,129.09,117.62,120.55,126.43,114.68,92.9,109.9,105.82,106.24,107.72,98.74,112.52,117.22,110.61,108.85,112.39,108.28,103.39,96.85,102.7
Depreciation,46.31,43.23,40.72,38.55,37.01,36.09,34.6,33.05,44.78,33.66,34.64,32.48,36.74,36.92,35.95,35.42,36.74,36.52,37.72,38.66,43.89,39.43,39.13,38.26,35.97,35.3,35.07,33.86,31.72,34.41,31.25,30.92,34.23,29.73
