Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,1651.13,1069.88,1096.98,709.84,1225.49,1021.45,954.2,444.14,576.97,630.86,682.91,439.72,1211.4,952.88,696.29,329.42,1080.32,748.7,657.4,332.48,816.69,896.09,971.2,735.44,787.61,716.42,799.4,658.73,600.6,615.04,583.24,556.25,522.09,580.27,541.8,413.17
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.15,--,--
Total Income From Operations,1651.13,1069.88,1096.98,709.84,1225.49,1021.45,954.2,444.14,576.97,630.86,682.91,439.72,1211.4,952.88,696.29,329.42,1080.32,748.7,657.4,332.48,816.69,896.09,971.2,735.44,787.61,716.42,799.4,658.73,600.6,615.04,583.24,556.25,522.09,582.42,541.8,413.17
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,651.59,463.71,590.29,276.0,591.75,432.64,456.87,144.68,398.8,226.47,320.8,156.78,633.21,524.68,313.29,143.99,502.0,191.25,333.22,193.34,394.66,463.87,523.86,410.97,414.89,396.03,370.61,320.15,273.92,242.55,359.9,289.28,383.21,189.51,273.61,162.4
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-0.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.17,64.28,-42.49,1.14,-64.53,106.62,-68.38,12.34
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,111.21,98.15,99.18,95.2,105.08,89.7,93.21,83.54,86.96,82.34,78.58,75.75,82.95,72.03,82.88,68.03,78.38,72.41,70.89,69.9,86.22,75.16,73.94,70.35,68.47,73.05,70.09,65.94,82.99,68.36,62.17,57.88,57.08,56.29,49.67,53.62
Depreciation,21.99,26.65,20.93,14.08,13.83,15.18,15.06,12.86,8.66,14.42,14.91,14.15,14.15,14.11,14.01,13.78,13.57,13.78,13.66,12.06,12.17,12.37,12.1,12.1,8.72,8.6,8.43,8.41,8.98,9.09,9.61,9.84,9.84,9.83,9.6,9.24
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,117.14,--,--,--,--,8.64,--,--,--,--,--,--,--,--,--,--,--,--,22.54,4.38,--,5.72,25.92,1.88,58.14,7.75,3.84,2.53,41.02,11.12,2.54,7.51,4.28,-10.35,-0.43,6.5
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,518.55,266.37,211.45,156.28,242.48,178.98,209.18,133.82,157.38,168.2,144.07,173.28,196.04,214.08,133.78,94.55,240.97,167.06,104.96,47.81,172.79,152.95,141.82,110.49,136.15,81.11,166.82,154.88,85.42,91.55,106.71,86.39,112.34,126.85,151.63,77.02
"P/L Before Other Inc. , Int., Excpt. Items & Tax",231.42,215.01,175.13,168.29,272.36,296.31,179.88,69.25,-74.83,139.43,124.55,19.76,285.05,127.99,152.34,9.08,245.4,304.2,112.13,4.98,150.85,186.02,193.57,129.64,101.24,149.88,179.62,106.82,106.1,128.08,84.81,104.2,19.87,103.67,126.1,92.05
Other Income,155.52,44.51,100.27,80.14,79.38,56.24,87.57,84.19,69.48,23.09,61.46,57.49,112.83,64.37,42.2,47.02,69.03,15.34,45.34,64.62,44.99,54.87,80.14,67.94,64.98,49.74,55.81,57.58,38.09,51.01,65.17,38.81,46.82,22.9,44.28,35.01
"P/L Before Int., Excpt. Items & Tax",386.94,259.52,275.4,248.43,351.74,352.55,267.45,153.44,-5.35,162.52,186.01,77.25,397.88,192.36,194.54,56.1,314.43,319.54,157.48,69.6,195.84,240.88,273.71,197.59,166.22,199.62,235.43,164.41,144.19,179.09,149.97,143.01,66.69,126.58,170.38,127.05
Interest,10.6,10.52,9.05,6.29,6.26,7.71,9.26,8.32,-1.84,11.87,11.87,11.84,11.58,11.64,11.64,11.62,16.16,11.53,11.4,11.37,11.12,11.21,11.15,11.11,5.29,2.67,3.14,3.2,2.59,3.03,3.16,2.63,2.59,2.67,2.65,2.62
P/L Before Exceptional Items & Tax,376.34,249.0,266.35,242.15,345.48,344.84,258.18,145.12,-3.5,150.66,174.14,65.41,386.3,180.71,182.89,44.48,298.27,308.02,146.07,58.23,184.72,229.67,262.56,186.48,160.93,196.95,232.29,161.2,141.6,176.06,146.81,140.39,64.1,123.91,167.73,124.43
Exceptional Items,--,--,--,--,--,--,--,--,61.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,376.34,249.0,266.35,242.15,345.48,344.84,258.18,145.12,58.31,150.66,174.14,65.41,386.3,180.71,182.89,44.48,298.27,308.02,146.07,58.23,184.72,229.67,262.56,186.48,160.93,196.95,232.29,161.2,141.6,176.06,146.81,140.39,64.1,123.91,167.73,124.43
Tax,91.65,64.71,73.28,61.3,80.81,96.82,67.18,35.71,10.96,32.25,54.3,16.5,102.23,46.33,47.07,12.2,68.65,78.54,37.71,15.58,45.94,58.58,54.99,66.22,63.43,67.23,84.66,54.89,49.98,62.3,46.61,49.23,22.3,43.52,58.71,43.46
P/L After Tax from Ordinary Activities,284.7,184.29,193.07,180.85,264.67,248.02,191.0,109.41,47.34,118.41,119.83,48.91,284.07,134.39,135.82,32.28,229.61,229.48,108.36,42.65,138.77,171.09,207.57,120.25,97.51,129.72,147.64,106.31,91.62,113.76,100.21,91.16,41.8,80.39,109.02,80.97
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,284.7,184.29,193.07,180.85,264.67,248.02,191.0,109.41,47.34,118.41,119.83,48.91,284.07,134.39,135.82,32.28,229.61,229.48,108.36,42.65,138.77,171.09,207.57,120.25,97.51,129.72,147.64,106.31,91.62,113.76,100.21,91.16,41.8,80.39,109.02,80.97
Equity Share Capital,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,131.54,135.94,135.94,135.94,135.94,135.94,113.28,113.28,113.28,113.28,113.28
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,10.82,7.01,7.34,6.87,10.06,18.86,14.52,8.32,3.6,9.0,9.11,3.72,21.6,10.22,10.33,2.45,17.46,17.45,8.24,3.24,10.55,13.01,15.78,9.14,7.41,9.58,10.86,7.82,6.74,8.37,7.93,8.05,3.69,--,9.62,7.15
Diluted EPS,10.82,7.01,7.34,6.87,10.06,18.86,14.52,8.32,3.6,9.0,9.11,3.72,21.6,10.22,10.33,2.45,17.46,17.45,8.24,3.24,10.55,13.01,15.78,9.14,7.41,9.58,10.86,7.82,6.74,8.37,7.93,8.05,3.69,--,9.62,7.15
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
