Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,152.99,6.98,159.97,34.67,3.21,6.51,13.15,102.43,0.16,102.58,59.72,42.86,42.86,10.79,32.07,32.07,869.72,0.37,0.36
2022-09-30,169.68,6.18,175.87,41.39,3.25,8.0,14.41,108.82,1.31,110.12,62.29,47.83,47.83,12.18,35.66,35.66,889.57,0.4,0.0
2022-12-31,185.68,3.74,189.42,37.94,3.18,10.26,14.61,123.44,4.97,128.41,75.74,52.67,52.67,13.35,39.31,39.31,889.57,0.44,0.42
2023-03-31,201.86,5.7,207.56,46.12,3.08,7.28,15.4,135.67,1.12,136.79,78.7,58.09,58.09,15.33,42.76,42.76,889.57,0.48,0.44
2023-06-30,223.5,6.08,229.59,46.75,3.12,10.13,18.54,151.05,0.34,151.4,88.61,62.79,62.79,15.82,46.97,46.97,916.84,0.52,0.49
2023-09-30,239.29,7.02,246.31,53.34,3.25,10.98,19.15,159.58,0.2,159.78,89.16,70.63,70.63,18.02,52.61,52.61,1059.46,0.52,0.51
2023-12-31,256.15,7.69,263.84,57.03,3.42,12.28,20.9,170.22,0.09,170.31,84.58,85.73,85.73,21.72,64.02,64.02,1066.72,0.6,0.58
2024-03-31,272.02,6.79,278.8,60.01,3.63,13.63,16.96,184.57,0.65,185.21,88.3,96.92,96.92,23.49,73.43,73.43,1071.89,0.69,0.67
2024-06-30,287.07,10.42,297.5,60.77,3.76,14.81,18.28,199.87,0.01,199.89,94.76,105.12,105.12,26.41,78.72,78.72,1072.52,0.73,0.72
2024-09-30,302.15,11.74,313.89,59.87,3.85,18.94,21.02,210.21,0.3,210.51,100.38,110.13,110.13,26.15,83.98,83.98,1075.5,0.78,0.76
2024-12-31,320.4,12.77,333.16,64.33,4.65,19.12,21.57,223.49,0.09,223.58,106.11,117.47,117.47,29.39,88.08,88.08,1081.75,0.82,0.8
2025-03-31,359.26,1.32,360.57,68.26,4.56,20.86,23.71,243.19,0.6,243.79,117.99,125.8,125.8,31.4,94.4,94.4,1085.18,0.87,0.86
