Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,1875.86,1249.78,1136.13,1200.45,1169.52,1110.81,1047.76,936.11,973.84,1088.73,919.21,880.82,856.81,888.16,666.02,823.5,790.96,646.44,213.12,520.05,570.62,587.23,626.05,613.75,646.08,693.43,619.9,557.23,501.42,527.81,460.43
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1875.86,1249.78,1136.13,1200.45,1169.52,1110.81,1047.76,936.11,973.84,1088.73,919.21,880.82,856.81,888.16,666.02,823.5,790.96,646.44,213.12,520.05,570.62,587.23,626.05,613.75,646.08,693.43,619.9,557.23,501.42,527.81,460.43
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1249.45,845.74,775.23,723.28,779.94,758.63,725.13,594.53,674.7,784.09,616.39,590.25,579.53,584.62,481.29,605.49,540.5,420.69,135.89,340.17,369.5,367.55,382.81,409.66,435.49,451.63,402.6,367.35,325.34,325.37,286.49
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,11.06,-27.74,-29.39,12.82,2.83,-8.84,-13.09,35.81,-5.83,-46.5,0.7,33.64,-8.92,9.21,-51.61,-38.92,-25.95,-3.23,-2.48,-8.46,-8.41,10.61,22.94,-2.23,-16.66,-2.52,-3.05,-8.31,-11.32,13.11,5.46
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,176.47,120.46,113.54,105.95,109.27,108.67,96.13,91.47,90.09,94.72,89.9,81.54,80.12,88.07,80.69,81.17,66.53,48.67,40.03,54.11,50.89,54.45,58.73,57.08,55.34,53.81,53.39,48.17,43.44,43.23,40.54
Depreciation,63.04,44.79,45.03,51.36,49.48,49.83,47.49,56.54,48.83,44.43,44.66,42.59,44.14,44.07,39.55,38.4,39.59,36.47,36.33,34.91,33.37,32.51,30.91,28.65,26.6,26.26,26.01,25.59,25.93,25.14,24.95
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,264.67,165.23,167.87,166.11,168.98,168.35,170.8,149.4,138.14,185.8,158.49,111.17,154.65,129.81,106.32,110.81,123.8,100.61,47.71,95.82,90.53,95.47,100.4,105.45,95.29,104.36,104.41,92.57,91.0,84.66,81.66
"P/L Before Other Inc. , Int., Excpt. Items & Tax",111.17,101.29,63.84,140.92,59.02,34.17,21.31,8.36,27.9,26.2,9.08,21.63,7.29,32.38,9.78,26.55,46.49,43.23,-44.35,3.5,34.74,26.65,30.27,15.14,50.02,59.89,36.54,31.87,27.04,36.31,21.33
Other Income,3.17,3.36,2.98,3.51,5.24,16.28,8.88,13.35,7.18,17.27,15.21,15.81,13.89,25.43,9.48,39.29,15.28,11.58,8.1,40.35,8.23,12.46,7.24,9.49,13.94,15.63,12.43,7.0,9.84,7.37,4.56
"P/L Before Int., Excpt. Items & Tax",114.34,104.65,66.82,144.43,64.25,50.45,30.18,21.71,35.08,43.47,24.29,37.44,21.18,57.81,19.26,65.84,61.77,54.81,-36.26,43.85,42.96,39.11,37.51,24.63,63.96,75.52,48.97,38.87,36.88,43.68,25.89
Interest,40.3,40.35,41.13,44.15,43.26,47.28,44.45,48.36,47.26,40.86,33.62,32.4,28.63,17.38,12.57,13.99,12.87,16.14,12.76,11.31,9.68,10.23,11.16,9.45,9.6,10.12,10.04,10.63,10.68,9.86,8.98
P/L Before Exceptional Items & Tax,74.04,64.31,25.69,100.28,20.99,3.17,-14.27,-26.65,-12.18,2.61,-9.33,5.04,-7.46,40.43,6.69,51.85,48.9,38.67,-49.02,32.54,33.28,28.88,26.35,15.18,54.36,65.4,38.93,28.24,26.2,33.82,16.91
