Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1340.91,1140.17,1226.41,1754.7,1514.83,2190.32,1349.81,1707.82,1379.88,1201.05,1385.37,1820.37,1406.21,1401.44,901.91,914.99,956.87,950.61,652.82,698.47,797.76,755.41,1032.01,770.96,924.38,953.99,1083.07,701.21,855.5,825.84,995.92,675.82,693.1,659.57,750.41,672.09,826.65,1166.81,1207.4,911.71,1037.63,1200.17,786.02,427.61,492.42,968.48,786.26,369.1,399.17,895.44
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.97,3.25,3.42,3.36,4.08,3.24,2.68,1.97,3.08,3.28,1.24,1.0,2.03,--,0.7,--,5.33,27.84,10.35
Total Income From Operations,1340.91,1140.17,1226.41,1754.7,1514.83,2190.32,1349.81,1707.82,1379.88,1201.05,1385.37,1820.37,1406.21,1401.44,901.91,914.99,956.87,950.61,652.82,698.47,797.76,755.41,1032.01,770.96,924.38,953.99,1083.07,701.21,855.5,825.84,995.92,678.79,696.35,662.99,753.77,676.17,829.89,1169.49,1209.37,914.79,1040.91,1201.41,787.02,429.64,492.42,969.18,786.26,374.43,427.01,905.79
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,809.44,782.76,771.07,886.96,689.44,1118.32,878.32,1308.53,998.67,1374.92,1059.91,908.88,1256.0,944.39,637.81,613.06,627.0,616.72,314.9,433.33,596.38,471.1,685.0,629.29,583.19,551.1,596.07,427.24,561.98,482.13,610.9,503.36,506.44,437.28,230.65,468.75,490.66,312.99,167.61,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,134.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,0.05,436.18,--,-191.96,36.88,-244.99,15.1,228.19,-181.19,-98.21,0.02,0.28,1.31,-1.57,--,--,--,--,--,--,0.78,-0.2,1.26,3.85,0.11,-2.38,-3.41,0.45,1.74,3.76,-4.98,-1.43,2.44,0.76,-2.78,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,310.81,313.81,170.86,128.98,106.67,110.82,92.71,90.72,77.62,101.65,--
Employees Cost,45.27,36.55,36.46,34.0,35.57,33.88,32.83,30.95,30.4,32.08,32.81,29.51,30.59,27.9,27.23,25.92,25.42,25.72,24.28,29.2,28.55,27.09,25.57,25.79,25.79,25.78,23.88,24.88,24.36,23.73,20.38,22.86,19.44,17.45,17.01,18.59,18.38,26.06,24.57,23.33,21.68,21.63,18.6,18.17,18.84,20.85,16.36,17.86,15.05,13.77
Depreciation,115.87,116.49,120.31,117.53,116.37,117.23,116.44,115.07,114.65,117.14,116.84,115.54,118.74,121.28,121.28,119.9,119.09,120.69,119.39,119.12,121.02,120.26,118.58,116.28,119.72,120.47,118.65,119.23,129.14,119.25,119.24,119.81,127.76,119.72,119.56,122.18,123.1,160.49,160.31,137.52,137.78,99.49,90.49,123.6,107.34,107.46,108.19,83.05,96.03,77.43
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
