Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,7691.56,7081.37,6730.5,6730.5,6560.16,5824.11,2753.17,2598.45,1168.33,1168.33,1063.18,839.1,661.48,589.59,481.71
Total Share Capital,7691.56,7081.37,6730.5,6730.5,6560.16,5824.11,2753.17,2598.45,1168.33,1168.33,1063.18,1427.1,1249.48,1177.59,1069.71
Revaluation Reserve,0.0,0.0,0.0,0.0,1172.62,1264.52,1373.1,0.0,1206.46,1295.78,1378.13,1065.58,1120.26,375.03,443.55
Reserves and Surplus,20797.71,12592.53,8879.77,7490.9,4400.4,3666.65,1613.17,7345.51,5004.73,6323.03,5626.02,4875.47,4027.21,3170.04,2457.67
Total Reserves and Surplus,20797.71,12592.53,8879.77,7490.9,5573.02,4931.17,2986.27,7345.51,6211.19,7618.81,7004.15,5941.05,5147.46,3545.07,2901.21
Total ShareHolders Funds,28489.27,19673.9,15610.27,14221.4,12133.18,10755.28,5739.44,9943.96,7379.52,8787.14,8067.33,7368.14,6396.94,4722.66,3970.93
Deposits,307142.6,270747.17,234082.68,202294.29,174005.62,150066.4,140650.09,138981.18,139052.84,138989.82,122118.94,116803.09,94336.93,76528.65,66844.74
Borrowings,23852.51,7718.86,10765.66,7746.74,4238.75,3670.03,10149.17,4063.71,8136.65,9228.1,11126.72,8326.47,12877.49,3824.75,3076.56
Other Liabilities and Provisions,9657.77,8997.93,7192.78,6348.94,6287.46,4375.47,7996.83,3339.89,4754.97,3952.26,4705.79,3822.35,3341.45,2941.33,2549.99
Total Capital and Liabilities,369142.15,307137.86,267651.39,230611.37,196665.01,168867.18,164535.53,156328.75,159323.98,160957.32,146018.79,136320.05,116952.81,88017.39,76442.22
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,37992.99,21161.34,18507.72,19721.93,12882.48,10353.68,7919.99,15809.06,15274.72,8382.29,6652.75,5991.39,5265.29,4535.48,3846.0
Balances with Banks Money at Call and Short Notice,4201.87,9150.32,21.19,194.05,59.25,93.28,1234.92,74.9,1367.3,937.86,100.36,110.91,907.55,1208.78,203.35
Investments,82004.79,68274.12,68866.95,68589.97,68111.64,57740.85,59697.05,43622.8,38590.18,36230.87,36714.79,37249.58,31430.31,22911.36,22491.08
Advances,236083.8,200239.88,171220.67,131170.44,102405.17,86871.65,82666.21,85797.28,95515.23,107562.67,98599.1,88920.4,75470.78,56059.76,46880.77
Fixed Assets,2915.59,2209.6,2156.71,2241.66,1674.0,1676.19,1775.53,1516.68,1586.08,1694.42,1432.17,1446.01,1429.47,600.65,666.79
Other Assets,5943.11,6102.6,6878.15,8693.32,11532.47,12131.52,11241.84,9508.03,6990.47,6149.22,2519.61,2601.76,2449.39,2701.35,2354.22
Total Assets,369142.15,307137.86,267651.39,230611.37,196665.01,168867.18,164535.53,156328.75,159323.98,160957.32,146018.79,136320.05,116952.81,88017.39,76442.22
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,1915.0,1833.0,1832.0,1846.0,1880.0,1895.0,1880.0,1890.0,1728.0,1589.0,1536.0
Number of Employees,0.0,0.0,0.0,0.0,13128.0,12532.0,12913.0,12932.0,12974.0,13765.0,14189.0,14396.0,14401.0,13819.0,13941.0
Capital Adequacy Ratios (%),20.53,17.38,18.14,16.85,14.49,13.52,11.86,11.0,11.18,11.2,11.94,10.79,12.59,12.43,13.35
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,10.97,10.67,9.88,9.0,9.01,9.02,8.76,7.44,7.57,8.31,8.02
Tier 2 (%),0.0,0.0,0.0,0.0,3.52,2.85,1.98,2.0,2.17,2.18,3.18,3.35,5.02,4.12,5.33
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,4184.52,3833.05,4334.0,5327.21,7779.68,12152.15,15324.49,18433.23,17188.72,10385.85,6402.06,2859.85,1137.55,1297.03,1173.7
Gross NPA (%),1.74,1.88,2.0,4.0,7.0,13.0,16.0,19.0,17.0,9.0,6.0,3.0,1.0,2.0,2.0
Net NPA,431.78,408.99,435.18,1276.57,2544.32,4145.38,4559.33,9641.19,11229.56,6832.03,4126.57,1807.32,392.93,469.57,618.95
Net NPA (%),0.18,0.2,0.25,0.97,2.48,4.77,5.52,11.24,11.76,6.4,4.19,2.03,0.52,0.84,1.32
Net NPA To Advances (%),1.75,1.5,1.0,1.0,2.0,5.0,6.0,11.0,12.0,6.0,4.0,2.0,1.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,4988.84,7037.69,4390.31,4196.85,4021.47,7910.19,6727.14,5651.93,5266.58,3817.36,3538.05
Contingent Liabilities,0.0,0.0,0.0,0.0,31127.72,29491.85,27054.54,0.0,0.0,33727.87,34340.61,28187.16,26910.75,20833.48,16516.55
Preference Share Capital,,,,,,,,,,,0.0,588.0,588.0,588.0,588.0
