Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,817.54,1236.55,1770.55,1508.39,1460.81,1105.58,1040.87,871.59,606.88,688.01,857.1,462.27,580.77,616.74,787.12,541.55,655.76,528.53,504.58,419.05,393.45,314.49,348.59,282.92,374.76,330.89,311.5,278.2,26.95,77.79,92.81,22.42,17.61,18.59,67.48,36.53,16.29,34.23,39.91,19.17,19.16,26.78,57.14,17.1,17.68,16.93,16.88,16.25,19.26,15.66
Other Operating Income,3.81,1.29,6.83,9.17,17.4,13.37,14.02,13.59,17.32,11.03,9.44,9.34,13.46,--,13.62,8.86,12.28,17.82,11.82,11.61,4.15,7.55,9.36,--,8.66,--,--,--,--,--,--,--,--,0.05,0.07,0.07,0.07,0.07,0.09,0.08,2.43,2.06,2.02,1.93,0.71,0.58,-0.1,1.34,8.96,-0.22
Total Income From Operations,821.35,1237.84,1777.38,1517.56,1478.21,1118.95,1054.89,885.18,624.2,699.04,866.54,471.61,594.23,616.74,800.74,550.41,668.04,546.35,516.4,430.66,397.6,322.04,357.95,282.92,383.42,330.89,311.5,278.2,26.95,77.79,92.81,22.42,17.61,18.64,67.55,36.6,16.36,34.3,40.0,19.25,21.59,28.84,59.16,19.03,18.39,17.51,16.78,17.59,28.22,15.44
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,268.46,267.78,295.99,254.2,242.25,182.86,194.02,196.23,157.53,155.9,154.11,143.41,149.92,146.82,121.89,110.25,113.46,99.37,89.84,83.22,77.47,77.99,81.37,74.89,75.17,71.45,66.78,65.66,2.71,2.7,2.52,2.73,1.95,2.07,2.26,2.26,2.81,2.18,2.0,2.05,2.48,1.74,1.73,1.63,1.76,1.65,1.62,1.5,1.66,1.43
Depreciation,23.02,24.4,20.56,19.41,21.32,21.46,14.67,14.57,11.71,14.2,13.16,10.99,10.21,9.98,10.19,8.38,11.0,8.93,8.5,8.06,8.15,7.05,7.4,7.25,4.42,4.35,4.52,4.71,1.66,1.67,1.6,1.6,1.73,1.73,1.74,1.74,2.41,1.88,1.88,1.86,2.04,2.06,2.06,2.01,2.1,2.08,2.07,2.07,2.01,2.19
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-2.54,1.93,4.32,5.17,22.63,2.82,7.27,5.19,0.25,4.0,7.72,3.51,0.48,--,6.7,5.04,3.87,5.19,4.18,3.16,4.97,5.75,1.94,--,--,--,--,--,--,--,--,--,--,0.65,0.05,1.25,-1.07,0.48,4.33,0.14,3.93,-0.12,3.91,-0.03,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,391.91,403.83,499.77,450.16,442.2,339.96,372.13,283.88,268.59,269.98,276.43,253.72,264.28,269.59,240.66,227.3,217.39,172.1,172.38,130.49,386.23,119.46,109.76,104.42,114.3,141.5,176.66,108.13,3.71,2.96,2.59,2.26,3.03,1.58,2.24,2.09,1.82,1.04,1.8,2.24,2.71,4.1,1.83,2.22,2.8,7.11,4.94,2.83,0.51,2.34
"P/L Before Other Inc. , Int., Excpt. Items & Tax",140.5,539.9,956.74,788.62,749.81,571.85,466.8,385.31,186.12,254.96,415.12,59.98,169.34,190.35,421.3,199.44,322.32,260.76,241.5,205.73,-79.22,111.79,157.48,96.36,189.53,113.59,63.54,99.7,18.87,70.46,86.1,15.83,10.9,12.61,61.26,29.26,10.39,28.72,29.99,12.96,10.43,21.06,49.63,13.2,11.73,6.67,8.15,11.19,24.04,9.48
Other Income,30.35,22.52,15.83,13.01,12.21,7.52,9.99,30.29,7.07,6.15,10.57,10.21,11.69,12.04,6.58,6.21,2.63,4.97,6.42,8.82,8.13,11.06,8.86,8.85,8.37,7.77,5.6,9.68,0.14,0.22,2.87,0.16,0.42,0.58,0.57,0.39,0.37,0.11,0.34,0.14,0.15,0.12,0.17,0.13,0.05,13.45,14.51,0.01,0.96,15.21
"P/L Before Int., Excpt. Items & Tax",170.85,562.42,972.57,801.63,762.02,579.37,476.79,415.6,193.19,261.11,425.69,70.19,181.03,202.39,427.88,205.65,324.95,265.73,247.92,214.55,-71.09,122.85,166.34,105.21,197.9,121.36,69.14,109.38,19.01,70.68,88.97,15.99,11.32,13.19,61.83,29.65,10.76,28.83,30.33,13.1,10.58,21.18,49.8,13.33,11.78,20.12,22.66,11.2,25.0,24.69
Interest,198.72,193.06,204.7,183.09,152.83,118.25,99.74,70.7,62.23,61.62,55.05,45.97,51.02,44.77,34.86,34.92,36.84,30.01,29.2,31.65,38.87,30.55,31.94,27.88,23.07,26.24,27.34,27.63,6.68,7.42,9.15,8.94,7.76,8.71,9.75,10.16,7.74,6.2,6.76,8.83,9.28,7.9,5.78,6.61,4.84,6.45,4.82,3.45,6.0,3.28
P/L Before Exceptional Items & Tax,-27.87,369.36,767.87,618.54,609.19,461.12,377.05,344.9,130.96,199.49,370.64,24.22,130.01,157.62,393.02,170.73,288.11,235.72,218.72,182.9,-109.96,92.3,134.4,77.33,174.83,95.12,41.8,81.75,12.33,63.26,79.82,7.05,3.56,4.48,52.08,19.49,3.02,22.63,23.57,4.27,1.3,13.28,44.02,6.72,6.94,13.67,17.84,7.75,19.0,21.41
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.86,--,--,-88.96,--,--,--,--,--,--,--,--,--,--,--,--,2.42,--,2.85,0.83,--,--,--,--,--,--,--,--,-0.36,-0.48,-0.45,--,-13.4,--
P/L Before Tax,-27.87,369.36,767.87,618.54,609.19,461.12,377.05,344.9,130.96,199.49,370.64,24.22,130.01,157.62,393.02,170.73,288.97,235.72,218.72,93.94,-109.96,92.3,134.4,77.33,174.83,95.12,41.8,81.75,12.33,63.26,79.82,7.05,5.98,4.48,54.93,20.32,3.02,22.63,23.57,4.27,1.3,13.28,44.02,6.72,6.58,13.19,17.39,7.75,5.6,21.41
Tax,-19.72,79.97,176.38,99.94,92.7,82.24,69.09,57.86,41.35,47.65,47.53,19.86,27.2,31.55,58.95,38.12,37.13,44.97,39.01,3.85,-0.75,1.59,-17.76,14.23,19.58,12.55,18.61,19.14,0.91,12.39,17.35,2.12,0.14,-1.16,-2.02,2.45,0.26,3.85,-0.07,2.68,-1.21,2.97,0.86,2.21,2.25,-0.45,1.39,2.41,0.79,2.25
P/L After Tax from Ordinary Activities,-8.15,289.39,591.49,518.6,516.49,378.88,307.96,287.04,89.61,151.84,323.11,4.36,102.81,126.07,334.07,132.61,251.84,190.75,179.71,90.09,-109.21,90.71,152.16,63.1,155.25,82.57,23.19,62.61,11.42,50.87,62.47,4.93,5.84,5.64,56.95,17.87,2.76,18.78,23.64,1.59,2.51,10.31,43.16,4.51,4.33,13.64,16.0,5.34,4.81,19.16
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.47,-0.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-8.15,289.39,591.49,518.6,516.49,378.88,307.96,287.04,89.61,151.84,323.11,4.36,102.81,126.07,334.07,132.61,251.84,190.75,179.71,90.09,-109.21,90.71,152.16,63.1,155.25,82.57,22.72,61.76,11.42,50.87,62.47,4.93,5.84,5.64,56.95,17.87,2.76,18.78,23.64,1.59,2.51,10.31,43.16,4.51,4.33,13.64,16.0,5.34,4.81,19.16
Equity Share Capital,59.93,59.93,59.86,59.7,14.9,14.85,14.82,14.8,14.79,14.79,14.76,14.91,14.91,14.72,14.7,14.67,14.66,14.65,14.69,14.79,14.81,14.8,14.73,14.6,14.57,14.56,14.56,14.51,14.51,14.47,14.47,14.45,14.45,14.35,14.35,14.29,14.22,14.21,14.17,14.14,14.02,13.94,13.87,13.82,13.82,13.88,13.89,14.52,14.52,14.52
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-0.14,4.83,9.9,8.69,34.72,25.54,20.8,19.4,6.17,10.36,21.86,0.29,6.98,8.57,22.77,9.04,17.18,13.05,12.17,6.09,-7.38,6.14,10.4,4.33,10.66,6.64,-0.08,4.2,0.79,3.52,4.32,0.34,0.41,0.39,3.98,1.25,0.19,1.33,1.67,0.11,0.18,0.74,3.11,0.33,0.31,0.98,1.14,0.36,0.33,1.32
Diluted EPS,-0.14,4.75,9.74,8.57,34.41,25.44,20.76,19.37,6.15,10.28,21.74,0.29,6.94,8.4,22.39,8.9,16.91,12.76,11.91,5.96,-7.23,6.06,10.25,4.22,10.38,6.58,-0.08,4.14,0.78,3.46,4.26,0.34,0.4,0.39,3.94,1.24,0.19,1.3,1.64,0.11,0.18,0.73,3.08,0.33,0.31,0.98,1.14,0.36,0.33,1.32
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.93,3.9,3.79,3.7,3.64,3.58,3.57,3.63,3.65,4.28,4.31,4.34
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.72,27.59,27.01,26.58,26.24,25.88,25.86,26.18,26.25,29.47,29.71,29.87
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.24,10.24,10.23,10.23,10.23,10.24,10.24,10.24,10.24,10.24,10.21,10.19
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72.28,72.41,72.99,73.42,73.76,74.12,74.14,73.82,73.75,70.53,70.29,70.13
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
