Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,902.18,1056.95,903.05,1052.41,954.68,935.45,910.76,974.22,766.4,606.2,426.22,418.9,384.62,333.04,338.23,269.38,327.05,291.16,138.2,350.12,328.0,298.22,328.68,378.2,216.3,183.8,131.81,67.2,87.16,80.0,79.6,98.35,80.2,95.89,67.05,74.98,95.32,81.93,57.52,118.04,102.62,77.2,70.16,73.73,31.09,62.38,94.04,148.63,153.63,114.04
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.46,2.91,2.61,0.45,0.43,0.43,0.42,0.42,0.46,8.61,0.49,0.51,0.51,1.27,0.44,4.23,7.86,3.65
Total Income From Operations,902.18,1056.95,903.05,1052.41,954.68,935.45,910.76,974.22,766.4,606.2,426.22,418.9,384.62,333.04,338.23,269.38,327.05,291.16,138.2,350.12,328.0,298.22,328.68,378.2,216.3,183.8,131.81,67.2,87.16,80.0,79.6,98.35,81.66,98.8,69.66,75.43,95.75,82.36,57.94,118.46,103.08,85.8,70.65,74.24,31.6,63.64,94.48,152.86,161.5,117.69
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,697.99,807.83,689.51,806.68,738.69,679.64,726.69,752.96,581.37,466.82,359.9,305.38,285.42,228.88,235.33,186.14,239.26,191.1,101.22,233.7,240.86,218.28,246.28,288.55,163.38,137.22,86.38,50.37,43.55,40.43,24.08,66.99,52.97,60.38,33.23,45.48,70.36,47.09,34.78,67.04,45.47,25.53,35.2,49.93,20.69,53.65,39.39,115.95,91.15,60.15
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-10.61,-8.95,7.25,0.8,8.41,41.82,-14.65,-5.58,25.06,5.32,-39.23,-6.16,-8.03,8.99,15.52,-3.07,2.27,17.66,-3.15,14.06,-0.69,-7.09,0.29,3.9,-22.97,-7.29,7.71,-7.81,0.62,5.57,21.31,-21.06,-4.5,2.33,6.83,-4.29,-4.51,6.5,-1.99,6.2,14.87,29.99,6.31,-4.47,-13.29,-21.51,17.99,-21.05,10.43,6.91
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.61,3.73,3.62,3.72,4.27,4.12,4.21,5.21,4.61,4.31,3.32,4.38,3.61,4.98,7.1,12.29,6.13,5.41
Employees Cost,21.8,19.78,17.29,18.14,15.07,17.28,15.8,16.9,14.17,13.03,12.3,12.77,12.07,10.63,9.2,8.61,6.57,6.7,6.59,7.95,8.15,7.69,7.74,7.01,7.21,6.75,6.75,7.05,6.56,7.46,7.66,5.75,5.55,5.81,5.45,3.15,5.77,5.12,4.72,4.99,4.69,4.81,4.79,4.58,4.34,4.76,5.26,5.23,6.43,6.29
Depreciation,6.36,7.65,7.14,6.99,6.79,6.69,6.63,6.38,5.42,5.31,5.4,5.55,4.95,3.81,4.07,4.49,3.75,3.7,3.79,6.86,3.05,3.05,2.57,2.37,3.36,3.38,3.27,3.33,3.4,3.08,3.16,4.41,2.35,2.4,2.4,2.55,2.46,2.47,2.53,2.25,2.37,2.17,2.31,--,1.73,1.74,1.76,1.69,1.68,1.71
