Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,16369.17,12261.37,10754.21,7874.66,14788.46,9928.77,10022.42,7020.03,12629.11,9464.51,9581.72,6884.2,11358.91,9073.97,9286.53,6601.85,11879.28,8970.84,8572.19,5551.07,10475.12,8131.0,8064.71,6208.13,10056.32,7482.95,7601.2,5437.82,8655.82,6795.13,6539.51,4820.23,7526.42,5697.51,5422.53,3508.79,6343.26,4419.67,5160.92,7796.77
Other Operating Income,-682.63,-7725.73,14403.23,17520.57,7692.22,16499.83,7364.92,16808.21,-1646.27,7960.76,13022.19,-8496.02,1642.92,854.93,13874.19,9608.87,7402.0,19491.2,8118.46,13194.6,-18814.26,4744.22,77.81,2134.81,5839.02,1186.01,1370.45,2460.78,-1366.1,6760.19,2985.41,3621.5,6751.07,-498.47,3837.16,5551.88,137.07,1791.82,-373.85,-447.82
Total Income From Operations,15686.54,4535.64,25157.44,25395.23,22480.68,26428.6,17387.34,23828.24,10982.84,17425.27,22603.91,-1611.82,13001.83,9928.9,23160.72,16210.72,19281.28,28462.04,16690.65,18745.67,-8339.14,12875.22,8142.52,8342.94,15895.34,8668.96,8971.65,7898.6,7289.72,13555.32,9524.92,8441.73,14277.49,5199.04,9259.69,9060.67,6480.33,6211.49,4787.07,7348.95
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,400.96,475.48,503.45,490.78,443.85,370.38,400.49,409.71,388.73,363.54,350.22,343.39,314.7,301.36,289.67,291.29,324.83,232.44,223.53,211.66,231.38,275.3,268.43,259.4,230.76,223.02,257.78,261.53,257.22,244.12,239.93,224.04,203.84,210.31,202.46,187.45,194.94,171.79,189.02,368.27
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
