Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,2248.99,2177.26,2299.5,2120.4,2078.63,1993.38,1973.62,1825.37,1649.23,1596.79,1905.41,1616.07,1554.42,1489.5,1501.19,1151.97,1598.85,1528.81,1289.19,356.17,1124.39,1160.98,1292.04,1361.16,1340.6,1326.94,1435.07,1314.85,1272.27,1116.87,1176.01,1075.95,945.35,875.13,1045.89,946.12,982.75,885.88,951.87,853.4
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.79,18.91,16.48,-57.26,17.06,18.73,21.48
Total Income From Operations,2248.99,2177.26,2299.5,2120.4,2078.63,1993.38,1973.62,1825.37,1649.23,1596.79,1905.41,1616.07,1554.42,1489.5,1501.19,1151.97,1598.85,1528.81,1289.19,356.17,1124.39,1160.98,1292.04,1361.16,1340.6,1326.94,1435.07,1314.85,1272.27,1116.87,1176.01,1075.95,945.35,892.92,1064.8,962.6,925.49,902.94,970.6,874.88
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1373.0,1428.85,1494.22,1390.28,1266.79,1312.38,1308.38,1199.22,1055.61,1036.38,1294.67,1124.43,1032.65,991.28,968.18,753.06,1015.99,955.09,777.36,220.75,675.8,699.07,782.62,843.18,827.51,851.68,959.8,869.03,820.74,728.48,773.19,688.66,608.57,573.84,698.16,632.87,570.21,591.43,635.39,595.46
Purchase of Traded Goods,19.91,19.63,17.66,13.48,11.68,15.87,16.5,16.33,13.64,18.39,16.04,15.85,16.15,17.05,10.53,10.34,11.94,18.8,11.36,2.5,9.54,10.92,4.47,2.92,4.97,6.72,9.24,2.16,2.86,2.71,2.11,1.42,3.15,1.85,2.32,2.49,1.64,1.35,2.89,1.98
Increase/Decrease in Stocks,53.09,-34.13,-13.73,-33.81,36.75,-6.89,-24.85,-11.44,20.12,9.23,-26.17,-45.58,-11.75,4.69,-3.32,-30.55,1.79,-23.92,-15.34,-6.96,11.67,12.68,16.83,-22.36,11.18,17.38,-20.27,-15.67,13.73,-8.94,-5.23,9.87,-3.05,-9.45,-11.94,-18.79,13.49,-6.96,2.34,-25.07
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,111.35,109.25,107.5,107.68,98.08,95.69,95.22,91.14,84.11,79.02,79.03,82.01,70.82,71.51,71.24,76.75,74.42,72.32,72.8,67.03,73.8,72.97,73.72,75.64,68.92,72.42,68.31,68.09,64.2,61.53,63.6,65.37,65.72,60.25,58.61,57.6,51.71,51.56,50.87,53.57
Depreciation,74.25,73.47,72.71,69.23,67.31,65.85,65.09,64.27,63.79,60.29,59.51,57.12,51.86,50.36,51.34,50.18,50.37,52.55,54.0,46.49,52.2,49.74,48.73,48.58,44.93,46.02,43.23,41.53,45.44,43.17,40.26,40.76,44.7,41.82,40.47,39.87,43.49,37.68,36.29,33.01
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,386.18,380.73,395.4,368.56,368.02,345.25,330.61,299.97,280.27,276.1,309.98,265.15,249.73,239.43,242.07,188.56,257.98,246.46,210.8,70.29,217.32,201.51,217.75,216.23,220.32,217.83,232.48,213.35,211.16,188.98,191.68,174.63,172.41,162.21,183.93,170.06,171.16,159.45,158.05,151.12
"P/L Before Other Inc. , Int., Excpt. Items & Tax",231.22,199.45,225.74,204.99,230.01,165.24,182.67,165.89,131.7,117.39,172.35,117.08,144.96,115.19,161.15,103.63,186.37,207.51,178.21,-43.92,84.07,114.1,147.94,196.97,162.77,114.89,142.28,136.37,114.14,100.94,110.41,95.25,53.85,62.42,93.25,78.51,73.79,68.42,84.77,64.82
Other Income,20.39,14.36,17.62,14.22,14.49,13.59,10.68,10.71,10.34,7.96,5.89,4.01,9.64,4.41,4.51,5.83,2.67,3.23,3.48,4.16,14.6,9.88,8.42,3.3,4.34,3.71,5.29,2.88,6.91,2.99,4.11,4.39,18.89,2.68,3.18,3.97,12.22,0.48,2.88,6.41
"P/L Before Int., Excpt. Items & Tax",251.61,213.81,243.36,219.2,244.49,178.83,193.35,176.6,142.04,125.35,178.24,121.1,154.6,119.59,165.66,109.46,189.04,210.74,181.69,-39.75,98.66,123.97,156.36,200.27,167.11,118.6,147.57,139.25,121.05,103.94,114.52,99.63,72.74,65.09,96.43,82.47,86.01,68.9,87.64,71.23
Interest,0.68,0.72,0.48,0.69,0.46,0.55,0.95,1.04,0.79,1.34,1.38,0.76,0.41,0.55,0.51,0.34,0.34,1.03,1.4,2.03,1.7,2.41,3.13,3.57,4.35,5.55,3.78,3.4,2.74,1.41,3.19,2.91,2.69,5.08,3.8,6.29,6.6,7.08,9.9,8.97
P/L Before Exceptional Items & Tax,250.93,213.09,242.89,218.51,244.04,178.28,192.4,175.56,141.25,124.01,176.86,120.34,154.19,119.04,165.15,109.12,188.7,209.72,180.29,-41.79,96.96,121.56,153.22,196.7,162.76,113.05,143.8,135.85,118.31,102.53,111.33,96.72,70.05,60.01,92.63,76.18,79.41,61.82,77.74,62.26
Exceptional Items,-17.36,--,--,--,--,--,--,--,--,--,--,-10.29,--,--,--,-31.45,--,-11.23,--,--,--,--,--,--,--,-20.8,--,--,--,-26.88,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,233.57,213.09,242.89,218.51,244.04,178.28,192.4,175.56,141.25,124.01,176.86,110.05,154.19,119.04,165.15,77.67,188.7,198.49,180.29,-41.79,96.96,121.56,153.22,196.7,162.76,92.25,143.8,135.85,118.31,75.65,111.33,96.72,70.05,60.01,92.63,76.18,79.41,61.82,77.74,62.26
Tax,59.49,56.2,58.07,55.65,61.72,45.88,49.86,45.02,36.74,31.8,45.58,29.13,39.46,31.19,42.78,20.87,49.59,47.94,45.9,-9.93,25.11,31.34,16.66,67.64,52.48,29.33,49.21,45.79,36.41,26.92,38.27,28.8,17.56,12.81,26.35,20.66,26.24,19.1,22.58,7.71
P/L After Tax from Ordinary Activities,174.08,156.9,184.82,162.86,182.31,132.4,142.54,130.54,104.51,92.21,131.27,80.93,114.73,87.85,122.37,56.8,139.11,150.55,134.39,-31.86,71.85,90.22,136.56,129.06,110.28,62.92,94.59,90.07,81.9,48.73,73.06,67.92,52.49,47.2,66.29,55.52,53.16,42.72,55.17,54.55
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,174.08,156.9,184.82,162.86,182.31,132.4,142.54,130.54,104.51,92.21,131.27,80.93,114.73,87.85,122.37,56.8,139.11,150.55,134.39,-31.86,71.85,90.22,136.56,129.06,110.28,62.92,94.59,90.07,81.9,48.73,73.06,67.92,52.49,47.2,66.29,55.52,53.16,42.72,55.17,54.55
Equity Share Capital,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,17.58,17.58,17.58,17.58
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1324.88,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,12.38,11.15,13.14,11.58,12.96,9.41,10.13,9.28,7.43,6.56,9.33,5.75,8.16,6.25,8.7,4.04,9.89,10.7,9.55,-2.26,5.11,6.41,9.71,9.17,7.84,4.47,6.72,6.4,5.82,3.46,5.19,4.83,3.74,3.35,4.71,3.95,--,3.04,3.92,--
Diluted EPS,12.38,11.15,13.14,11.58,12.96,9.41,10.13,9.28,7.43,6.56,9.33,5.75,8.16,6.25,8.7,4.04,9.89,10.7,9.55,-2.26,5.11,6.41,9.71,9.17,7.84,4.47,6.72,6.4,5.82,3.46,5.19,4.83,3.74,3.35,4.71,3.95,--,3.04,3.92,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
