Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,636.21,596.74,579.16,542.39,546.02,508.01,496.66,466.81,449.5,411.26,394.75,352.79,365.03,342.58,324.86,271.9,289.41,309.94,270.37,233.45,234.36,239.3,231.2,197.44,204.22,194.85,158.17,146.01,119.82,125.67,122.8,88.04
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.45,0.83,-9.96,--,5.23,4.73
Total Income From Operations,636.21,596.74,579.16,542.39,546.02,508.01,496.66,466.81,449.5,411.26,394.75,352.79,365.03,342.58,324.86,271.9,289.41,309.94,270.37,233.45,234.36,239.3,231.2,197.44,204.22,194.85,163.62,146.83,109.86,125.67,128.04,92.77
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,111.95,90.64,83.61,91.55,95.86,83.12,82.02,94.91,75.54,80.27,77.22,67.56,68.97,60.09,57.67,45.5,50.02,43.11,42.96,36.04,42.5,38.87,33.81,31.89,33.39,29.51,25.94,28.41,11.1,21.75,22.04,18.47
Depreciation,9.79,9.22,8.93,8.51,9.1,8.65,7.63,7.28,8.68,6.9,6.92,6.23,7.25,5.74,5.76,5.01,5.42,5.31,5.12,4.76,5.55,5.36,6.68,1.97,2.82,2.78,2.44,1.68,2.12,1.51,1.14,0.85
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,7.64,6.07,4.83,8.58,4.32,7.97,6.52,5.68,6.38,3.51,1.61,0.92,-10.43,11.29,4.75,17.01,6.96,16.16,8.06,5.96,6.27,1.34,4.48,3.25,3.4,2.11,--,--,0.54,1.36,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,50.14,44.88,44.21,37.79,38.47,43.15,41.13,31.68,36.05,32.97,30.52,28.83,29.7,25.18,22.96,16.76,18.74,18.06,15.3,11.79,16.92,18.46,11.94,15.68,16.47,14.96,16.58,16.16,13.56,11.41,9.41,11.18
"P/L Before Other Inc. , Int., Excpt. Items & Tax",456.69,445.93,437.58,395.95,398.27,365.11,359.36,327.27,322.85,287.61,278.48,249.25,269.53,240.28,233.72,187.62,208.27,227.3,198.94,174.9,163.12,175.27,174.28,144.65,148.14,145.48,118.67,100.58,82.55,89.64,95.45,62.27
Other Income,1.28,1.18,1.29,0.17,0.78,1.19,0.78,0.04,0.71,0.71,0.33,0.09,0.22,0.29,0.6,0.09,1.88,0.1,0.03,0.14,0.65,0.03,0.04,0.08,0.95,-0.1,0.33,0.27,0.66,0.23,0.01,0.0
"P/L Before Int., Excpt. Items & Tax",457.96,447.1,438.87,396.12,399.06,366.3,360.14,327.31,323.56,288.32,278.81,249.35,269.75,240.57,234.32,187.72,210.15,227.4,198.97,175.05,163.77,175.3,174.32,144.73,149.09,145.38,118.99,100.85,83.21,89.87,95.46,62.27
Interest,264.74,258.71,248.85,235.17,221.56,216.57,203.6,186.63,165.0,150.35,141.02,134.68,123.67,125.05,115.99,112.79,115.17,116.89,114.36,111.82,97.4,94.93,83.35,80.39,72.31,64.0,62.18,58.14,45.92,52.98,47.46,42.69
P/L Before Exceptional Items & Tax,193.22,188.4,190.02,160.95,177.49,149.74,156.54,140.68,158.56,137.97,137.8,114.67,146.09,115.52,118.33,74.92,94.98,110.51,84.61,63.23,66.37,80.37,90.97,64.34,76.78,81.38,56.82,42.71,37.29,36.89,48.0,19.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,193.22,188.4,190.02,160.95,177.49,149.74,156.54,140.68,158.56,137.97,137.8,114.67,146.09,115.52,118.33,74.92,94.98,110.51,84.61,63.23,66.37,80.37,90.97,64.34,76.78,81.38,56.82,42.71,37.29,36.89,48.0,19.58
Tax,39.54,41.97,42.12,34.85,34.88,33.09,34.82,30.97,31.81,30.69,30.97,25.45,30.41,26.41,26.2,15.03,7.37,24.89,18.42,13.15,6.44,12.5,14.96,19.03,22.49,25.11,21.53,12.65,17.48,11.02,15.13,5.19
P/L After Tax from Ordinary Activities,153.68,146.42,147.91,126.1,142.62,116.65,121.72,109.71,126.75,107.27,106.82,89.22,115.67,89.11,92.12,59.89,87.61,85.62,66.19,50.08,59.93,67.87,76.01,45.31,54.29,56.27,35.28,30.07,19.81,25.88,32.87,14.38
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,153.68,146.42,147.91,126.1,142.62,116.65,121.72,109.71,126.75,107.27,106.82,89.22,115.67,89.11,92.12,59.89,87.61,85.62,66.19,50.08,59.93,67.87,76.01,45.31,54.29,56.27,35.28,30.07,19.81,25.88,32.87,14.38
Equity Share Capital,79.14,79.14,79.14,79.14,79.14,79.14,79.12,79.06,79.06,79.04,79.03,78.96,78.94,78.93,78.91,78.5,78.5,78.39,78.38,78.32,78.32,78.3,78.17,78.11,78.11,78.11,78.11,78.11,69.17,78.11,58.16,58.16
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1758.85,--,1300.47,--,1029.06,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,19.42,18.5,18.69,15.93,18.02,14.74,15.39,13.88,16.04,13.57,13.52,11.3,14.65,11.29,11.71,7.53,11.17,10.92,8.45,6.39,7.65,8.68,9.73,5.8,6.95,7.22,4.91,4.32,--,4.43,5.64,--
Diluted EPS,19.25,18.45,18.67,15.92,18.0,14.72,15.38,13.86,16.0,13.54,13.49,11.26,14.59,11.24,11.62,7.56,11.08,10.83,8.37,6.33,7.58,8.59,9.62,5.73,6.88,7.15,4.81,4.2,--,4.3,5.64,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
