Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2047.77,1864.9,1627.34,2958.58,1914.1,1622.05,1478.07,2175.88,1574.28,1542.45,1359.22,1800.25,1508.65,1302.9,934.81,1959.94,1508.37,995.28,433.17,1569.57,1265.55,1095.5,1254.55,2353.0,1622.28,1541.09,1625.24,2170.14,1312.56,1128.43,1260.56,2342.0,1408.26,1215.73,1245.19,2241.23,1421.11,1116.61,1147.32,1780.31,1101.84,904.37,834.48,1445.24,990.42,862.56,710.55,1287.61,713.45,646.22
Other Operating Income,--,--,--,73.32,4.51,--,--,51.47,12.4,14.0,6.59,--,--,--,--,36.05,--,11.37,3.29,20.15,--,2.97,2.05,24.61,29.34,40.97,8.24,14.09,8.94,4.3,6.0,3.95,12.25,33.09,18.92,62.05,4.9,8.74,2.18,26.0,19.82,23.45,8.69,20.87,2.19,3.27,3.23,2.94,2.77,3.62
Total Income From Operations,2047.77,1864.9,1627.34,3031.9,1918.6,1622.05,1478.07,2227.36,1586.68,1556.46,1365.81,1800.25,1508.65,1302.9,934.81,1995.99,1508.37,1006.65,436.45,1589.72,1265.55,1098.47,1256.6,2377.61,1651.62,1582.06,1633.48,2184.23,1321.5,1132.72,1266.56,2345.95,1420.51,1248.81,1264.12,2303.28,1426.01,1125.35,1149.5,1806.31,1121.66,927.82,843.17,1466.11,992.61,865.83,713.78,1290.55,716.22,649.84
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,0.14,0.14,1.02,0.0,2.96,--,--,--,--,0.02,1.02,0.06,26.2,--,0.25,0.09,0.98,0.0,5.68,1.62,0.52,0.33,15.52,1.0,0.51,1.99,2.71,2.42,0.77,2.53,4.16,1.87,1.68,2.3,188.5,12.62,9.55,21.97,107.84,13.44,15.74,42.62,168.77,48.45,107.5,13.0,118.61,57.25,40.85
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,8.34,44.98,19.39,42.55,20.64,22.14,9.69,40.51,19.12,29.85,19.39,10.51,20.95,1.17,4.04,20.87,18.46,6.26,2.52,88.2,-17.95,-13.94,-9.95,93.54,30.3,24.57,58.06,-19.5,-15.29,-22.68,-29.76,-14.08,-52.72,-19.98,-65.48,-237.8,20.62,58.32,35.86,62.56,13.94,27.29,5.46,13.31,40.89,31.01,2.83,113.77,5.04,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,66.2,66.81,67.07,62.9,63.26,62.9,63.13,70.51,63.26,63.56,59.18,62.6,59.46,57.33,56.43,55.65,59.78,62.23,60.65,59.44,61.69,69.26,63.34,59.74,63.39,67.62,72.38,60.52,75.07,85.58,88.5,72.73,55.65,52.97,54.74,51.98,53.13,50.32,66.83,47.01,49.56,49.88,48.68,34.91,66.85,38.9,41.45,56.25,41.62,37.45
Depreciation,0.61,0.58,0.56,0.52,0.49,0.48,0.45,0.83,0.44,0.43,0.4,0.41,0.44,0.43,0.44,0.54,0.56,0.58,0.63,0.6,0.71,0.78,0.69,0.76,0.58,0.64,0.66,0.64,0.69,0.69,0.69,0.72,0.66,0.61,0.61,0.62,0.54,0.46,0.61,0.46,0.52,0.6,0.77,0.31,0.35,0.34,0.35,0.07,0.39,0.45
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.7,0.13,0.33,--,19.0,17.0,-7.93,20.0,23.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1859.78,1674.78,1462.44,2723.37,1732.39,1445.35,1357.48,2026.15,1425.99,1378.88,1238.65,1662.98,1372.27,1183.33,871.94,1861.72,1388.41,926.75,400.29,1417.7,1208.25,1041.54,1184.01,2037.95,1463.5,1406.76,1438.13,1959.01,1190.58,984.73,1140.41,2073.33,1340.08,1142.04,1227.69,2121.74,1278.19,940.82,985.34,1423.43,996.54,784.23,712.02,1145.79,790.82,630.91,639.33,903.95,594.85,535.82
