Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,1151.26,928.92,906.21,861.56,822.46,805.17,824.45,755.71,785.52,747.62,771.27,675.83,654.37,551.57,568.84,431.65,535.21,484.93,366.76,159.39,333.44
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1151.26,928.92,906.21,861.56,822.46,805.17,824.45,755.71,785.52,747.62,771.27,675.83,654.37,551.57,568.84,431.65,535.21,484.93,366.76,159.39,333.44
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,657.65,507.26,492.46,--,--,417.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,10.45,-7.19,-8.27,-16.23,-54.73,-18.58,-17.86,-14.94,8.64,-21.56,-10.39,-6.98,-2.63,-13.56,-18.95,1.47,-0.34,-17.21,-7.18,15.13,-2.19
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,78.04,76.24,71.96,64.64,63.56,66.23,62.43,56.54,55.77,57.42,57.32,56.47,45.86,53.0,47.27,39.92,44.09,47.06,36.1,15.67,36.33
Depreciation,72.76,68.64,64.8,61.67,62.65,58.82,56.51,58.07,53.29,53.76,54.7,53.22,54.49,52.1,50.02,49.37,50.13,55.16,47.73,39.39,48.36
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,244.11,237.32,217.92,665.27,665.32,183.24,607.14,550.81,553.56,553.62,554.22,462.91,457.39,385.22,397.75,284.38,341.42,315.27,237.44,84.81,213.39
"P/L Before Other Inc. , Int., Excpt. Items & Tax",88.25,46.65,67.34,86.21,85.66,98.39,116.23,105.23,114.26,104.38,115.42,110.21,99.26,74.81,92.75,56.51,99.91,84.65,52.67,4.39,37.55
Other Income,5.75,13.12,9.22,4.17,4.76,1.6,5.31,2.94,4.43,4.61,1.74,1.31,5.31,2.01,0.88,1.07,3.1,4.4,5.15,0.57,3.04
"P/L Before Int., Excpt. Items & Tax",94.0,59.77,76.56,90.38,90.42,99.99,121.54,108.17,118.69,108.99,117.16,111.52,104.57,76.82,93.63,57.58,103.01,89.05,57.82,4.96,40.59
Interest,57.17,51.86,38.28,45.85,42.75,39.03,37.26,35.58,38.6,29.63,23.28,25.4,23.76,20.18,17.77,22.49,30.0,25.56,21.35,30.37,34.89
P/L Before Exceptional Items & Tax,36.83,7.91,38.28,44.53,47.67,60.96,84.28,72.59,80.09,79.36,93.88,86.12,80.81,56.64,75.86,35.09,73.01,63.49,36.47,-25.41,5.7
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,36.83,7.91,38.28,44.53,47.67,60.96,84.28,72.59,80.09,79.36,93.88,86.12,80.81,56.64,75.86,35.09,73.01,63.49,36.47,-25.41,5.7
Tax,9.34,2.62,9.67,12.23,12.21,15.63,21.57,18.5,9.75,28.13,33.27,30.54,29.43,19.82,26.45,12.25,26.2,21.49,11.49,-8.38,3.17
P/L After Tax from Ordinary Activities,27.49,5.29,28.61,32.3,35.46,45.33,62.71,54.09,70.34,51.23,60.61,55.58,51.38,36.82,49.41,22.84,46.81,42.0,24.98,-17.03,2.53
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,27.49,5.29,28.61,32.3,35.46,45.33,62.71,54.09,70.34,51.23,60.61,55.58,51.38,36.82,49.41,22.84,46.81,42.0,24.98,-17.03,2.53
Equity Share Capital,11.93,11.93,11.93,11.92,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.06,10.56,10.06,10.06
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,11.15,2.22,12.63,17.72,16.75,21.45,29.21,26.6,33.76,24.56,27.94,25.97,24.9,18.84,24.32,10.32,24.89,20.87,11.83,-8.46,1.26
Diluted EPS,11.15,2.22,12.63,17.72,16.75,21.45,29.21,26.6,33.76,24.56,27.94,25.97,24.9,18.84,24.32,10.32,24.89,22.26,--,-9.62,1.32
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,
