Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Share Capital Suspense,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,4.83,4.83,92.74,92.74,97.57,66.41,0.0,67.85,34.97,41.25,13.99,-0.25,89.96,255.38,75.32,0.0,2.73,78.05,0.0,0.0,2.81,0.0,80.86,61.69,55.76,7.86,49.18,0.02,174.52,255.38,6.38,6.41,311.3,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.89,0.0,0.0,0.73
2014-03-31,4.83,4.83,155.35,155.35,160.18,87.11,0.0,87.95,20.05,58.42,12.16,2.36,92.99,341.12,70.06,0.0,24.15,94.21,0.01,0.0,52.18,0.0,146.39,53.85,76.98,8.89,54.34,0.67,194.72,341.12,8.41,10.09,338.36,0.0,0.0,0.01,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.31,0.0,0.0,0.63
2015-03-31,4.83,4.83,205.48,205.48,210.31,29.06,0.0,29.4,65.59,53.2,15.98,0.16,134.94,374.64,102.42,0.0,8.11,110.53,0.89,0.0,1.78,52.81,166.01,62.27,90.46,1.71,0.57,53.62,208.64,374.64,6.26,0.0,0.0,0.0,0.0,0.89,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,4.83,4.83,250.42,250.42,255.25,21.27,0.0,21.27,72.87,53.2,16.67,0.33,143.07,419.87,102.47,0.13,5.65,108.25,6.18,1.44,2.31,53.17,171.35,73.71,93.66,38.71,0.76,41.68,248.52,419.87,9.76,0.0,0.0,0.0,0.0,6.18,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,4.83,4.83,329.84,329.84,334.67,0.0,0.0,0.0,40.26,67.61,11.66,0.0,119.53,454.48,96.77,0.21,2.8,99.78,14.33,3.95,4.31,49.08,171.45,88.46,120.3,14.23,0.73,59.31,283.03,454.48,5.45,126.52,0.0,489.16,0.0,14.33,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.33,15.33,393.12,393.12,408.45,0.0,0.0,0.0,53.61,69.3,8.41,2.17,133.48,541.94,88.05,0.27,31.67,119.99,14.33,4.85,5.93,60.11,205.21,83.31,161.08,7.08,0.0,85.25,336.72,541.94,40.8,167.65,0.0,489.57,10.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.33,15.33,493.12,493.12,508.45,92.82,3.91,97.14,20.19,52.32,26.72,4.47,103.7,709.28,77.82,0.35,106.29,184.45,16.69,0.0,6.45,72.55,280.14,79.0,166.98,103.07,0.0,80.08,429.14,709.28,45.09,217.78,0.0,573.65,10.22,16.69,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.33,15.33,615.44,615.44,630.77,91.46,7.56,99.02,0.0,84.27,45.04,3.28,132.58,862.38,215.91,0.86,5.84,222.61,44.17,6.21,4.72,64.64,342.35,119.45,145.11,205.63,0.0,49.84,520.03,862.38,20.68,203.76,0.0,555.19,10.22,44.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.33,15.33,723.51,723.51,738.84,56.74,4.35,61.1,0.0,108.44,43.01,4.04,155.49,955.43,195.31,0.54,26.3,222.15,43.67,7.34,4.03,64.68,341.87,108.93,174.53,261.18,0.0,68.92,613.55,955.43,36.0,206.02,0.0,608.52,10.22,43.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.33,15.33,943.17,943.17,958.5,25.08,0.87,25.95,33.44,151.45,28.18,30.31,243.38,1227.82,228.73,0.57,14.12,243.43,43.11,7.83,1.32,64.7,360.38,201.65,331.59,215.8,0.0,118.41,867.44,1227.82,28.49,443.77,0.0,1041.12,10.22,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.33,15.33,1506.8,1506.8,1522.13,0.0,0.82,0.82,27.2,170.72,35.83,15.64,249.39,1772.34,212.54,1.49,40.44,254.47,53.07,10.19,0.91,81.94,400.58,298.71,476.92,497.35,1.08,97.69,1371.75,1772.34,36.79,770.97,0.0,2055.03,10.22,53.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,15.33,15.33,1845.96,1845.96,1861.29,0.0,2.47,2.47,0.0,131.97,28.37,20.02,180.36,2044.12,231.04,1.7,29.73,262.46,115.58,13.03,1.21,88.68,480.95,195.22,348.03,961.01,0.65,58.26,1563.17,2044.12,30.88,322.91,0.0,1006.53,10.22,115.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,15.33,15.33,2202.62,2202.62,2217.95,0.0,0.88,0.88,0.0,150.81,25.81,29.03,205.65,2424.48,252.17,2.17,26.77,281.11,180.53,15.36,0.9,248.15,726.05,275.15,365.95,891.01,0.63,165.69,1698.43,2424.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
