Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Dec '19
Net Sales/Income from operations,1308.28,767.62,843.49,558.11,832.7,668.36,599.15,463.46,700.41,450.53,425.12,370.46,455.23,413.81,348.46,304.04,429.48,394.73,265.45,247.62,258.14
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1308.28,767.62,843.49,558.11,832.7,668.36,599.15,463.46,700.41,450.53,425.12,370.46,455.23,413.81,348.46,304.04,429.48,394.73,265.45,247.62,258.14
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,43.93,56.42,53.23,56.14,45.56,55.02,51.58,52.14,51.0,48.24,43.74,51.04,61.82,48.48,34.67,37.53,30.7,26.75,32.12,32.13,30.21
Depreciation,59.75,43.22,39.88,37.55,42.6,40.54,37.87,36.69,41.2,36.95,36.55,39.56,43.04,37.93,40.08,39.08,39.96,37.56,40.87,40.86,27.48
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1084.72,590.05,660.94,398.6,670.59,494.54,432.3,338.41,550.35,328.76,281.13,253.2,297.21,294.05,204.24,206.99,325.27,242.91,162.55,157.58,153.13
"P/L Before Other Inc. , Int., Excpt. Items & Tax",119.88,77.93,89.44,65.82,73.95,78.26,77.4,36.22,57.86,36.58,63.7,26.66,53.16,33.35,69.47,20.44,33.55,87.51,29.91,17.05,47.32
Other Income,20.4,14.67,19.02,19.45,19.1,6.45,13.67,14.89,9.29,6.33,10.94,7.58,21.11,56.15,21.33,7.76,8.14,5.98,8.56,5.74,6.25
"P/L Before Int., Excpt. Items & Tax",140.28,92.6,108.46,85.27,93.05,84.71,91.07,51.11,67.15,42.91,74.64,34.24,74.27,89.5,90.8,28.2,41.69,93.49,38.47,22.79,53.57
Interest,1.03,0.56,0.55,0.97,3.51,0.47,0.61,0.9,1.26,0.44,0.68,0.53,1.13,0.61,0.71,0.77,0.67,-0.21,0.69,0.68,1.02
P/L Before Exceptional Items & Tax,139.25,92.04,107.91,84.3,89.54,84.24,90.46,50.21,65.89,42.47,73.96,33.71,73.14,88.89,90.09,27.43,41.02,93.7,37.78,22.11,52.55
Exceptional Items,11.94,-2.36,-13.78,-17.52,12.39,--,--,--,36.54,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,151.19,89.68,94.13,66.78,101.93,84.24,90.46,50.21,102.43,42.47,73.96,33.71,73.14,88.89,90.09,27.43,41.02,93.7,37.78,22.11,52.55
Tax,37.74,24.63,21.49,18.11,24.4,22.1,22.31,12.75,26.88,10.89,18.79,8.63,19.03,22.31,23.28,6.59,13.82,24.36,10.1,5.92,9.84
P/L After Tax from Ordinary Activities,113.45,65.05,72.64,48.67,77.53,62.14,68.15,37.46,75.55,31.58,55.17,25.08,54.11,66.58,66.81,20.84,27.2,69.34,27.68,16.19,42.71
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,113.45,65.05,72.64,48.67,77.53,62.14,68.15,37.46,75.55,31.58,55.17,25.08,54.11,66.58,66.81,20.84,27.2,69.34,27.68,16.19,42.71
Equity Share Capital,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.53,2.03,2.26,1.52,2.42,1.94,2.12,1.17,2.35,0.98,1.72,0.78,1.69,2.07,2.08,0.65,0.85,2.16,0.86,1617.54,1.33
Diluted EPS,3.53,2.03,2.26,1.52,2.42,1.94,2.12,1.17,2.35,0.98,1.72,0.78,1.69,2.07,2.08,0.65,0.85,2.16,0.86,--,1.33
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
