Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,31.26,0.78,32.03,22.22,-10.35,0.0,4.05,1.04,0.05,10.93,4.08,-0.16,3.93,1.55,2.38,0.0,2.38,-1.11,3.49,0.0,3.49,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,34.05,1.25,35.3,15.03,-1.34,0.0,4.16,1.07,0.15,11.39,4.84,-0.43,4.41,1.76,2.66,0.0,2.66,0.65,2.01,0.0,2.01,4.19,0.0,4.8,4.8,0.12,27.86,0.3,100.0,72.14
2013-03-31,31.11,1.0,32.12,6.34,-0.15,0.0,4.62,1.15,0.6,14.2,5.36,0.24,5.6,1.5,4.1,0.0,4.1,-0.62,4.72,0.0,4.72,4.19,0.0,11.27,11.27,0.11,25.18,0.31,100.0,74.82
2013-06-30,23.89,1.14,25.03,8.98,0.07,0.0,3.19,1.03,0.04,7.97,3.76,0.8,4.56,2.02,2.54,0.0,2.54,0.72,1.82,0.0,1.82,4.19,0.0,4.33,3.46,0.11,25.18,0.31,100.0,74.82
2013-09-30,29.02,1.2,30.22,10.27,0.17,2.48,4.25,1.05,0.25,8.93,2.83,0.36,3.18,1.01,2.18,0.0,2.18,0.33,1.85,0.0,1.85,4.19,0.0,4.4,3.52,0.11,25.18,0.31,100.0,74.82
2013-12-31,35.93,0.76,36.69,10.53,4.94,2.44,3.9,1.26,0.0,9.56,4.04,0.07,4.11,0.9,3.21,0.0,3.21,0.16,3.05,-0.62,2.43,4.19,0.0,5.81,4.65,0.11,26.09,0.31,100.0,73.91
2014-03-31,26.48,0.64,27.12,6.18,-2.79,4.02,4.83,1.04,0.42,9.27,4.16,1.32,5.48,1.37,4.11,0.0,4.11,1.22,2.88,-2.95,-0.07,4.19,64.88,0.0,0.0,0.11,26.09,0.31,100.0,73.91
2014-06-30,24.05,0.59,24.64,8.8,-1.81,2.21,4.03,1.54,0.04,6.82,3.01,0.48,3.5,0.72,2.77,0.0,2.77,0.9,1.88,0.0,1.88,4.56,0.0,4.2,3.64,0.15,32.0,0.31,100.0,68.0
2014-09-30,23.6,0.68,24.28,6.5,0.02,1.9,4.19,1.59,0.0,7.4,2.67,0.3,2.97,0.66,2.31,0.0,2.31,0.45,1.86,-0.34,1.52,4.56,0.0,3.38,2.91,0.12,27.15,0.33,100.0,72.85
2014-12-31,25.25,0.93,26.17,8.68,-0.17,2.3,3.0,1.63,0.0,7.33,3.4,0.62,4.03,0.45,3.58,0.0,3.58,0.82,2.76,-0.48,2.28,5.24,0.0,4.59,4.34,0.19,36.65,0.33,100.0,63.35
2015-03-31,25.22,0.46,25.68,7.7,-2.45,2.22,4.84,1.6,0.33,8.44,3.0,0.24,3.24,0.73,2.51,-1.54,0.97,0.15,0.82,0.0,0.82,5.24,0.0,1.7,1.56,0.19,36.61,0.33,100.0,63.39
2015-06-30,19.66,0.59,20.25,5.86,-1.84,2.21,3.99,1.42,0.18,6.87,1.56,0.1,1.66,0.67,1.0,1.05,2.05,0.74,1.3,0.0,1.3,5.24,0.0,2.49,2.49,0.19,36.61,0.33,100.0,63.39
2015-09-30,21.85,0.7,22.56,6.27,0.17,2.48,4.47,1.1,0.16,6.41,1.49,0.86,2.35,0.69,1.66,0.0,1.66,0.49,1.17,0.0,1.17,5.24,0.0,2.24,2.24,0.19,36.61,0.33,100.0,63.39
2015-12-31,23.51,0.6,24.11,4.27,1.44,2.56,5.2,1.51,0.38,6.23,2.54,0.06,2.6,0.58,2.02,0.0,2.02,0.53,1.48,0.0,1.48,5.24,0.0,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2016-03-31,28.06,0.71,28.77,9.87,-1.56,3.78,1.4,0.0,0.0,13.38,1.89,1.17,3.06,0.63,2.43,0.0,2.43,0.24,2.2,0.0,2.2,5.24,0.0,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2016-06-30,22.16,0.74,22.91,6.42,-0.85,2.52,4.13,1.37,0.0,7.1,2.22,0.6,2.81,0.81,2.01,0.0,2.01,0.4,1.61,0.0,1.61,5.24,0.0,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2016-09-30,27.94,0.76,28.7,7.52,1.33,2.42,4.38,1.38,0.0,8.89,2.8,0.35,3.14,0.84,2.3,0.0,2.3,0.64,1.66,0.0,1.66,5.24,0.0,3.16,3.16,0.0,0.0,0.0,0.0,0.0
2016-12-31,22.75,0.62,23.37,5.31,-1.16,2.32,4.51,1.42,0.0,8.28,2.69,0.45,3.14,1.16,1.98,0.0,1.98,0.22,1.76,0.0,1.76,5.24,0.0,3.36,3.36,0.0,0.0,0.0,0.0,0.0
2017-03-31,24.42,0.0,24.42,5.75,-0.93,2.54,4.49,1.38,0.0,9.42,1.78,0.13,1.9,0.62,1.28,0.0,1.28,0.45,0.83,0.0,0.83,5.24,0.0,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2017-06-30,19.01,0.0,19.01,6.12,-1.61,2.34,3.13,1.29,0.26,6.58,0.91,1.15,2.06,0.94,1.13,0.0,1.13,0.42,0.71,0.0,0.71,5.24,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2017-09-30,24.39,0.0,24.39,2.74,4.97,1.87,4.19,1.32,0.24,6.97,2.1,0.79,2.89,0.85,2.04,0.0,2.04,0.43,1.6,0.0,1.6,5.24,0.0,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,23.88,0.0,23.88,7.34,-0.43,1.64,4.3,1.42,0.0,5.62,3.99,0.2,4.19,0.99,3.2,0.0,3.2,0.81,2.39,0.0,2.39,5.24,0.0,4.56,4.56,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.8,0.0,33.8,9.03,-0.68,3.32,5.01,1.75,0.3,12.57,2.5,0.74,3.24,1.24,2.0,0.0,2.0,-0.51,2.51,0.0,2.51,5.24,0.0,4.79,4.79,0.0,0.0,0.0,0.0,0.0
2018-06-30,28.6,0.0,28.6,10.33,-3.94,3.4,4.48,1.35,0.14,9.42,3.42,0.75,4.17,1.28,2.88,0.0,2.88,0.84,2.05,0.0,2.05,5.24,0.0,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,37.03,0.0,37.03,9.76,0.38,3.06,5.04,2.88,0.36,13.12,2.42,2.91,5.33,3.51,1.82,-0.62,1.2,-3.24,4.44,0.0,4.44,5.24,0.0,8.47,8.47,0.0,0.0,0.0,0.0,0.0
2018-12-31,41.84,0.0,41.84,14.09,-2.8,3.75,5.28,2.45,0.03,13.25,5.8,0.03,5.83,3.62,2.21,0.0,2.21,0.67,1.54,0.0,1.54,5.24,0.0,2.93,2.93,0.0,0.0,0.0,0.0,0.0
2019-03-31,43.78,0.0,43.78,10.61,2.24,4.16,4.66,2.41,0.57,15.73,3.4,0.53,3.93,0.8,3.13,0.0,3.13,0.24,2.89,0.0,2.89,5.24,0.0,4.79,4.79,0.0,0.0,0.0,0.0,0.0
2019-06-30,39.33,0.0,39.33,15.28,-6.16,3.99,5.12,2.35,0.0,14.18,4.58,1.12,5.7,2.84,2.86,0.0,2.86,0.67,2.19,0.0,2.19,5.24,0.0,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,39.47,0.0,39.47,13.32,-5.59,0.0,5.51,2.43,0.0,20.64,3.15,2.56,5.71,2.79,2.92,0.0,2.92,0.7,2.23,0.0,2.23,5.24,0.0,4.25,4.25,0.0,0.0,0.0,0.0,0.0
2019-12-31,50.23,0.0,50.23,9.87,4.09,0.0,5.89,2.63,0.0,22.19,5.57,0.96,6.53,2.61,3.92,0.0,3.92,1.04,2.88,0.0,2.88,5.24,0.0,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2020-03-31,39.1,0.0,39.1,9.41,-3.7,0.0,5.09,2.81,0.0,20.69,4.78,2.56,7.35,3.15,4.2,0.0,4.2,0.98,3.21,0.0,3.21,5.24,0.0,6.13,6.13,0.0,0.0,0.0,0.0,0.0
2020-06-30,28.16,0.0,28.16,4.38,3.23,0.0,4.77,3.89,0.0,9.05,2.83,0.84,3.67,3.27,0.4,0.0,0.4,0.08,0.33,0.0,0.33,5.24,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0
2020-09-30,44.67,0.0,44.67,9.61,3.58,0.0,5.41,3.56,0.0,18.52,4.01,0.88,4.89,3.17,1.71,0.0,1.71,0.54,1.17,0.0,1.17,5.24,0.0,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2020-12-31,37.48,0.0,37.48,10.82,-3.9,0.0,4.6,3.65,0.0,17.49,4.81,0.28,5.09,3.43,1.66,0.0,1.66,0.47,1.19,0.0,1.19,5.24,0.0,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2021-03-31,53.03,0.0,53.03,12.13,1.18,0.0,5.19,3.57,0.0,22.35,8.62,3.2,11.82,3.56,8.26,0.0,8.26,6.77,1.49,0.0,1.49,5.24,0.0,2.84,2.84,0.0,0.0,0.0,0.0,0.0
2021-06-30,45.06,0.0,45.06,5.31,6.46,0.0,4.9,3.63,0.0,14.82,9.94,0.95,10.89,3.84,7.04,0.0,7.04,1.81,5.24,0.0,5.24,5.24,0.0,9.99,9.99,0.0,0.0,0.0,0.0,0.0
2021-09-30,38.29,0.0,38.29,14.27,-3.94,0.0,4.36,3.63,0.0,16.0,3.98,1.97,5.96,3.59,2.37,0.0,2.37,0.57,1.8,0.0,1.8,5.24,0.0,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2021-12-31,44.9,0.0,44.9,19.59,-6.86,0.0,5.39,3.67,0.0,19.5,3.62,1.7,5.31,3.59,1.72,-1.57,0.16,0.13,0.02,0.0,0.02,5.24,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2022-03-31,50.69,0.0,50.69,16.49,-1.19,0.0,5.37,3.62,0.46,20.8,5.15,2.29,7.44,4.04,3.4,0.0,3.4,0.96,2.44,0.0,2.44,5.24,0.0,4.66,4.65,0.0,0.0,0.0,0.0,0.0
2022-06-30,46.05,0.0,46.05,11.84,3.9,0.0,5.03,4.11,0.01,14.97,6.2,1.45,7.65,3.78,3.88,0.0,3.88,1.15,2.73,0.0,2.73,5.24,0.0,5.22,5.21,0.0,0.0,0.0,0.0,0.0
