Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21
Net Sales/Income from operations,1689.8,1248.32,1284.39,1063.2,1525.3,1024.14,994.24,846.43,1054.58,813.29,828.87,746.47,1127.09,433.28,802.62,614.58
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,117.38,--,--
Total Income From Operations,1689.8,1248.32,1284.39,1063.2,1525.3,1024.14,994.24,846.43,1054.58,813.29,828.87,746.47,1127.09,550.66,802.62,614.58
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,336.72,474.23,380.22,405.76,417.52,444.94,356.76,326.33,308.9,278.85,298.6,280.13,117.69,274.83,278.07,333.09
Purchase of Traded Goods,149.93,174.42,232.81,176.44,145.86,171.21,156.09,151.75,124.53,137.59,147.99,138.58,335.01,54.05,87.57,33.07
Increase/Decrease in Stocks,236.32,-117.13,-71.41,-132.35,135.74,-120.72,-11.59,-65.05,95.94,-26.36,-23.1,6.83,90.17,-52.49,4.74,-72.59
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,198.96,173.55,176.72,186.96,152.88,150.56,151.44,159.05,146.91,131.39,137.36,132.84,114.86,84.32,117.11,109.01
Depreciation,61.17,55.46,53.61,51.85,52.5,51.56,50.83,50.37,53.01,47.19,47.11,44.78,51.38,5.93,37.54,35.79
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,351.29,323.91,313.16,274.76,283.66,252.62,255.38,257.76,288.75,264.55,221.19,254.21,287.11,130.24,204.27,167.52
"P/L Before Other Inc. , Int., Excpt. Items & Tax",355.41,163.88,199.28,99.78,337.14,73.97,35.33,-33.78,36.54,-19.92,-0.28,-110.9,130.87,53.78,73.32,8.69
Other Income,39.51,24.7,106.38,36.76,53.19,33.11,89.08,26.68,62.88,53.88,117.7,106.61,75.29,55.67,60.9,31.73
"P/L Before Int., Excpt. Items & Tax",394.92,188.58,305.66,136.54,390.33,107.08,124.41,-7.1,99.42,33.96,117.42,-4.29,206.16,109.45,134.22,40.42
Interest,30.56,29.17,29.95,24.88,27.66,17.42,28.22,33.8,33.78,33.22,28.56,20.31,19.64,11.54,15.11,7.26
P/L Before Exceptional Items & Tax,364.36,159.41,275.71,111.66,362.67,89.66,96.19,-40.9,65.64,0.74,88.86,-24.6,186.52,97.91,119.11,33.16
Exceptional Items,--,--,--,--,--,--,--,--,--,--,-6.96,--,--,2.61,--,-15.08
P/L Before Tax,364.36,159.41,275.71,111.66,362.67,89.66,96.19,-40.9,65.64,0.74,81.9,-24.6,186.52,100.52,119.11,18.08
Tax,87.09,40.61,65.65,26.39,89.59,15.32,19.03,-7.54,23.94,3.16,34.57,-7.48,35.08,13.26,27.89,4.95
P/L After Tax from Ordinary Activities,277.27,118.8,210.06,85.27,273.08,74.34,77.16,-33.36,41.7,-2.42,47.33,-17.12,151.44,87.26,91.22,13.13
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,277.27,118.8,210.06,85.27,273.08,74.34,77.16,-33.36,41.7,-2.42,47.33,-17.12,151.44,87.26,91.22,13.13
Equity Share Capital,1324.35,1323.58,1323.14,1322.95,1322.95,1322.95,1322.95,1193.32,1193.32,1193.32,1193.32,1185.91,1185.91,1185.91,994.6,994.6
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,2.09,0.9,1.59,0.64,2.06,0.56,0.61,-0.28,0.35,-0.02,0.4,-0.14,1.28,0.74,0.92,0.13
Diluted EPS,2.09,0.9,1.59,0.64,2.06,0.56,0.61,-0.28,0.35,-0.02,0.4,-0.14,1.28,--,0.78,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
