Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value
2016-03-31,4.24,4.24,7156.97,7156.97,7161.21,1486.45,351.79,36.24,125.13,1999.61,488.43,1528.82,1902.03,89.65,4008.93,13169.75,4584.74,9.06,1058.4,5652.2,1044.64,0.0,10.05,238.22,6945.11,2102.75,1879.74,1831.72,80.45,0.0,329.98,6224.64,13169.75,914.78,4057.97,99.3,740.17,95.29,1666.49,23.71,1.78,0.0,1041.16,2102.75
2017-03-31,4.24,4.24,8540.18,8540.18,8544.42,1238.32,501.17,27.74,137.26,1904.49,573.34,1677.08,2104.91,120.88,4476.21,14925.12,5474.35,13.23,846.96,6334.54,1080.57,0.0,3.68,318.85,7737.64,2313.78,2392.92,1959.95,274.42,3.98,242.43,7187.48,14925.12,394.55,2710.64,63.6,246.16,84.87,1151.31,15.84,1.78,0.0,1080.57,2313.78
2018-03-31,4.24,4.24,9599.96,9599.96,9604.2,1319.33,619.01,58.08,152.74,2149.16,228.37,1998.96,2178.28,142.83,4548.44,16301.8,6057.84,17.47,1078.84,7154.15,1092.42,0.0,14.09,356.29,8616.95,3054.02,2172.07,2135.92,139.41,1.9,181.53,7684.85,16301.8,410.57,2838.54,58.29,514.81,86.09,1145.82,13.89,1.78,0.0,1092.42,3054.02
2019-03-31,4.24,4.24,10649.06,10649.06,10653.3,1054.73,839.2,76.29,167.8,2138.02,408.86,2327.64,2550.63,149.23,5436.36,18227.68,6751.32,16.2,1403.19,8170.71,1078.0,0.0,0.31,658.16,9907.18,2770.39,2950.93,2361.62,60.07,0.61,176.88,8320.5,18227.68,969.94,3472.74,68.98,321.23,111.96,1330.3,14.37,1.78,6.0,1072.0,2770.39
2020-03-31,4.24,4.24,12000.11,12000.11,12004.35,779.03,427.83,578.12,189.16,1974.14,241.99,2340.14,2440.41,153.08,5175.62,19154.11,8820.72,28.46,1734.56,10583.74,26.53,0.0,12.22,573.81,11196.3,1513.65,2852.69,2257.03,1106.85,2.89,224.7,7957.81,19154.11,0.0,3016.15,55.99,1160.67,119.87,1384.45,15.51,1.78,4.81,21.72,1513.65
2021-03-31,4.24,4.24,13174.62,13174.62,13178.86,811.76,378.5,496.85,211.25,1898.36,40.82,4244.86,2696.95,199.73,7182.36,22259.58,9366.83,24.31,1001.03,10392.17,1150.34,0.0,2.67,562.58,12107.76,4725.83,2880.33,2220.5,105.34,6.77,213.05,10151.82,22259.58,0.0,2430.74,33.61,263.16,61.57,1113.26,16.03,1.78,1128.62,21.72,4725.83
2022-03-31,4.24,4.24,13773.03,13773.03,13777.27,817.21,393.3,640.24,218.67,2069.42,1186.51,2774.32,2705.84,180.04,6846.71,22693.4,9445.06,21.21,1225.81,10692.08,1155.53,0.0,0.82,900.76,12749.19,2509.69,4061.72,2283.26,114.85,3.18,971.51,9944.21,22693.4,3897.42,4048.35,54.1,413.38,141.81,1521.29,43.75,1.78,1133.81,21.72,2509.69
2023-03-31,4.24,4.24,14504.63,14504.63,14508.87,823.58,381.67,743.41,215.02,2163.68,1153.5,2757.45,3207.31,232.94,7351.2,24023.75,10024.1,25.94,3045.22,13095.26,1130.92,0.0,1.19,835.22,15062.59,1974.84,4042.68,2442.36,156.29,2.95,342.04,8961.16,24023.75,3669.21,3836.7,72.28,1136.83,122.5,1646.96,116.37,1.78,1109.2,21.72,1974.84
2024-03-31,4.24,4.24,16436.41,16436.41,16440.65,724.11,457.84,991.74,259.45,2433.14,906.7,2944.41,3244.1,445.79,7541.0,26414.79,11952.1,25.12,2362.51,14339.73,1141.64,0.0,4.09,727.5,16212.96,2261.98,4360.72,2841.86,240.34,5.8,491.13,10201.83,26414.79,3184.87,4157.36,80.23,707.13,135.33,1645.45,7.51,1.78,1119.92,21.72,2261.98
2025-03-31,4.24,4.24,18171.63,18171.63,18175.87,374.43,456.5,997.91,284.88,2113.72,1212.11,4006.74,3245.66,342.0,8806.51,29096.1,13108.17,20.56,1166.47,14295.2,1155.67,329.29,7.61,293.53,16081.3,3403.33,5539.34,3302.13,249.46,4.99,515.55,13014.8,29096.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
