Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,3364.64,4707.64,4381.91,4211.94,4041.58,3959.28,3452.78,3332.68,3164.6,3168.53,3030.92,2832.3,2722.57,2637.06,2273.86,2125.01,2113.72,1907.11,1766.64,1695.94,2179.44,2089.67,1805.6,1615.88,1534.17,1427.01,1354.21,1297.69,1292.93,1137.11,970.42,896.86,878.2,840.8,831.31,810.42,823.54,789.57,687.19,617.88
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,3364.64,4707.64,4381.91,4211.94,4041.58,3959.28,3452.78,3332.68,3164.6,3168.53,3030.92,2832.3,2722.57,2637.06,2273.86,2125.01,2113.72,1907.11,1766.64,1695.94,2179.44,2089.67,1805.6,1615.88,1534.17,1427.01,1354.21,1297.69,1292.93,1137.11,970.42,896.86,878.2,840.8,831.31,810.42,823.54,789.57,687.19,617.88
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,0.07,50.94,50.26,45.06,46.74,47.1,51.85,40.68,43.28,47.96,44.75,41.36,30.52,32.84,23.67,24.01,22.13,17.38,16.63,15.15,33.14,34.16,30.28,28.82,33.86,32.55,33.95,29.31,36.01,35.01,8.97,8.24,6.56,2.24,17.04,10.2,-31.39,10.73,9.91,10.75
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,3178.62,4261.42,3943.74,3807.36,3618.54,3546.21,3106.87,3023.27,2850.8,2831.26,2724.43,2509.14,2416.91,2320.64,2047.48,1919.5,1909.45,1743.01,1620.32,1545.98,1927.24,1850.52,1537.73,1356.04,1255.68,1155.7,1100.63,1048.06,1042.26,942.59,862.37,787.02,768.15,753.09,731.27,716.41,737.88,700.98,601.97,546.5
Depreciation,9.31,46.21,47.97,47.83,45.81,46.96,16.58,16.46,21.19,17.04,13.6,13.28,13.71,13.66,10.07,10.66,11.47,12.61,13.68,14.75,14.92,17.07,16.93,16.12,11.02,11.2,11.23,11.11,9.84,6.41,4.66,4.46,4.39,4.38,4.31,3.94,5.15,3.84,3.63,3.83
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
