Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,187.54,187.6,176.1,163.15,155.72,139.32,133.83,137.13,136.5,137.27,115.86,105.16,108.44,111.27,95.97,81.85,72.23,78.32,72.65,42.26,43.39,53.04,49.23,30.41,29.84,34.74,27.53,25.68
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.31,--,--,--,--,--,--,--
Total Income From Operations,187.54,187.6,176.1,163.15,155.72,139.32,133.83,137.13,136.5,137.27,115.86,105.16,108.44,111.27,95.97,81.85,72.23,78.32,72.65,42.26,44.7,53.04,49.23,30.41,29.84,34.74,27.53,25.68
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.06,--,--,--
Employees Cost,13.92,13.8,12.65,14.12,13.52,13.44,11.58,12.51,11.88,12.13,11.19,11.74,11.74,12.27,10.25,9.91,8.64,9.24,7.59,6.32,5.79,5.87,6.71,5.82,5.43,5.38,4.2,4.53
Depreciation,2.07,2.09,2.06,1.78,2.12,1.93,2.05,2.02,1.8,2.01,1.93,1.7,1.81,1.96,2.03,1.48,1.58,1.58,1.59,1.82,1.73,1.5,1.11,1.08,1.42,1.01,1.01,0.98
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,146.32,149.18,139.25,123.54,123.8,109.0,101.03,107.0,102.6,101.28,87.72,81.16,83.89,86.0,73.03,57.86,49.59,58.7,54.57,32.05,30.56,34.08,31.88,16.92,18.01,20.46,17.55,17.43
"P/L Before Other Inc. , Int., Excpt. Items & Tax",25.24,22.53,22.14,23.72,16.28,14.95,19.17,15.61,20.22,21.86,15.03,10.57,11.0,11.03,10.66,12.6,12.41,8.81,8.9,2.08,6.63,11.6,9.54,6.59,4.92,7.89,4.77,2.75
Other Income,16.61,17.04,14.51,14.49,15.43,10.1,5.4,5.39,7.06,6.88,5.03,3.6,7.74,6.44,10.39,6.61,3.64,0.26,1.03,2.79,2.63,3.31,2.32,1.72,1.16,1.0,0.73,0.76
"P/L Before Int., Excpt. Items & Tax",41.85,39.57,36.64,38.2,31.71,25.04,24.58,20.99,27.28,28.74,20.06,14.17,18.74,17.47,21.05,19.21,16.05,9.07,9.93,4.87,9.26,14.91,11.85,8.31,6.09,8.89,5.5,3.51
Interest,0.36,0.27,0.25,0.26,0.24,0.19,0.19,0.06,0.05,0.01,0.07,0.07,0.34,0.08,0.12,0.12,0.07,0.07,0.15,0.07,0.08,0.1,0.1,0.04,0.06,0.09,0.19,0.1
P/L Before Exceptional Items & Tax,41.49,39.3,36.39,37.95,31.48,24.86,24.39,20.93,27.23,28.73,19.99,14.09,18.4,17.4,20.93,19.1,15.98,9.0,9.78,4.8,9.18,14.81,11.76,8.27,6.02,8.8,5.31,3.41
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,41.49,39.3,36.39,37.95,31.48,24.86,24.39,20.93,27.23,28.73,19.99,14.09,18.4,17.4,20.93,19.1,15.98,9.0,9.78,4.8,9.18,14.81,11.76,8.27,6.02,8.8,5.31,3.41
Tax,10.66,10.04,9.16,9.78,7.78,6.35,6.22,5.35,6.92,7.25,5.18,3.81,5.06,4.93,5.1,4.18,5.29,2.31,2.5,1.24,2.4,3.73,2.95,2.05,1.78,2.62,1.38,1.09
P/L After Tax from Ordinary Activities,30.84,29.26,27.23,28.17,23.69,18.51,18.17,15.58,20.31,21.48,14.81,10.29,13.34,12.47,15.83,14.91,10.69,6.69,7.29,3.56,6.78,11.08,8.81,6.22,4.25,6.18,3.93,2.32
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,30.84,29.26,27.23,28.17,23.69,18.51,18.17,15.58,20.31,21.48,14.81,10.29,13.34,12.47,15.83,14.91,10.69,6.69,7.29,3.56,6.78,11.08,8.81,6.22,4.25,6.18,3.93,2.32
Equity Share Capital,28.07,28.07,28.04,28.03,28.02,28.02,26.64,26.64,26.64,26.64,26.64,26.64,26.65,26.65,26.65,26.65,25.5,25.5,25.5,25.5,25.5,25.5,25.5,24.29,24.29,24.29,24.29,24.29
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.98,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.2,2.09,1.94,2.01,1.75,1.38,1.36,1.17,1.52,1.61,1.11,0.77,1.01,0.94,5.99,5.68,4.19,2.62,2.86,1.4,2.7,4.44,3.57,--,--,2.55,1.62,--
Diluted EPS,2.2,2.08,1.94,2.01,1.75,1.38,1.36,1.17,1.52,1.61,1.11,0.77,1.01,0.94,5.99,5.68,4.19,2.62,2.86,1.4,2.7,4.44,3.57,2.56,--,2.55,1.62,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
