Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,208.38,206.29,209.28,208.26,185.37,174.49,160.75,146.47,129.19,132.27,141.61,132.73,99.66,90.14,85.65,58.37,90.94,91.27,93.31,100.87,108.25,93.98,101.57,102.75
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,208.38,206.29,209.28,208.26,185.37,174.49,160.75,146.47,129.19,132.27,141.61,132.73,99.66,90.14,85.65,58.37,90.94,91.27,93.31,100.87,108.25,93.98,101.57,102.75
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,133.66,148.98,153.49,151.68,136.25,132.75,121.95,110.96,96.58,103.0,109.38,102.58,72.34,66.97,63.81,44.69,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,18.3,22.99,19.16,22.18,14.41,15.71,8.6,15.56,16.1,14.97,15.74,16.08,20.14,15.17,10.13,9.28,68.18,7.73,7.2,6.11,5.49,5.51,5.75,5.83
Depreciation,3.47,3.58,3.8,4.33,4.55,4.42,4.34,3.8,3.56,3.74,3.86,3.82,3.85,3.8,4.19,2.95,2.97,2.92,2.73,1.76,1.88,1.58,1.42,1.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,13.06,10.8,10.15,8.6,9.72,7.97,9.97,8.65,6.2,6.03,12.16,8.41,5.18,4.75,3.89,2.56,13.31,77.21,81.49,84.8,96.55,83.52,98.62,91.21
"P/L Before Other Inc. , Int., Excpt. Items & Tax",39.89,19.94,22.68,21.47,20.44,13.64,15.89,7.5,6.75,4.53,0.47,1.84,-1.85,-0.55,3.63,-1.1,6.48,3.41,1.9,8.2,4.34,3.38,-4.22,4.23
Other Income,23.09,19.42,38.71,16.59,11.49,40.94,26.89,21.11,16.13,48.78,10.42,28.06,10.1,22.76,2.74,4.62,2.87,4.19,2.37,2.14,12.52,1.01,1.85,3.16
"P/L Before Int., Excpt. Items & Tax",62.98,39.36,61.39,38.06,31.93,54.58,42.78,28.61,22.88,53.31,10.89,29.9,8.25,22.22,6.38,3.51,9.35,7.6,4.27,10.34,16.86,4.39,-2.37,7.39
Interest,0.39,0.44,0.41,0.43,0.44,0.64,0.46,0.54,0.46,0.53,0.52,0.64,0.57,0.49,0.53,0.34,0.14,0.26,0.67,0.72,0.76,0.85,0.51,0.68
P/L Before Exceptional Items & Tax,62.59,38.92,60.98,37.63,31.49,53.94,42.32,28.07,22.42,52.78,10.37,29.26,7.68,21.73,5.85,3.18,9.21,7.33,3.59,9.63,16.11,3.54,-2.89,6.72
Exceptional Items,-28.08,--,--,--,--,--,--,--,--,-5.0,--,--,-5.0,--,--,--,--,--,--,--,-0.13,-13.26,--,--
P/L Before Tax,34.51,38.92,60.98,37.63,31.49,53.94,42.32,28.07,22.42,47.78,10.37,29.26,2.68,21.73,5.85,3.18,9.21,7.33,3.59,9.63,15.97,-9.72,-2.89,6.72
Tax,8.75,9.87,12.98,9.42,7.93,8.97,7.28,5.31,5.73,8.55,2.67,3.05,2.53,0.79,1.54,0.8,2.23,1.89,0.86,2.47,3.31,-2.59,-0.69,2.51
P/L After Tax from Ordinary Activities,25.76,29.05,48.0,28.21,23.56,44.97,35.04,22.76,16.69,39.23,7.7,26.21,0.15,20.94,4.31,2.38,6.98,5.45,2.74,7.16,12.66,-7.13,-2.19,4.21
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,25.76,29.05,48.0,28.21,23.56,44.97,35.04,22.76,16.69,39.23,7.7,26.21,0.15,20.94,4.31,2.38,6.98,5.45,2.74,7.16,12.66,-7.13,-2.19,4.21
Equity Share Capital,63.0,62.96,62.96,62.79,62.79,62.62,62.62,62.44,62.44,62.31,62.18,63.04,62.87,62.87,57.91,57.71,57.71,57.36,56.86,50.0,50.0,50.0,50.0,50.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24.32,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.09,4.61,7.64,4.49,3.76,7.18,5.61,3.64,2.68,6.28,1.24,4.16,0.05,3.54,0.75,0.41,1.2,0.97,0.53,1.43,2.53,-1.43,-0.44,0.84
Diluted EPS,4.09,4.61,7.64,4.49,3.54,7.18,5.19,3.64,2.68,6.28,1.24,4.16,0.05,3.54,0.73,0.4,1.11,0.97,0.53,1.43,--,-1.42,-0.44,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
