Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Preference Share Capital,Short Term Borrowings,Deferred Tax Assets [Net],Long Term Loans And Advances,Short Term Loans And Advances,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,102.5,502.5,-17.82,-17.82,0.0,484.68,0.06,1.1,0.93,2.09,50.29,18.66,32.26,149.9,636.89,8.53,396.16,0.0,404.69,0.0,0.0,420.22,0.0,0.0,149.99,29.5,23.96,216.67,636.89,0.73,54.3,119.35,0.0,0.0,400.0,48.69,0.0,15.53,13.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,300.0,1050.0,6.74,6.74,0.0,1056.74,0.0,4.97,39.74,44.7,164.55,69.99,223.12,613.04,1714.48,82.77,440.99,0.25,524.02,6.1,0.0,626.54,0.0,0.0,667.33,112.2,159.27,1087.94,1714.48,115.66,1149.79,2457.38,6.1,0.0,750.0,155.37,33.99,62.45,149.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,300.0,1050.0,66.25,66.25,0.0,1866.25,0.0,6.01,13.2,19.21,161.64,102.94,310.06,687.27,1822.73,105.94,454.47,14.26,574.67,6.1,0.0,644.83,55.53,0.0,712.75,84.04,130.27,1177.89,1822.73,127.07,1346.24,2689.49,6.1,55.54,750.0,112.63,33.49,30.57,195.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,20.3,20.3,1511.2,1511.2,0.0,1531.5,0.0,0.0,0.0,0.0,133.0,363.5,122.5,619.0,2150.5,117.7,441.2,2.3,561.2,6.1,140.2,740.3,192.7,0.0,711.0,62.2,444.2,1410.2,2150.5,113.5,0.0,0.0,6.1,192.7,0.0,0.0,32.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,20.5,20.5,1944.8,1944.8,0.0,1965.3,0.0,1.8,0.0,1.8,155.3,352.6,117.9,625.8,2592.9,123.0,430.0,0.1,553.1,103.1,100.1,781.9,219.4,0.0,951.3,143.7,490.5,1811.0,2592.9,122.7,1656.77,3060.82,103.1,219.4,0.0,0.0,25.6,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,20.8,20.8,2380.7,2380.7,34.4,2435.9,0.0,6.0,0.0,6.0,170.2,440.5,130.1,783.4,3225.3,140.1,425.3,0.0,565.4,184.6,193.8,953.9,567.8,0.0,1017.3,191.6,485.7,2271.4,3225.3,137.5,2149.1,4026.0,184.6,567.8,0.0,42.6,10.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,20.9,20.9,2563.8,2563.8,35.3,2620.0,0.0,481.1,0.0,481.1,187.0,607.2,162.5,980.6,4081.7,543.0,416.5,8.7,968.2,157.4,139.7,1301.9,607.8,0.0,1321.2,227.1,614.5,2779.8,4081.7,159.7,2692.1,4777.1,126.4,607.8,0.0,23.9,36.6,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,21.0,21.0,3289.5,3289.5,29.6,3340.1,53.0,416.3,0.0,469.3,220.2,635.5,155.0,1010.7,4820.1,611.8,407.8,11.9,1031.5,207.6,267.1,1506.2,1493.0,0.0,1175.1,200.2,445.6,3313.9,4820.1,141.5,2600.9,5003.9,207.6,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,21.1,21.1,3941.9,3941.9,18.6,3981.6,79.1,417.2,0.0,496.3,125.4,913.9,191.1,1230.4,5708.3,603.9,410.5,9.9,1024.3,293.7,370.2,1688.2,1353.6,0.0,1583.4,616.7,466.4,4020.1,5708.3,185.0,2461.6,5313.0,207.6,1353.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
