Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,2679.46,1413.07,875.43,1739.89,2043.54,809.7,453.76,1197.67,2350.92,912.29,327.82,1431.7,1556.55,662.1,345.05,573.91,1306.29,576.42,190.83,1046.08,567.59,393.37,995.7,971.28,388.76,226.28,602.09,692.0,338.4,268.58,624.09
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.99,3.79,--
Total Income From Operations,2679.46,1413.07,875.43,1739.89,2043.54,809.7,453.76,1197.67,2350.92,912.29,327.82,1431.7,1556.55,662.1,345.05,573.91,1306.29,576.42,190.83,1046.08,567.59,393.37,995.7,971.28,388.76,226.28,602.09,692.0,342.39,272.37,624.09
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2203.12,1218.79,739.19,1416.15,1701.04,733.81,359.46,985.81,2079.8,872.78,273.37,1231.61,1340.42,643.86,294.68,453.2,1109.52,550.33,143.64,877.15,536.31,331.09,847.07,796.99,370.41,185.86,499.71,568.13,291.87,236.41,494.48
Purchase of Traded Goods,111.86,77.99,33.44,52.9,54.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-7.22,-87.36,-20.76,41.08,20.61,-45.28,9.46,39.4,11.09,-74.77,-9.12,46.46,52.63,-84.12,-3.76,42.98,17.17,-64.44,24.59,12.16,-44.25,4.06,-0.61,12.79,-36.4,0.22,2.4,7.79,-6.56,-18.53,36.62
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,38.74,32.91,31.56,32.64,31.85,31.04,28.41,29.87,34.53,26.12,23.91,24.16,23.4,21.5,18.92,17.67,14.72,12.73,10.56,14.43,12.78,11.96,12.6,11.09,9.84,10.53,11.47,12.72,9.83,9.88,9.41
Depreciation,37.23,38.27,35.39,34.07,33.3,32.58,32.45,31.6,30.62,24.46,21.41,23.22,22.19,19.81,19.57,17.96,16.38,17.31,16.82,16.14,15.5,14.9,14.52,13.07,12.21,12.31,12.0,11.31,10.97,10.48,10.4
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,141.31,82.77,64.22,83.14,95.16,60.52,46.5,61.51,90.65,57.41,43.31,82.71,63.2,40.8,27.72,31.59,54.16,34.65,17.73,66.26,35.75,29.14,43.32,47.98,22.84,20.79,33.54,35.47,19.21,18.83,27.19
"P/L Before Other Inc. , Int., Excpt. Items & Tax",154.42,49.7,-7.61,79.89,106.81,-2.98,-22.52,49.48,104.22,6.29,-25.06,23.54,54.7,20.24,-12.07,10.52,94.35,25.84,-22.51,59.93,11.49,2.22,78.79,89.35,9.86,-3.44,42.97,56.59,17.07,15.3,45.99
Other Income,15.39,20.37,22.36,24.18,23.34,5.92,9.69,18.02,13.8,9.26,12.12,13.23,8.87,8.26,8.52,7.34,8.12,8.03,2.71,-0.59,2.0,-0.58,5.04,4.85,0.28,2.77,1.06,0.8,--,-2.09,2.09
"P/L Before Int., Excpt. Items & Tax",169.81,70.07,14.76,104.06,130.15,2.94,-12.83,67.49,118.02,15.55,-12.94,36.77,63.57,28.51,-3.56,17.86,102.47,33.87,-19.8,59.34,13.49,1.64,83.83,94.2,10.14,-0.67,44.02,57.39,17.07,13.21,48.08
Interest,40.23,44.13,37.48,42.28,38.81,28.33,27.7,37.11,30.81,22.62,19.71,17.97,14.33,10.3,4.48,7.46,8.16,6.77,8.75,7.36,7.31,7.08,7.65,5.15,3.46,3.28,2.88,7.2,16.61,10.17,12.6
P/L Before Exceptional Items & Tax,129.58,25.94,-22.72,61.78,91.34,-25.39,-40.53,30.38,87.21,-7.06,-32.64,18.81,49.24,18.2,-8.04,10.4,94.31,27.1,-28.55,51.99,6.18,-5.43,76.17,89.05,6.68,-3.95,41.15,50.19,0.45,3.04,35.48
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,129.58,25.94,-22.72,61.78,91.34,-25.39,-40.53,30.38,87.21,-7.06,-32.64,18.81,49.24,18.2,-8.04,10.4,94.31,27.1,-28.55,51.99,6.18,-5.43,76.17,89.05,6.68,-3.95,41.15,50.19,0.45,3.04,35.48
Tax,49.99,3.22,-10.37,17.48,25.4,-7.56,-10.39,7.8,22.3,-1.57,-9.01,5.67,16.84,3.72,-2.37,3.5,33.67,8.83,-9.8,-1.25,-5.36,-10.02,27.59,27.49,2.83,-2.2,12.28,16.36,0.35,0.62,9.86
P/L After Tax from Ordinary Activities,79.59,22.73,-12.35,44.31,65.94,-17.82,-30.15,22.58,64.92,-5.5,-23.64,13.14,32.39,14.48,-5.67,6.9,60.64,18.27,-18.75,53.23,11.54,4.59,48.58,61.56,3.85,-1.75,28.87,33.83,0.11,2.42,25.62
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,79.59,22.73,-12.35,44.31,65.94,-17.82,-30.15,22.58,64.92,-5.5,-23.64,13.14,32.39,14.48,-5.67,6.9,60.64,18.27,-18.75,53.23,11.54,4.59,48.58,61.56,3.85,-1.75,28.87,33.83,0.11,2.42,25.62
Equity Share Capital,33.82,33.82,33.76,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,33.69,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,25.92,25.92,23.81
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,23.53,6.72,-3.66,13.15,19.57,-5.29,-8.95,6.7,19.27,-1.63,-7.02,3.9,9.61,4.3,-1.68,2.05,18.0,5.42,-5.96,16.93,3.67,1.46,15.45,19.57,1.22,-0.56,9.18,10.76,0.04,--,9.89
Diluted EPS,23.4,6.68,-3.64,13.1,19.51,-5.28,-8.95,6.7,19.27,-1.63,-7.02,3.9,9.61,4.3,-1.68,2.05,18.0,5.42,-5.96,16.93,3.67,1.46,15.45,19.57,1.22,-0.56,9.18,10.76,0.04,--,9.89
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
