Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,106891.48,119900.99,113770.14,152293.13,117016.93,107396.77,98362.75,131761.11,111787.6,132104.14,98351.76,143745.92,97620.34,104331.53,81721.42,121626.06
Other Operating Income,95931.95,110430.07,97359.27,85549.49,96327.85,94823.9,90937.31,68417.72,85170.37,84251.04,69718.82,67579.7,76649.33,76573.71,72292.95,67447.06
Total Income From Operations,202823.43,230331.06,211129.41,237842.62,213344.77,202220.67,189300.06,200178.83,196957.97,216355.18,168070.58,211325.61,174269.67,180905.24,154014.36,189073.11
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,6691.23,7739.65,6536.64,13749.89,9543.68,10559.71,5730.3,10380.51,5579.55,16462.78,7671.06,8563.15,6397.11,8204.09,7146.23,6368.67
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,278.81,-897.77,-128.74,-299.81,-73.23,11.93,-2569.32,-11226.83,-3638.11,-2388.44,2877.97,-1092.08,164.54,-8216.97,-233.48,2827.54
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,183815.22,215501.33,193520.95,222805.78,193174.17,182524.24,178097.1,194046.04,184606.8,186851.25,154464.34,201021.53,167970.54,171940.0,145662.69,75279.53
"P/L Before Other Inc. , Int., Excpt. Items & Tax",12038.17,7987.85,11200.56,1586.76,10700.14,9124.78,8041.98,6979.1,10409.74,15429.59,3057.21,2833.01,-262.51,8978.12,1438.93,104597.37
Other Income,766.48,746.28,957.12,14204.65,163.21,0.33,75.54,483.57,214.06,6010.55,959.33,207.66,391.91,45.78,143.55,114.9
"P/L Before Int., Excpt. Items & Tax",12804.65,8734.13,12157.68,15791.41,10863.35,9125.11,8117.52,7462.67,10623.8,21440.14,4016.54,3040.67,129.4,9023.9,1582.47,104712.27
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,12804.65,8734.13,12157.68,15791.41,10863.35,9125.11,8117.52,7462.67,10623.8,21440.14,4016.54,3040.67,129.4,9023.9,1582.47,104712.27
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,12804.65,8734.13,12157.68,15791.41,10863.35,9125.11,8117.52,7462.67,10623.8,21440.14,4016.54,3040.67,129.4,9023.9,1582.47,104712.27
Tax,1694.78,1102.32,1589.11,1990.01,1382.78,1164.93,1398.86,947.3,-2493.57,5423.1,1065.41,-58.32,3193.92,3187.1,1579.53,101815.65
P/L After Tax from Ordinary Activities,11109.87,7631.81,10568.57,13801.4,9480.58,7960.18,6718.66,6515.37,13117.36,16017.04,2951.14,3098.98,-3064.52,5836.81,2.94,2896.61
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,-53.4,-10.95,-107.52,-38.76,-36.16,-35.16,2825.05,6912.44,-6783.17,-64.55,-2268.25,-727.43,3299.43,-4403.09,--,-3.13
Net Profit/(Loss) For the Period,11056.47,7620.86,10461.05,13762.64,9444.42,7925.02,9543.71,13427.81,6334.2,15952.49,682.89,2371.55,234.91,1433.71,2.94,2893.49
Equity Share Capital,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,100.0,100.0
Reserves Excluding Revaluation Reserves,101082.98,90026.99,--,--,--,55062.97,49035.49,39492.05,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,17.48,12.05,16.54,21.76,14.93,12.53,15.09,21.23,10.01,25.22,1.08,3.75,0.37,2.27,0.29,4.57
Diluted EPS,17.48,12.05,16.54,21.76,14.93,12.53,15.09,21.23,10.01,25.22,1.08,3.75,0.37,2.27,--,4.57
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
