Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,126.78,126.78,766.69,766.69,893.46,228.89,3.48,0.4,232.77,25.79,7.36,55.59,0.7,89.44,1215.68,389.15,1.08,64.8,0.0,455.02,544.56,0.0,11.16,178.83,1189.56,0.0,2.78,10.32,7.36,0.44,5.23,26.12,1215.68,3.43,0.0,0.0,0.0,544.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,128.62,128.62,792.41,792.41,921.03,262.3,5.1,0.54,267.95,57.39,21.66,24.97,0.73,104.74,1293.72,464.61,1.24,4.83,2.63,473.3,630.01,0.0,15.16,126.76,1245.23,0.0,2.58,9.66,30.31,0.0,5.94,48.48,1293.72,6.87,0.0,0.0,0.0,630.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,776.43,776.43,151.18,151.18,927.6,274.44,6.72,0.63,281.79,41.64,29.46,15.33,0.7,87.13,1296.52,429.3,0.63,11.78,2.59,444.3,681.51,0.0,22.67,124.02,1272.51,0.0,2.0,10.7,4.21,0.56,6.54,24.01,1296.52,3.23,0.0,0.0,646.13,681.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,778.04,778.04,137.3,137.3,915.34,277.26,8.32,0.78,286.36,44.19,31.4,33.09,0.91,109.59,1311.29,450.59,0.37,5.27,2.55,458.77,699.89,0.0,21.45,94.24,1274.35,0.0,2.29,17.07,5.1,0.01,12.47,36.94,1311.29,2.37,0.0,0.0,646.13,699.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,781.21,781.21,146.02,146.02,927.23,257.62,9.78,0.81,268.21,42.16,36.87,30.68,1.06,110.77,1306.21,432.3,0.52,5.87,2.5,442.6,697.33,0.0,15.57,110.57,1266.07,0.0,2.03,14.57,5.66,6.14,11.75,40.14,1306.21,625.34,3.37,18.38,646.13,697.33,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,786.39,786.39,174.72,174.72,961.11,262.73,11.23,0.98,274.95,35.7,45.27,28.62,1.18,110.78,1346.84,449.02,0.55,7.57,2.46,462.4,715.73,0.0,16.16,80.65,1274.93,0.0,2.0,20.64,5.72,16.22,27.34,71.91,1346.84,672.43,3.33,20.86,646.13,715.73,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,789.3,789.3,242.05,242.05,1031.35,280.31,12.69,0.98,293.98,1.22,47.87,42.93,2.04,94.06,1419.39,432.43,3.4,11.7,2.41,449.95,723.85,24.79,1.71,75.88,1276.17,10.56,2.03,49.67,10.41,47.18,23.39,143.23,1419.39,635.67,4.24,22.9,646.13,723.85,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,790.31,790.31,253.46,253.46,1043.77,281.52,165.75,1.35,448.62,44.7,45.84,31.73,1.57,123.84,1616.24,539.44,3.52,14.5,2.37,559.82,790.94,30.7,1.19,76.46,1459.11,4.41,2.34,79.79,11.88,34.99,23.72,157.13,1616.24,1035.02,3.03,15.74,646.13,790.94,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,790.42,790.42,212.82,212.82,1003.24,323.31,166.92,1.54,491.77,13.63,44.81,43.19,2.0,103.63,1598.64,565.27,2.78,15.48,2.33,585.85,792.78,43.85,0.88,30.37,1453.72,0.0,1.92,77.25,36.41,1.23,28.11,144.92,1598.64,4.3,0.53,1.81,646.13,792.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,790.81,790.81,197.26,197.26,988.07,300.94,167.84,1.32,470.1,40.79,28.64,11.6,1.87,82.9,1541.06,548.1,2.28,17.67,2.28,570.33,805.05,50.38,0.41,31.9,1458.08,5.0,2.08,38.19,15.67,4.89,17.15,82.98,1541.06,6.0,0.92,5.85,646.13,805.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
