Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21
Net Sales/Income from operations,569.0,659.27,713.24,561.4,512.64,613.14,597.69,477.4,457.76,502.19,569.95,413.62,396.53,436.15,432.64,330.58
Other Operating Income,16.89,17.07,--,--,93.57,--,--,--,0.47,0.39,--,--,0.89,0.63,0.67,0.61
Total Income From Operations,585.88,676.34,713.24,561.4,606.21,613.14,597.69,477.4,458.23,502.59,569.95,413.62,397.42,436.77,433.31,331.19
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,366.96,428.55,465.95,340.95,322.29,381.98,361.22,291.97,268.91,305.0,384.86,301.8,266.65,296.76,311.73,248.85
Purchase of Traded Goods,35.04,38.88,37.95,34.28,24.31,26.48,53.58,40.95,37.34,44.49,37.52,18.9,13.67,13.86,15.26,8.64
Increase/Decrease in Stocks,-3.44,20.87,-24.5,-3.7,-0.48,12.26,-8.91,-5.62,4.47,5.13,-7.53,-6.15,2.91,11.26,-13.14,-9.93
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,30.66,34.84,36.15,31.47,23.62,30.91,27.94,24.08,23.99,24.65,25.67,22.39,22.02,21.53,22.92,18.84
Depreciation,17.41,17.57,17.36,16.96,14.96,14.81,13.45,11.28,10.41,10.74,10.47,10.21,10.05,9.33,8.75,8.54
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,77.61,97.68,88.9,65.46,75.72,85.21,77.21,61.8,65.38,74.42,64.45,45.44,52.2,69.55,50.39,37.67
"P/L Before Other Inc. , Int., Excpt. Items & Tax",61.65,37.95,91.44,75.99,145.79,61.49,73.19,52.94,47.73,38.16,54.51,21.03,29.94,14.48,37.39,18.58
Other Income,7.71,6.87,7.86,7.48,10.76,5.71,6.99,8.63,5.25,3.76,5.94,4.98,7.53,2.13,3.32,1.65
"P/L Before Int., Excpt. Items & Tax",69.36,44.81,99.3,83.48,156.55,67.2,80.17,61.57,52.98,41.92,60.45,26.02,37.47,16.62,40.71,20.22
Interest,3.46,3.03,2.28,2.21,1.91,2.28,2.26,1.58,1.95,2.06,2.15,2.09,2.01,0.94,1.43,1.68
P/L Before Exceptional Items & Tax,65.9,41.78,97.02,81.27,154.64,64.92,77.91,59.99,51.03,39.85,58.3,23.92,35.45,15.68,39.28,18.54
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,65.9,41.78,97.02,81.27,154.64,64.92,77.91,59.99,51.03,39.85,58.3,23.92,35.45,15.68,39.28,18.54
Tax,16.9,10.99,24.95,20.72,38.53,15.83,16.78,15.26,14.3,10.13,14.91,6.09,9.09,5.05,8.87,5.98
P/L After Tax from Ordinary Activities,49.01,30.79,72.08,60.55,116.11,49.09,61.13,44.73,36.73,29.72,43.39,17.83,26.36,10.63,30.41,12.57
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,49.01,30.79,72.08,60.55,116.11,49.09,61.13,44.73,36.73,29.72,43.39,17.83,26.36,10.63,30.41,12.57
Equity Share Capital,25.06,25.04,25.04,25.04,25.04,25.01,25.0,24.95,24.95,24.95,24.95,24.95,24.95,25.0,25.0,25.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,1.95,1.23,2.88,2.42,4.64,1.96,2.45,1.79,1.47,1.19,1.74,0.71,1.06,0.42,1.23,0.5
Diluted EPS,1.95,1.23,2.88,2.42,4.64,1.96,2.45,1.79,1.47,1.19,1.74,0.71,1.06,0.42,1.23,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
