Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-06-30,735.13,735.13,281.92,0.23,-26.07,126.08,49.35,43.24,119.94,140.44,3.06,143.5,18.34,125.16,0.0,125.16,13.44,111.72,0.0,111.72,10.99,10.17,10.17
2019-09-30,657.03,657.03,257.77,0.08,-0.62,128.08,46.81,44.19,102.99,77.73,3.88,81.61,23.56,58.05,-26.04,32.01,15.33,16.68,0.0,16.68,10.99,1.52,1.52
2019-12-31,542.13,542.13,211.95,0.28,-42.38,115.51,46.26,43.64,95.16,71.71,3.2,74.91,26.86,48.05,0.0,48.05,15.06,32.99,0.0,32.99,10.99,3.0,3.0
2020-03-31,562.1,562.1,195.27,0.0,-5.64,106.62,44.19,45.0,199.7,-23.04,173.46,150.42,32.62,117.8,0.0,117.8,89.24,28.56,0.0,28.56,10.99,2.6,2.6
2020-06-30,556.58,556.58,193.56,0.0,5.9,93.45,49.89,45.52,66.4,101.86,27.16,129.02,32.68,96.34,0.0,96.34,29.43,66.91,0.0,66.91,10.99,6.09,6.09
2020-09-30,591.7,591.7,213.65,0.0,-22.68,110.7,48.54,46.39,82.47,112.63,31.84,144.47,27.53,116.94,0.0,116.94,38.3,78.64,0.0,78.64,10.99,7.16,7.16
2020-12-31,599.97,599.97,183.64,0.0,5.86,106.73,50.38,46.7,94.6,112.06,29.34,141.4,26.79,114.61,0.0,114.61,6.3,108.31,-582.99,-474.68,10.99,-43.21,-43.21
2021-03-31,776.55,776.55,284.27,0.0,-32.64,0.0,49.09,45.95,294.63,135.25,29.34,164.59,22.19,142.4,0.0,142.4,41.44,100.96,0.0,100.96,10.99,9.19,9.19
2021-06-30,839.13,839.13,285.34,0.0,0.19,0.0,58.32,45.8,254.41,195.07,26.44,221.51,24.05,197.46,0.0,197.46,51.07,146.39,0.0,146.39,10.99,13.33,13.33
2021-09-30,952.05,952.05,305.91,0.0,18.41,0.0,61.91,46.45,278.32,241.05,46.16,287.21,19.61,267.6,0.0,267.6,61.58,206.02,0.0,206.02,10.99,18.76,18.76
2021-12-31,972.56,972.56,275.72,0.0,-3.71,0.0,61.9,47.57,330.43,260.65,28.45,289.1,19.42,269.68,0.0,269.68,68.89,200.79,0.0,200.79,10.99,18.28,18.28
2022-03-31,1052.97,1052.97,311.76,0.0,-3.41,0.0,58.6,48.29,356.42,281.31,26.92,308.23,12.86,295.37,0.0,295.37,74.43,220.94,0.0,220.94,10.99,20.11,20.11
2022-06-30,1258.2,1258.2,387.81,0.0,-29.72,0.0,72.36,50.64,410.29,366.82,27.35,394.17,21.65,372.52,0.0,372.52,94.73,277.79,0.0,277.79,10.99,25.29,25.29
2022-09-30,1453.12,1453.12,462.26,0.0,-37.88,0.0,72.8,53.39,425.91,476.64,26.87,503.51,24.97,478.54,0.0,478.54,121.42,357.12,0.0,357.12,10.99,32.51,32.51
2022-12-31,1440.27,1440.27,453.55,0.0,-43.03,237.59,72.86,55.16,167.22,496.92,23.94,520.86,34.23,486.63,0.0,486.63,122.65,363.98,0.0,363.98,10.99,33.13,33.13
2023-03-31,1470.39,1470.39,456.9,0.0,-56.0,235.78,77.77,58.89,200.47,496.58,18.69,515.27,34.15,481.12,0.0,481.12,124.41,356.71,0.0,356.71,10.99,32.47,32.47
2023-06-30,1144.77,1144.77,437.15,0.0,-109.83,0.0,84.69,60.36,391.57,280.83,27.69,308.52,27.46,281.06,0.0,281.06,66.38,214.68,0.0,214.68,10.99,19.54,19.54
2023-09-30,926.46,926.46,371.46,0.0,-22.42,182.35,78.99,61.81,142.43,111.84,6.66,118.5,33.19,85.31,0.0,85.31,22.99,62.32,0.0,62.32,10.99,5.67,5.67
2023-12-31,907.72,907.72,349.54,0.0,-1.84,176.62,74.86,65.68,144.96,97.9,13.04,110.94,35.92,75.02,0.0,75.02,19.28,55.74,0.0,55.74,10.99,5.07,5.07
2024-03-31,1043.2,1043.2,379.3,0.0,4.33,0.0,78.14,71.4,379.67,130.36,18.53,148.89,31.81,117.08,0.0,117.08,31.07,86.01,0.0,86.01,10.99,7.83,7.83
2024-06-30,1085.0,1085.0,368.0,0.0,4.0,201.0,91.0,71.0,177.0,173.0,11.0,184.0,35.0,149.0,0.0,149.0,38.0,111.0,0.0,111.0,11.0,10.14,10.14
2024-09-30,1199.0,1199.0,415.0,0.0,7.0,207.0,96.0,74.0,176.0,224.0,13.0,237.0,41.0,196.0,0.0,196.0,52.0,144.0,0.0,144.0,11.0,13.11,13.11
2024-12-31,1123.0,1123.0,411.0,0.0,-84.0,200.0,102.0,76.0,187.0,231.0,14.0,245.0,40.0,205.0,0.0,205.0,52.0,153.0,0.0,153.0,11.0,13.93,13.93
