Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15
Net Sales/Income from operations,4052.53,2014.03,3086.84,5801.59,3446.15,1846.3,2892.38,4672.29,3221.85,1543.98,2501.65,4365.83,2184.37,1100.71,1710.56,1985.32,1799.15,837.64,1314.56,1410.59,1313.66,835.61,1338.73,2455.75,985.57,416.87,809.28,1738.61,897.52,329.92,656.66,1348.77,688.7,241.44,603.41,1405.16,680.97,288.85
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.0,17.26,9.14,6.24,9.87,15.55,9.62,9.05
Total Income From Operations,4052.53,2014.03,3086.84,5801.59,3446.15,1846.3,2892.38,4672.29,3221.85,1543.98,2501.65,4365.83,2184.37,1100.71,1710.56,1985.32,1799.15,837.64,1314.56,1410.59,1313.66,835.61,1338.73,2455.75,985.57,416.87,809.28,1738.61,897.52,329.92,668.66,1366.03,697.84,247.68,613.28,1420.7,690.59,297.89
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2067.23,1023.93,1259.34,2405.13,1673.83,959.34,1298.34,1942.37,1702.75,892.45,1259.49,2125.8,1181.58,558.32,812.3,791.8,923.4,356.65,598.17,535.9,640.61,395.28,539.74,966.58,446.43,172.84,309.1,690.38,487.98,176.01,274.91,610.19,393.51,108.45,170.36,601.32,422.25,104.2
Purchase of Traded Goods,55.37,70.74,19.72,35.59,76.86,21.82,22.15,50.9,54.57,19.67,21.38,37.05,42.08,32.61,19.37,22.31,45.14,19.97,12.34,11.88,43.31,28.14,52.03,233.57,82.6,32.08,58.02,56.67,36.14,1.28,0.86,7.3,6.45,3.95,10.32,35.4,30.69,46.13
Increase/Decrease in Stocks,-212.58,-202.1,132.15,274.57,-165.78,-135.53,-33.4,274.97,-167.86,-222.65,-47.14,90.05,-122.61,-76.99,1.34,144.64,-145.05,-39.0,4.35,128.85,-97.33,-71.65,-1.52,2.85,-62.1,-40.48,-2.86,93.67,-119.13,-56.17,20.98,52.06,-83.07,-15.14,64.67,42.87,-109.24,-8.75
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,307.44,277.11,304.84,320.93,274.68,253.75,261.28,269.05,252.72,235.48,235.75,246.25,202.99,184.24,194.09,181.52,181.27,170.52,177.33,163.88,183.34,178.55,182.94,156.96,112.36,96.33,101.98,110.65,102.51,78.12,82.7,83.25,75.06,68.04,73.03,78.06,66.12,59.81
Depreciation,165.01,154.33,157.31,166.81,139.46,125.24,127.98,129.49,135.62,146.51,110.99,124.95,100.69,97.94,99.78,97.03,105.08,103.02,104.48,98.43,106.89,109.32,103.88,99.85,74.16,69.68,75.06,77.95,72.86,69.76,69.19,72.97,61.72,77.63,70.5,92.37,59.11,70.08
