Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Provisions
2005-03-31,58.16,58.16,-57.45,-57.45,0.72,27.56,0.0,27.56,0.0,0.0,12.91,0.0,12.91,41.19,29.78,0.0,0.0,0.0,0.0,29.78,0.0,0.0,0.0,29.78,0.0,1.39,0.35,2.76,6.8,0.11,11.4,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,58.16,58.16,-55.43,-55.43,2.74,27.2,0.0,27.2,0.0,0.0,14.97,0.0,14.97,44.91,31.38,0.0,1.05,0.0,0.0,32.43,0.0,0.0,0.0,32.43,0.0,1.95,0.48,2.87,7.17,0.01,12.48,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,58.16,58.16,-49.85,-49.85,8.32,36.04,0.0,36.04,0.0,0.0,21.54,0.0,21.54,65.89,45.09,0.0,3.05,0.0,0.0,48.14,0.0,0.0,0.0,48.14,0.0,3.01,0.94,3.7,10.09,0.01,17.75,65.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,58.17,58.17,-42.09,-42.09,16.08,51.68,0.0,51.68,0.0,0.0,34.49,0.0,34.49,102.24,72.27,0.0,6.32,0.0,0.0,78.59,0.0,0.0,0.0,78.59,0.0,3.88,1.25,2.17,16.34,0.01,23.65,102.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,58.17,58.17,-34.21,-34.21,23.95,80.47,0.0,80.47,1.98,32.34,7.46,2.86,44.64,149.06,101.06,5.48,8.94,0.0,0.0,115.48,0.0,0.0,0.0,115.48,0.0,5.53,1.17,3.01,23.87,0.0,33.58,149.06,6.48,8.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,1.76,0.0
2010-03-31,63.62,63.62,52.61,52.61,116.24,8.59,0.0,8.59,0.0,54.74,11.54,8.89,75.17,201.2,132.85,7.47,2.56,0.0,0.0,142.88,0.03,0.0,0.0,142.91,0.0,7.06,2.95,7.04,41.25,0.0,58.29,201.2,4.16,11.9,0.02,0.0,0.03,0.0,0.0,1.2,0.0,0.0,0.0,0.0,5.93,0.0
2011-03-31,64.53,64.53,127.16,127.16,191.69,0.0,2.61,8.08,0.0,77.46,28.41,0.98,106.85,306.62,175.06,5.09,2.81,0.0,0.0,182.96,1.15,3.07,0.13,221.24,20.49,14.22,4.14,8.94,36.73,0.86,85.38,306.62,5.37,24.49,0.0,0.0,0.0,1.15,20.49,0.0,0.0,33.93,0.0,0.1,7.45,5.47
2012-03-31,65.08,65.08,234.47,234.47,299.55,0.0,3.86,16.56,0.0,109.6,43.29,1.04,153.93,470.04,240.6,9.93,11.79,0.0,0.0,262.33,10.93,0.0,0.15,328.51,92.27,18.42,6.41,12.06,12.37,0.01,141.54,470.04,9.14,40.32,0.0,0.0,0.0,10.93,92.27,0.0,7.06,55.1,0.0,0.0,13.91,5.64
2013-03-31,65.28,65.28,370.93,370.93,436.22,0.0,6.03,27.3,0.0,131.75,53.89,5.73,191.38,654.89,371.08,11.64,8.44,0.0,0.0,391.16,21.04,0.0,0.34,481.28,94.01,23.44,6.76,37.07,12.27,0.06,173.62,654.89,22.18,46.39,0.0,0.0,0.0,21.04,94.01,0.0,19.81,68.75,0.0,0.02,17.6,1.45
2014-03-31,65.44,65.44,498.03,498.03,563.47,0.0,8.92,45.99,0.0,171.77,79.43,11.42,262.62,872.1,513.66,15.1,18.33,0.0,0.0,547.08,34.85,0.0,0.42,688.27,93.75,32.42,9.04,22.78,25.69,0.15,183.83,872.1,43.47,57.24,0.0,0.0,0.0,34.85,93.75,0.02,37.07,105.92,0.0,0.06,17.97,0.0
2015-03-31,65.57,65.57,605.54,605.54,671.11,0.0,13.1,68.86,0.0,239.97,83.52,30.43,353.93,1094.03,693.71,22.69,18.12,0.0,0.0,734.52,55.71,0.0,2.04,917.23,74.61,42.29,11.87,30.37,17.46,0.21,176.8,1094.03,13.61,68.45,0.0,0.0,0.0,55.71,74.61,0.13,55.76,124.96,0.37,0.0,4.89,0.0
2016-03-31,65.8,65.8,702.27,702.27,768.07,0.0,16.47,84.28,0.0,293.53,72.76,36.9,403.19,1255.56,779.01,26.53,17.38,7.79,0.0,830.71,61.68,0.0,1.22,1041.33,90.78,53.77,12.48,31.38,25.55,0.27,214.22,1255.56,43.23,78.68,0.0,0.0,0.0,61.68,90.78,0.03,67.81,147.73,1.98,0.0,1.07,0.0
2017-03-31,65.95,65.95,786.24,786.24,852.19,0.0,0.37,69.67,0.0,311.74,78.42,20.06,410.22,1332.08,733.79,44.44,59.82,0.0,0.03,838.08,74.43,0.0,186.11,1098.61,93.57,58.72,15.62,32.43,0.0,33.12,233.47,1332.08,53.85,72.51,0.0,0.0,0.0,74.43,93.57,0.0,69.31,0.0,1.01,0.04,1.55,0.0
2018-03-31,65.98,65.98,977.92,977.92,1043.91,0.0,0.5,55.48,0.0,386.83,65.47,16.25,468.55,1567.94,732.04,35.86,10.93,1.81,0.03,780.68,82.17,0.0,186.85,1066.63,263.1,62.59,15.08,128.53,0.0,32.01,501.31,1567.94,36.92,78.6,0.0,0.0,0.0,82.17,263.1,0.0,54.98,16.93,2.25,0.0,3.85,0.0
2019-03-31,131.97,131.97,1191.75,1191.75,1323.72,0.0,0.5,49.75,0.0,420.54,95.34,24.47,540.36,1913.82,748.91,36.47,14.44,0.5,0.03,800.36,88.73,0.0,218.33,1107.41,180.8,73.15,32.68,489.06,0.0,30.72,806.41,1913.82,85.75,106.94,0.72,65.98,0.0,88.73,180.8,0.0,49.25,0.0,0.0,0.0,0.0,0.0
