Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15
Net Sales/Income from operations,1878.5,1545.0,1645.33,1959.46,1796.62,1458.13,1476.17,1657.46,1603.84,1265.81,1331.61,1608.05,1532.05,1410.19,1384.81,1046.15,1515.26,1323.13,1198.39,713.17,1018.05,1071.29,1075.79,1346.84,1206.88,1030.31,1037.83,1203.89,1126.31,938.19,959.71,1055.45,1076.15,888.92,889.99,1120.84,1001.63,810.05,--,--,--
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1878.5,1545.0,1645.33,1959.46,1796.62,1458.13,1476.17,1657.46,1603.84,1265.81,1331.61,1608.05,1532.05,1410.19,1384.81,1046.15,1515.26,1323.13,1198.39,713.17,1018.05,1071.29,1075.79,1346.84,1206.88,1030.31,1037.83,1203.89,1126.31,938.19,959.71,1055.45,1076.15,888.92,889.99,1120.84,1001.63,810.05,--,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,281.98,268.0,271.12,364.42,353.76,305.34,320.39,398.84,378.78,254.55,291.09,383.62,358.0,302.31,322.15,211.45,355.28,303.19,255.8,71.17,270.45,216.41,231.01,261.59,280.93,301.62,133.05,340.89,256.19,236.02,143.46,275.19,231.69,190.81,150.68,245.95,230.68,197.32,--,--,--
Purchase of Traded Goods,937.59,874.15,868.06,964.99,865.88,734.5,732.74,802.05,834.49,568.24,561.93,850.68,734.09,593.38,611.2,517.98,817.53,653.46,527.35,284.86,520.62,520.2,528.12,642.91,556.42,456.7,500.77,544.73,520.22,430.79,464.57,522.97,542.16,434.59,411.6,546.52,482.91,397.01,--,--,--
Increase/Decrease in Stocks,33.34,-101.52,-18.42,17.17,1.35,-49.88,-21.94,-30.12,-101.85,46.25,62.24,-120.57,-15.73,67.77,8.1,-20.69,-123.44,-61.02,20.94,125.32,-94.99,-7.65,-26.48,2.83,-4.11,-55.09,107.26,-71.35,-6.06,-39.1,60.59,-65.29,-32.76,-17.68,52.33,-21.04,-17.63,-20.05,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,143.97,123.46,133.02,134.44,126.86,118.25,116.38,112.72,105.68,108.26,106.97,118.72,83.51,94.13,96.22,88.53,92.0,92.93,79.65,72.0,70.61,77.36,81.0,81.98,76.5,76.02,67.53,71.83,69.97,74.18,69.93,68.57,68.51,59.49,49.84,47.34,55.25,45.13,0.11,--,--
Depreciation,22.83,21.04,20.71,19.63,19.12,16.51,15.61,13.99,14.81,14.28,12.84,12.3,14.49,10.17,10.06,7.57,7.16,6.88,7.66,7.99,8.2,6.42,6.39,5.78,3.3,3.26,3.23,3.1,3.08,3.22,3.16,3.15,2.89,2.63,2.72,2.8,3.3,2.97,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,235.92,209.97,211.25,255.99,223.5,202.83,177.98,208.25,190.39,158.33,158.3,181.93,149.87,150.96,133.01,126.11,149.06,139.39,128.79,61.0,112.93,128.11,132.63,165.47,128.6,124.99,105.3,150.53,121.52,119.83,100.46,124.61,127.99,122.41,128.17,147.09,123.27,107.85,0.35,--,2.86
"P/L Before Other Inc. , Int., Excpt. Items & Tax",222.87,149.9,159.59,202.82,206.15,130.58,135.01,151.73,181.54,115.9,138.24,181.37,207.82,191.47,204.08,115.2,217.67,188.3,178.2,90.83,130.23,130.44,123.12,186.28,165.24,122.81,120.69,164.16,161.39,113.25,117.54,126.25,135.67,96.67,94.65,152.18,123.85,79.82,-0.46,--,-2.86
Other Income,15.57,10.3,15.5,21.83,14.43,14.9,12.42,18.59,19.91,19.27,24.69,10.54,18.02,13.75,28.44,19.69,20.34,19.87,16.66,18.76,11.92,17.39,12.24,17.32,17.21,12.38,9.83,8.84,10.91,6.62,3.53,9.69,6.88,5.04,4.15,0.15,0.03,0.12,--,--,--
"P/L Before Int., Excpt. Items & Tax",238.44,160.2,175.09,224.65,220.58,145.48,147.43,170.32,201.45,135.17,162.93,191.91,225.84,205.22,232.52,134.89,238.01,208.17,194.86,109.59,142.15,147.83,135.36,203.6,182.45,135.19,130.52,173.0,172.3,119.87,121.07,135.94,142.55,101.71,98.8,152.33,123.88,79.94,-0.46,--,-2.86
