Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,337.23,327.84,297.57,265.96,234.77,208.16,183.67,172.2,140.9,191.71,173.35,142.74,114.16,95.01,80.71,63.2,111.11,87.04,39.81,18.52,81.71,265.06,84.15,86.34,145.62,130.81,86.19,131.41,111.71,103.81,92.72,126.19,126.55,102.96,73.62,107.19,102.57,124.34,74.1,119.67,66.01,188.77,56.03,139.78,146.19,92.65,59.74,127.25,172.93,128.89
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,337.23,327.84,297.57,265.96,234.77,208.16,183.67,172.2,140.9,191.71,173.35,142.74,114.16,95.01,80.71,63.2,111.11,87.04,39.81,18.52,81.71,265.06,84.15,86.34,145.62,130.81,86.19,131.41,111.71,103.81,92.72,126.19,126.55,102.96,73.62,107.19,102.57,124.34,74.1,119.67,66.01,188.77,56.03,139.78,146.19,92.65,59.74,127.25,172.93,128.89
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,258.77,261.6,234.54,211.35,208.02,165.01,142.11,135.35,121.58,146.8,130.76,102.19,94.11,65.22,57.1,47.07,--,53.91,--,--,--,220.37,52.36,--,--,--,--,--,--,65.99,57.62,85.53,--,--,--,--,--,73.96,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,4.88,3.73,3.8,3.3,4.39,3.21,3.2,3.16,3.81,2.41,3.43,2.94,3.64,2.71,2.85,2.8,3.66,2.77,2.53,2.34,3.52,5.38,4.16,3.8,3.81,4.02,3.68,5.49,4.19,3.74,3.72,4.63,3.82,3.67,3.43,4.43,4.05,3.77,3.21,3.9,3.47,4.11,3.56,4.23,4.22,4.09,3.73,4.19,4.13,3.58
Depreciation,3.73,3.93,3.82,3.55,3.64,3.65,3.62,3.6,3.72,3.68,3.56,3.45,3.67,3.63,3.64,3.62,3.88,3.76,3.75,3.72,4.0,4.5,4.47,4.41,4.7,4.79,4.51,4.89,5.3,4.71,4.06,5.4,4.92,4.87,4.89,5.15,5.24,4.83,4.75,5.24,6.36,5.1,4.76,2.99,2.93,2.78,2.61,2.75,2.55,2.52
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,8.98,7.24,8.44,8.04,11.77,6.6,7.66,7.11,7.95,4.71,7.1,7.21,9.99,4.99,4.29,2.28,87.93,4.61,29.19,18.72,57.28,8.19,9.47,65.44,103.41,98.59,70.45,108.39,78.13,8.53,7.38,9.18,85.15,70.13,42.96,93.17,68.12,8.88,46.99,100.33,36.39,24.61,33.1,96.81,110.98,51.66,34.45,162.42,95.91,56.52
"P/L Before Other Inc. , Int., Excpt. Items & Tax",60.87,51.34,46.97,39.72,6.95,29.69,27.08,22.98,3.84,34.11,28.5,26.95,2.75,18.46,12.83,7.43,15.64,21.99,4.34,-6.26,16.91,26.62,13.69,12.69,33.7,23.41,7.55,12.64,24.09,20.84,19.94,21.45,32.66,24.29,22.34,4.44,25.16,32.9,19.15,10.2,19.79,154.96,14.61,35.75,28.06,34.13,18.95,-42.11,70.34,66.27
Other Income,17.84,18.64,18.39,18.33,43.22,20.68,17.82,16.16,34.91,14.14,12.37,8.04,26.77,6.07,6.26,9.6,4.99,4.05,5.37,4.62,4.19,4.06,1.18,0.67,1.39,1.94,3.86,9.19,0.9,0.64,5.59,3.11,5.48,6.98,4.5,22.37,0.87,0.8,0.83,1.41,0.49,0.98,0.67,1.75,2.6,3.19,3.1,3.51,3.97,4.31
"P/L Before Int., Excpt. Items & Tax",78.71,69.98,65.36,58.05,50.17,50.37,44.9,39.14,38.75,48.25,40.87,34.99,29.52,24.53,19.09,17.03,20.63,26.04,9.71,-1.64,21.1,30.68,14.87,13.36,35.09,25.35,11.41,21.83,24.99,21.48,25.53,24.56,38.14,31.27,26.84,26.81,26.03,33.7,19.98,11.61,20.28,155.93,15.28,37.5,30.66,37.32,22.05,-38.6,74.31,70.58
Interest,1.19,0.91,0.76,1.19,3.96,4.85,5.25,4.2,6.28,4.39,4.14,7.02,7.08,4.26,5.08,4.41,5.89,6.98,6.0,5.56,3.85,10.24,8.58,7.29,8.4,7.98,6.39,6.28,7.57,9.08,9.98,11.59,10.53,9.79,11.41,10.15,8.63,7.47,7.52,10.36,6.52,27.77,4.48,6.86,4.22,4.57,3.29,3.84,4.05,4.1
P/L Before Exceptional Items & Tax,77.52,69.07,64.6,56.86,46.21,45.52,39.65,34.94,32.47,43.86,36.73,27.97,22.44,20.27,14.01,12.62,14.74,19.06,3.71,-7.2,17.25,20.44,6.29,6.07,26.69,17.37,5.02,15.55,17.42,12.4,15.55,12.97,27.61,21.48,15.43,16.66,17.4,26.23,12.46,1.25,13.76,128.16,10.8,30.65,26.44,32.75,18.76,-42.44,70.26,66.47
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2.63,0.02,--,-0.23,1.94,0.0,--,--,-2.15,1.64,0.38,0.13,-0.34,-0.02,--
P/L Before Tax,77.52,69.07,64.6,56.86,46.21,45.52,39.65,34.94,32.47,43.86,36.73,27.97,22.44,20.27,14.01,12.62,14.74,19.06,3.71,-7.2,17.25,20.44,6.29,6.07,26.69,17.37,5.02,15.55,17.42,12.4,15.55,12.97,27.61,21.48,15.43,14.03,17.42,26.23,12.23,3.19,13.76,128.16,10.8,28.5,28.08,33.13,18.89,-42.78,70.24,66.47
