Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,1599.08,1621.39,1694.43,1558.67,1758.92,1764.09,1455.85,1692.63,1789.49,1600.83,1410.03,1442.86,1182.11,1132.6,1157.61,1186.09,1075.67,791.57,663.34,493.16,603.91
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1599.08,1621.39,1694.43,1558.67,1758.92,1764.09,1455.85,1692.63,1789.49,1600.83,1410.03,1442.86,1182.11,1132.6,1157.61,1186.09,1075.67,791.57,663.34,493.16,603.91
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1051.37,1145.21,1078.78,1107.47,1198.12,1089.12,979.89,1166.01,1436.2,1169.86,1131.78,983.51,716.9,738.74,743.4,735.22,558.66,526.8,419.53,299.72,362.74
Purchase of Traded Goods,30.49,104.56,167.65,38.87,130.74,318.56,71.39,120.57,--,171.45,0.16,--,--,--,--,2.1,22.45,2.83,1.74,--,1.02
Increase/Decrease in Stocks,94.05,-74.36,44.63,-64.52,22.42,-47.43,13.17,-2.27,-55.09,-83.84,4.7,10.27,24.05,-43.54,-29.33,-55.25,42.94,-38.25,2.03,31.69,-16.36
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,48.53,50.21,47.75,51.7,49.66,55.01,51.37,56.55,56.41,45.98,44.04,42.03,33.46,29.42,32.52,32.43,31.98,31.68,21.88,16.35,24.44
Depreciation,55.23,53.86,53.46,48.45,55.15,59.07,57.62,46.84,59.26,64.38,43.61,40.57,34.51,28.45,28.25,28.4,46.19,34.59,34.59,34.29,55.05
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-0.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,204.86,202.62,184.88,183.34,181.0,184.15,217.56,183.19,199.25,213.11,186.44,206.96,153.51,132.28,127.0,139.83,128.41,109.5,89.03,57.14,113.72
"P/L Before Other Inc. , Int., Excpt. Items & Tax",115.27,139.29,117.28,193.36,121.83,105.61,64.85,121.74,93.46,19.89,-0.7,159.52,219.68,247.25,255.77,303.36,245.04,124.42,94.54,53.97,63.3
Other Income,29.62,28.06,43.24,44.22,36.69,23.51,17.36,22.38,14.2,25.05,8.44,15.3,9.14,10.27,74.17,1.59,45.6,2.23,1.65,0.74,0.82
"P/L Before Int., Excpt. Items & Tax",144.89,167.35,160.52,237.58,158.52,129.12,82.21,144.12,107.66,44.94,7.74,174.82,228.82,257.52,329.94,304.95,290.64,126.65,96.19,54.71,64.12
Interest,12.77,10.58,13.32,13.21,9.89,17.6,16.96,13.48,15.86,14.61,4.03,3.29,2.05,1.7,1.52,3.69,4.75,9.13,10.84,14.0,16.1
P/L Before Exceptional Items & Tax,132.12,156.77,147.2,224.37,148.63,111.52,65.25,130.64,91.8,30.33,3.71,171.53,226.77,255.82,328.42,301.26,285.89,117.52,85.35,40.71,48.02
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,132.12,156.77,147.2,224.37,148.63,111.52,65.25,130.64,91.8,30.33,3.71,171.53,226.77,255.82,328.42,301.26,285.89,117.52,85.35,40.71,48.02
Tax,32.59,37.9,38.84,61.51,38.32,31.48,14.53,20.31,-31.21,6.31,-0.02,23.26,110.66,46.18,68.78,76.38,71.11,34.34,-5.95,-8.93,-5.96
P/L After Tax from Ordinary Activities,99.53,118.87,108.36,162.86,110.31,80.04,50.72,110.33,123.01,24.02,3.73,148.27,116.11,209.64,259.64,224.88,214.78,83.18,91.3,49.64,53.98
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,99.53,118.87,108.36,162.86,110.31,80.04,50.72,110.33,123.01,24.02,3.73,148.27,116.11,209.64,259.64,224.88,214.78,83.18,91.3,49.64,53.98
Equity Share Capital,278.22,278.04,278.04,278.04,278.04,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,233.61,233.61,233.61,233.61,233.61
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.58,4.28,3.9,5.86,3.98,3.14,1.99,4.33,4.82,0.94,0.15,5.81,4.47,8.17,10.2,9.54,9.19,3.56,3.91,2.12,2.31
Diluted EPS,3.57,4.26,3.89,5.83,3.97,3.13,1.99,4.33,4.82,0.94,0.15,5.81,4.47,8.17,10.2,9.54,9.19,3.56,--,2.12,2.31
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
