Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Borrowings,Short Term Borrowings
2015-03-31,10.25,10.25,2.84,2.84,13.08,0.0,0.06,5.69,0.08,3.33,0.41,3.82,22.59,6.04,0.0,6.04,1.7,0.05,7.92,4.47,20.18,0.0,1.88,0.18,0.35,0.0,2.41,22.59,19.31,13.87,0.0,0.0,1.7,0.0,5.63,0.0
2016-03-31,10.25,10.25,4.05,4.05,14.29,0.0,0.1,1.33,0.06,6.81,0.47,7.34,22.95,4.14,0.0,4.14,1.7,0.39,8.75,4.73,19.72,0.0,1.14,1.82,0.28,0.0,3.24,22.95,15.54,15.02,0.0,0.0,1.7,0.0,1.23,0.0
2017-03-31,10.25,10.25,7.76,7.76,18.0,0.0,0.21,0.57,0.08,8.56,0.03,8.68,27.26,4.57,0.02,4.58,3.24,0.24,0.32,0.09,8.47,0.0,4.15,4.93,0.0,9.7,18.79,27.26,81.23,0.0,0.0,0.0,3.24,0.0,0.36,0.02
2018-03-31,10.25,10.25,15.03,15.03,25.27,0.0,0.38,1.73,0.68,18.89,0.03,22.59,49.59,3.6,0.01,3.61,3.74,0.87,0.42,2.1,10.74,0.0,11.72,6.01,12.1,9.02,38.85,49.59,78.31,0.0,0.0,0.0,3.66,0.0,1.35,2.98
2019-03-31,10.25,10.25,23.55,23.55,33.79,0.0,0.66,1.54,1.07,25.49,0.02,32.77,68.11,3.8,0.09,3.89,4.88,0.44,0.32,0.27,9.79,0.0,3.88,13.3,28.73,12.4,58.32,68.11,142.86,0.0,0.0,0.0,4.29,0.0,0.88,6.19
2020-03-31,10.25,10.25,31.36,31.36,41.61,0.0,0.76,0.76,1.27,23.17,0.06,24.5,66.87,4.33,0.15,4.49,4.96,0.39,0.09,0.43,10.37,0.0,3.85,13.92,21.72,17.01,56.5,66.87,115.21,0.73,46.05,0.0,4.38,0.0,0.0,0.0
2021-03-31,10.25,10.25,45.46,45.46,55.71,0.33,0.75,1.08,0.43,7.39,0.04,7.85,64.64,4.06,0.09,4.15,0.57,1.04,6.98,1.46,14.2,0.0,2.49,11.37,19.79,16.79,50.45,64.64,101.18,0.03,41.32,0.0,0.0,0.0,0.0,0.0
2022-03-31,10.25,10.25,48.84,48.84,59.08,0.42,0.81,1.23,0.43,28.02,0.1,28.55,88.86,3.74,0.05,3.79,0.57,1.09,0.0,31.24,36.69,0.0,1.95,36.46,0.51,13.26,52.17,88.86,56.24,0.88,44.34,0.0,0.0,0.0,0.0,0.0
2023-03-31,41.08,41.08,36.82,36.82,77.9,0.49,0.99,1.48,2.36,14.21,0.16,16.73,96.11,8.1,0.17,8.28,33.35,1.22,0.0,4.08,46.93,0.0,3.63,31.53,0.71,13.31,49.18,96.11,51.03,0.0,65.32,30.79,33.35,0.0,0.0,0.0
2024-03-31,41.17,41.17,48.29,48.29,89.46,16.9,1.28,18.18,4.01,17.21,0.31,21.53,129.17,31.14,0.09,31.22,33.35,1.58,0.0,4.42,70.57,3.13,18.25,20.1,1.4,15.72,58.6,129.17,33.94,0.0,81.96,30.79,0.07,3.13,0.0,0.0
