Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14
Net Sales/Income from operations,1205.06,1149.08,1744.42,2342.01,1802.74,1693.01,1861.43,2114.65,1626.97,1561.09,1758.13,1917.31,1521.99,1615.02,1251.19,1644.28,1322.42,1053.46,905.26,1157.95,1218.0,1180.22,1321.76,1075.71,727.02,558.64,735.5,758.88,472.48,268.57,356.65,346.78,461.1,359.91,515.0,585.1,518.05,462.53,426.38,459.22,381.14,318.69,371.04,402.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.77,2.55,--,--,3.64,3.49,6.96,8.0,5.07,5.71,14.03,6.07,11.38
Total Income From Operations,1205.06,1149.08,1744.42,2342.01,1802.74,1693.01,1861.43,2114.65,1626.97,1561.09,1758.13,1917.31,1521.99,1615.02,1251.19,1644.28,1322.42,1053.46,905.26,1157.95,1218.0,1180.22,1321.76,1075.71,727.02,558.64,735.5,758.88,472.48,268.57,356.65,350.56,463.65,359.91,515.0,588.74,521.55,469.49,434.39,464.3,386.86,332.73,377.11,413.63
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,894.73,850.98,974.9,1539.24,1350.16,1258.33,1400.72,1596.22,1205.32,1171.17,1289.65,1354.1,1066.22,1145.85,885.58,1168.49,923.08,749.75,655.21,822.53,846.0,759.52,942.9,734.16,498.3,381.32,500.18,486.29,326.32,175.36,230.21,221.78,319.68,242.71,377.61,393.51,387.85,350.66,301.81,376.87,269.74,248.22,300.71,287.13
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.23,-6.51,1.17,8.15,11.44,3.09,12.54,-2.26,24.13,-1.72,-2.47,14.57,-34.86,7.03,-24.25,-8.0,1.48
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,85.27,88.22,84.91,98.45,86.43,87.47,83.3,76.83,110.78,72.95,75.33,80.3,102.34,86.46,72.88,77.55,92.36,65.46,43.72,62.32,85.34,58.34,59.11,54.38,55.16,42.23,40.56,37.59,36.21,23.78,26.4,24.73,29.98,21.35,24.29,21.37,21.93,21.17,19.11,23.64,19.9,15.44,14.76,21.04
Depreciation,22.63,22.55,22.47,26.58,26.09,25.66,24.96,27.88,27.76,27.43,26.92,32.07,33.55,32.8,31.49,29.99,28.16,27.22,27.01,32.36,32.65,30.89,30.48,28.22,24.14,20.6,19.28,21.68,19.56,18.44,17.52,14.04,13.78,13.42,12.1,14.35,13.86,12.47,11.78,10.6,8.96,10.35,6.45,8.51
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
