Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1182.66,1670.82,1364.43,2417.24,1554.29,1910.53,1091.31,1965.52,876.25,999.62,673.76,842.68,333.21,168.27,100.32,95.7,95.24,73.85,10.61,103.99,84.69,55.36,126.4,128.9,108.28,101.2,134.44,109.09,115.55,84.47,99.87,96.1,112.33,82.26,94.98,84.58,77.62,76.45,130.56,123.15,117.99,215.91,174.13,183.53,128.29,108.15,137.61,242.83,138.28,121.48
Other Operating Income,10.64,4.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.92,--,--,6.35,2.47,2.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1193.3,1675.17,1364.43,2417.24,1554.29,1910.53,1091.31,1965.52,876.25,999.62,673.76,842.68,333.21,168.27,100.32,95.7,95.24,73.85,10.61,103.99,84.69,55.36,126.4,128.9,108.28,101.2,134.44,109.09,122.47,84.47,99.87,102.45,114.8,84.45,94.98,84.58,77.62,76.45,130.56,123.15,117.99,215.91,174.13,183.53,128.29,108.15,137.61,242.83,138.28,121.48
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,82.07,88.27,240.52,122.55,132.47,154.87,94.61,154.67,103.25,151.71,129.93,119.46,90.36,112.53,93.32,77.06,91.38,57.52,6.47,88.7,66.47,49.02,93.45,101.15,92.73,78.23,106.06,77.83,77.49,70.99,74.81,68.63,82.27,68.54,54.06,70.39,55.54,40.8,94.25,68.4,80.83,68.1,93.01,108.29,86.79,62.2,87.05,93.1,83.29,76.45
Purchase of Traded Goods,--,47.69,--,134.55,96.35,273.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.08,3.87,9.58,21.12,--,--,11.82,20.48,14.76,11.07,14.75,9.34,26.94,21.18,41.16,35.03,144.23,66.68,78.35,30.95,41.83,45.61,111.54,46.56,36.51
Increase/Decrease in Stocks,71.47,-2.99,35.74,-13.81,92.33,-24.69,-31.02,-51.51,1.67,27.59,18.89,-12.37,-57.7,-3.25,-4.72,5.27,-14.6,-2.07,6.21,-5.67,-1.31,-11.17,8.37,7.13,-7.18,-3.31,0.2,-8.11,-2.91,1.39,2.65,-7.9,-4.81,-11.06,16.02,-21.73,-1.08,-1.82,0.18,2.34,-4.19,0.53,10.46,-8.45,0.66,-1.46,2.47,3.86,-3.73,-0.91
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,54.0,40.83,34.67,33.77,29.5,36.62,29.06,22.58,23.66,12.76,10.66,7.18,5.06,4.93,4.34,4.02,4.32,3.6,2.32,5.49,5.17,6.06,5.99,8.37,4.54,4.52,4.31,4.44,3.86,3.98,3.81,4.29,3.63,3.58,3.76,3.07,3.3,3.38,3.66,4.58,3.72,3.68,3.79,3.95,3.66,3.84,3.72,4.23,4.4,3.23
Depreciation,22.23,21.95,17.62,18.68,16.46,14.65,10.2,7.57,6.83,5.69,5.46,5.02,4.34,4.57,4.57,4.5,4.43,4.52,0.23,4.6,4.67,4.31,3.98,3.76,3.69,3.81,3.82,2.42,3.79,3.75,3.71,3.82,3.19,3.0,2.97,2.45,2.72,2.74,2.73,2.71,2.66,2.65,2.66,6.59,6.71,6.75,6.67,6.62,6.68,6.66
