Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,873.1,754.34,733.63,835.79,753.15,672.31,650.29,612.79,555.3,491.33,498.57,511.36,436.58,360.9,321.5,457.37,400.44,268.28,100.92,305.46,289.26,268.11,293.36,299.65,362.64,343.96,336.23,367.46,279.07,250.99,188.96,223.8,182.45,174.38,148.85,178.47,152.58,149.28,133.56,164.09,144.72,149.09,130.05,169.5,156.4,142.83,140.14,169.06,169.33,158.57
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.26,5.32,5.09,5.08,10.8,4.43,4.12,4.06,3.42,2.37,2.21,1.7,2.15,1.54,0.89,1.48,1.84,1.66,1.8
Total Income From Operations,873.1,754.34,733.63,835.79,753.15,672.31,650.29,612.79,555.3,491.33,498.57,511.36,436.58,360.9,321.5,457.37,400.44,268.28,100.92,305.46,289.26,268.11,293.36,299.65,362.64,343.96,336.23,367.46,279.07,250.99,188.96,230.06,187.78,179.46,153.93,189.27,157.01,153.41,137.61,167.51,147.09,151.3,131.76,171.65,157.95,143.72,141.62,170.9,170.99,160.38
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,538.08,496.07,546.8,510.99,543.5,530.59,488.23,448.09,409.53,358.63,404.67,429.48,353.0,295.65,248.52,380.58,303.76,227.16,71.54,237.99,219.75,208.3,243.33,282.38,280.91,278.14,274.98,279.81,213.66,211.96,141.65,182.26,147.75,130.83,129.16,132.7,134.12,116.82,106.31,134.74,114.55,109.88,107.34,164.6,123.06,115.74,108.02,139.0,131.11,126.06
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,0.74,0.59,0.7,0.48,0.73,2.62,2.68,0.03,0.2,1.43,3.86,10.86,5.63,0.4,6.74,2.33,0.27,0.53,1.12,1.97,1.21,0.84,0.51,0.89,0.82,0.77,0.79,0.67,2.76,0.7,0.44,0.25,0.36,0.22,0.22,0.34,0.27,3.57,0.31
Increase/Decrease in Stocks,49.35,25.43,-32.41,61.88,-16.92,-57.7,-36.98,-28.29,-15.27,-3.13,2.82,-10.13,-5.24,-13.3,7.4,-19.07,4.5,-19.3,6.66,-3.59,0.62,-6.54,-21.98,-49.32,15.51,-7.77,-5.43,3.22,1.47,-12.11,4.76,3.47,-3.47,8.38,-12.61,11.26,-12.49,2.78,-0.28,-1.16,2.35,10.41,-2.18,-22.15,2.11,-3.12,2.8,-2.46,1.57,5.33
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,36.81,32.82,31.09,30.27,33.38,29.08,26.15,26.22,26.45,23.47,22.29,20.58,24.68,20.11,19.09,19.01,20.32,17.92,14.85,23.28,22.01,20.96,19.37,20.23,18.37,19.09,17.35,17.79,17.12,17.42,15.28,14.93,15.92,14.53,13.28,16.09,14.71,12.9,11.78,11.99,12.49,12.03,10.63,12.63,12.19,11.84,9.8,13.54,12.47,11.99
Depreciation,7.08,6.9,6.75,6.62,5.8,5.35,5.12,4.91,4.29,3.88,4.58,3.91,3.95,3.77,3.65,3.5,3.5,3.52,3.43,3.72,3.22,3.06,3.02,2.97,2.96,2.93,2.89,2.85,3.04,3.03,3.01,3.15,3.21,3.15,3.04,3.45,2.7,2.59,2.61,2.37,2.33,2.31,2.56,3.95,3.92,3.78,3.63,3.68,3.47,3.04
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,4.27,0.1,0.17,-0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.75,0.75,0.75,--,1.0,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,114.05,91.87,89.84,103.23,90.2,81.22,91.45,93.42,71.95,66.98,25.35,22.82,24.1,22.97,15.79,26.16,24.06,15.58,7.87,20.18,23.06,21.31,19.97,16.88,21.47,26.5,20.18,28.07,19.22,15.26,15.91,15.4,15.5,14.75,13.99,14.6,13.78,13.61,12.39,10.85,15.92,11.95,9.78,10.34,13.42,13.56,14.81,12.06,14.23,9.71
"P/L Before Other Inc. , Int., Excpt. Items & Tax",123.46,101.15,91.39,122.9,97.19,83.77,76.32,68.44,58.35,41.5,38.87,43.95,35.5,31.01,26.58,46.47,41.68,20.73,-3.47,23.68,19.18,17.17,18.79,20.88,23.02,18.34,23.93,35.45,24.04,14.32,6.39,9.65,8.03,7.31,6.19,9.61,2.67,3.18,4.14,4.96,-1.25,4.29,3.38,1.91,3.03,1.7,2.24,4.81,4.57,3.93
Other Income,29.84,34.14,27.36,20.62,22.9,16.62,16.05,7.76,5.03,7.18,2.78,5.41,5.01,2.24,2.37,7.58,3.48,1.8,2.44,-1.33,1.7,1.76,1.9,1.8,2.52,3.46,1.93,2.46,1.65,2.14,1.69,2.81,1.11,1.66,0.88,2.43,3.59,2.59,0.85,1.36,7.55,1.13,1.15,3.23,1.23,1.09,1.11,2.73,1.01,0.68
"P/L Before Int., Excpt. Items & Tax",153.3,135.29,118.75,143.52,120.09,100.39,92.37,76.2,63.38,48.68,41.65,49.36,40.5,33.26,28.95,54.04,45.16,22.53,-1.02,22.35,20.88,18.94,20.7,22.67,25.54,21.79,25.86,37.91,25.69,16.46,8.08,12.46,9.14,8.97,7.07,12.05,6.27,5.78,4.99,6.32,6.3,5.42,4.53,5.14,4.26,2.79,3.34,7.54,5.59,4.61
Interest,8.37,9.03,7.33,10.69,5.51,3.8,3.14,3.37,3.11,2.13,2.14,4.25,3.44,3.32,2.71,2.99,2.48,3.49,3.28,4.08,4.19,3.36,3.03,1.86,3.74,3.18,2.74,3.45,3.29,3.41,3.38,3.44,3.11,3.45,3.05,3.61,3.77,3.54,3.09,3.1,3.53,3.38,3.0,3.22,3.17,2.0,2.03,2.65,2.91,2.56
P/L Before Exceptional Items & Tax,144.93,126.26,111.42,132.83,114.58,96.59,89.23,72.83,60.27,46.55,39.51,45.11,37.06,29.94,26.24,51.06,42.68,19.05,-4.31,18.27,16.69,15.58,17.67,20.81,21.79,18.61,23.13,34.46,22.41,13.04,4.71,9.02,6.03,5.53,4.01,8.43,2.5,2.24,1.9,3.22,2.77,2.04,1.54,1.92,1.09,0.79,1.31,4.89,2.67,2.05
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,144.93,126.26,111.42,132.83,114.58,96.59,89.23,72.83,60.27,46.55,39.51,45.11,37.06,29.94,26.24,51.06,42.68,19.05,-4.31,18.27,16.69,15.58,17.67,20.81,21.79,18.61,23.13,34.46,22.41,13.04,4.71,9.02,6.03,5.53,4.01,8.43,2.5,2.24,1.9,3.22,2.77,2.04,1.54,1.92,1.09,0.79,1.31,4.89,2.67,2.05
Tax,37.78,31.89,27.71,34.68,26.06,22.88,21.97,20.84,15.56,10.89,10.67,9.09,9.51,6.9,6.92,12.22,11.74,4.45,-0.09,4.49,4.07,1.24,5.75,8.58,6.92,6.21,6.47,13.0,5.99,2.05,0.94,1.65,1.21,1.09,1.01,4.08,0.81,0.55,0.81,1.3,0.17,0.72,0.63,0.27,0.3,0.26,0.27,1.78,1.22,0.4
P/L After Tax from Ordinary Activities,107.15,94.37,83.71,98.15,88.52,73.71,67.26,51.99,44.71,35.66,28.85,36.02,27.54,23.03,19.31,38.84,30.95,14.59,-4.22,13.77,12.61,14.33,11.92,12.23,14.87,12.41,16.65,21.46,16.41,11.0,3.77,7.37,4.83,4.44,3.0,4.35,1.69,1.68,1.09,1.92,2.6,1.32,0.91,1.66,0.8,0.53,1.04,3.1,1.45,1.65
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,107.15,94.37,83.71,98.15,88.52,73.71,67.26,51.99,44.71,35.66,28.85,36.02,27.54,23.03,19.31,38.84,30.95,14.59,-4.22,13.77,12.61,14.33,11.92,12.23,14.87,12.41,16.65,21.46,16.41,11.0,3.77,7.37,4.83,4.44,3.0,4.35,1.69,1.68,1.09,1.92,2.6,1.32,0.91,1.66,0.8,0.53,1.04,3.1,1.45,1.65
Equity Share Capital,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,23.82,22.7,22.7,22.7,22.7,22.7,22.7,22.7,23.08,23.25,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.49,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79,19.79
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,9.01,7.93,7.03,8.25,7.43,6.19,5.65,4.37,3.75,2.99,2.42,3.02,2.31,2.02,1.7,3.42,2.73,1.29,-0.37,1.21,1.11,1.24,1.03,1.04,1.27,1.06,1.42,1.83,1.4,0.94,0.32,0.54,0.36,0.33,0.2,0.36,0.17,0.17,0.11,0.19,0.26,0.13,0.09,0.17,0.08,0.05,0.1,0.31,0.15,0.17
Diluted EPS,9.0,7.93,7.03,8.25,7.43,6.19,5.65,4.37,3.75,2.99,2.42,3.02,2.31,2.02,1.7,3.42,2.73,1.29,-0.37,1.21,1.11,1.24,1.03,1.04,1.27,1.06,1.42,1.83,1.4,0.94,0.32,0.54,0.36,0.33,0.2,0.36,0.17,0.17,0.11,0.19,0.26,0.13,0.09,0.17,0.08,0.05,0.1,0.31,0.15,0.17
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
