Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Short Term Provisions,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,27.25,27.25,-0.03,-0.03,27.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,27.27,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,26.43,0.15,0.0,26.58,27.27,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2013-03-31,27.25,27.25,1.85,1.85,29.1,0.0,101.11,0.0,0.0,0.94,102.05,26.11,0.14,28.15,55.52,186.68,1.59,0.1,0.0,1.8,0.0,171.42,0.0,0.0,5.68,9.09,0.49,15.26,186.68,0.0,0.0,0.0,0.0,0.0,1.12,0.11,0.0,169.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
2014-03-31,29.92,29.92,26.35,26.35,56.27,0.0,257.3,-0.6,0.0,2.13,258.83,43.71,0.64,57.55,102.5,417.59,5.31,0.07,0.0,5.42,0.0,390.32,0.0,0.0,2.34,21.57,3.37,27.27,417.59,0.0,0.0,0.0,0.0,0.0,0.61,0.03,0.0,384.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,32.92,32.92,68.52,68.52,101.44,0.0,523.88,1.04,4.13,4.63,533.68,88.34,0.95,132.2,222.54,857.66,5.38,0.05,0.0,5.43,0.0,795.32,0.0,0.0,16.43,38.69,7.22,62.34,857.66,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,789.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,38.38,38.38,164.72,164.72,203.1,0.0,1196.37,1.91,10.4,9.49,1218.16,112.75,0.0,176.43,289.52,1710.78,5.62,0.02,0.0,5.64,0.0,1407.8,0.0,0.0,234.9,54.16,13.92,302.98,1710.78,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1402.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,58.16,58.16,508.16,508.16,566.33,0.0,1509.69,6.17,0.12,13.72,1529.69,79.03,0.0,274.94,354.65,2450.67,8.69,1.48,0.14,10.3,0.0,2071.4,0.03,0.0,275.77,74.36,29.12,379.27,2450.67,0.0,0.2,0.75,0.03,0.0,0.68,0.0,0.75,2060.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,69.17,69.17,1120.49,1120.49,1189.9,0.0,2737.56,11.35,7.42,3.19,2759.52,0.0,9.13,81.55,90.68,4040.1,15.45,2.97,0.03,18.46,3.85,22.31,4.5,0.0,564.96,3333.42,114.91,4017.79,4040.1,0.32,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,78.11,78.11,1758.85,1758.85,1836.96,0.0,3653.25,42.75,8.31,4.43,3708.74,0.0,9.49,71.63,81.12,5626.83,19.23,3.59,0.09,22.91,21.42,44.33,4.5,0.0,679.15,4724.49,174.36,5582.5,5626.83,0.53,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,78.32,78.32,2019.61,2019.61,2097.93,0.0,5352.04,31.7,13.64,8.27,5405.65,0.0,17.38,137.08,154.45,7658.04,55.74,4.15,0.4,60.6,20.68,81.28,4.5,0.0,1192.06,6180.8,199.41,7576.76,7658.04,0.19,18.4,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,78.5,78.5,2322.9,2322.9,2401.4,0.0,1564.4,28.52,10.97,3.72,1607.61,4781.02,2.84,167.16,4951.03,8960.05,54.8,3.46,0.41,58.66,8.19,66.85,4.5,0.0,1120.96,7523.29,244.44,8893.19,8960.05,0.48,18.29,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,78.94,78.94,2729.3,2729.3,2808.24,0.41,1809.29,35.36,14.27,4.03,1862.94,6163.21,3.68,181.91,6348.8,11020.38,62.47,3.69,2.1,68.26,15.91,84.18,67.52,0.0,1530.23,9053.42,285.04,10936.21,11020.38,10.32,22.35,0.0,67.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,79.06,79.06,3190.54,3190.54,3269.59,0.07,1524.44,50.18,22.26,6.6,1603.48,8316.25,8.6,212.54,8537.39,13410.53,74.2,4.16,20.37,98.73,15.61,114.35,123.08,0.0,1381.63,11476.27,315.2,13296.18,13410.53,16.04,47.95,0.0,123.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,79.14,79.14,3694.18,3694.18,3773.32,0.0,1403.51,60.25,46.81,8.4,1518.98,10932.98,30.94,263.24,11227.16,16519.45,85.38,30.61,11.21,127.2,29.35,156.55,182.16,12.22,1797.82,14004.37,366.34,16362.9,16519.45,15.63,43.73,0.0,182.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,79.15,79.15,4281.68,4281.68,4360.83,0.0,0.0,75.57,44.7,9.14,129.4,13849.86,4.88,273.49,14128.24,18618.47,102.5,41.61,0.0,144.11,22.6,166.71,230.02,11.37,1559.63,16229.71,421.04,18451.76,18618.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
