Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,33716.8,33880.88,35266.38,34636.69,34788.07,35163.04,33814.33,36292.55,38583.29,38320.76,42320.72,34497.24,28472.91,24353.61,23021.64,21188.91,17023.8,16917.09,13011.29,21456.2,23710.05,24492.62,26554.74,26758.46,27694.09,27989.17,27212.83,23969.83,22995.88,18964.85,19073.54,21714.02,19933.78,18286.62,17670.37,16237.17,18248.14,20395.78,22498.75,21303.44,18714.7,20361.14,21747.0,20880.93,20744.56,22311.98,19218.31,21388.72,20987.18,19788.18
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80.17,108.39,114.38,--,116.13,116.36,129.42,344.05,209.75,86.61,104.27,432.16,107.58,102.69,90.62,441.14,106.03,96.91
Total Income From Operations,33716.8,33880.88,35266.38,34636.69,34788.07,35163.04,33814.33,36292.55,38583.29,38320.76,42320.72,34497.24,28472.91,24353.61,23021.64,21188.91,17023.8,16917.09,13011.29,21456.2,23710.05,24492.62,26554.74,26758.46,27694.09,27989.17,27212.83,23969.83,22995.88,18964.85,19073.54,21714.02,20013.95,18395.01,17784.75,16237.17,18364.27,20512.14,22628.17,21647.49,18924.45,20447.75,21851.27,21313.09,20852.14,22414.67,19308.93,21829.86,21093.21,19885.09
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,874.32,805.79,806.61,946.92,850.0,993.32,1009.42,1197.83,1290.05,685.2,748.23,882.41,872.76,787.49,729.8,552.49,492.96,538.6,396.68,588.17,668.12,693.18,639.18,626.81,579.03,604.52,413.47,417.39,301.32,265.64,224.87,616.43,447.41,310.32,281.46,380.71,473.87,326.6,146.26,227.32,188.44,132.33,130.23,233.04,190.67,126.24,114.13,187.48,155.99,116.57
Purchase of Traded Goods,148.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,2.41,1.92,1.82,1.61,1.8,1.35,1.27,0.98,0.81,0.67,0.74,0.75,1.02,0.78,0.73,0.7
Increase/Decrease in Stocks,-82.76,590.48,54.14,-900.34,990.91,-1074.03,212.0,123.39,513.55,-828.55,-290.06,-0.59,-43.07,-69.85,-29.44,-136.41,-46.38,-132.03,-111.53,467.79,-204.74,-3.82,-14.05,30.22,25.13,-158.47,-63.15,-12.43,-4.5,-105.29,59.2,20.79,-39.31,-110.06,-4.26,83.12,-38.05,100.57,-110.48,-257.45,65.08,227.99,-203.05,205.09,-56.65,-7.45,-36.71,-51.54,22.03,-113.08
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,658.65,770.93,706.41,684.65,715.9,662.12,721.95,778.47,683.06,612.84,710.72,764.43,694.98,698.13,730.17,630.65,562.05,616.05,498.5,611.54,667.38,633.18,608.24,782.82,677.5,609.65,636.15,747.88,639.44,520.17,595.53,918.56,505.67,506.7,467.73,382.12,471.69,452.95,475.67,432.68,400.05,455.89,406.73,454.46,448.85,442.65,589.73,735.96,346.07,544.89
Depreciation,6778.76,5597.89,5897.26,5675.47,5078.24,4715.3,4991.17,4835.9,4854.51,2594.63,4510.12,5099.11,4338.07,3942.95,4165.57,4398.57,4427.02,3679.49,3822.3,4998.62,5358.22,4657.43,3826.48,4883.04,3477.37,3530.99,3887.22,3245.45,4255.88,3505.78,3463.06,3204.83,3339.52,2905.53,2739.66,2017.72,3178.44,2933.5,2970.26,3095.54,3339.54,2453.75,2562.31,3580.35,2588.36,2426.5,2332.5,2387.16,2341.65,1648.1
