Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods
2016-03-31,25.41,25.41,1196.25,1196.25,1221.66,64.83,105.26,3.39,11.52,185.0,338.65,390.81,23.85,917.18,2323.84,1170.71,13.96,67.49,0.0,1252.16,33.64,74.63,0.25,1360.67,558.57,236.17,28.4,138.28,1.75,963.17,2323.84,300.97,16.06,39.75,53.59,0.86,18.89,315.17,0.2,163.88,931.48,6.48,54.02
2017-03-31,25.41,25.41,1528.04,1528.04,1553.45,16.62,116.26,0.84,13.3,147.02,453.62,291.62,4.04,964.2,2664.67,1254.11,9.19,45.9,0.83,1310.03,33.66,6.35,37.68,1387.72,776.79,275.64,78.73,1.49,144.3,1276.95,2664.67,126.25,0.0,0.0,0.0,0.0,18.89,875.27,0.21,214.92,0.0,0.0,0.0
2018-03-31,25.41,25.41,1707.64,1707.64,1733.05,1.35,113.4,0.93,13.28,128.96,489.89,184.36,7.07,912.33,2774.34,1347.31,6.08,62.62,12.4,1428.41,33.66,7.69,46.18,1515.94,696.98,383.03,33.49,1.26,143.64,1258.4,2774.34,185.58,1785.0,0.0,0.0,104.43,18.89,928.63,0.24,231.01,0.0,0.0,0.0
2019-03-31,25.41,25.41,1967.24,1967.24,1992.65,1.12,120.36,1.87,16.17,139.52,558.65,209.62,7.84,937.05,3069.22,1501.38,19.59,90.04,0.0,1611.01,63.8,1.14,57.02,1732.97,750.44,387.41,35.84,1.83,160.73,1336.25,3069.22,190.68,2181.89,0.0,0.0,153.24,18.89,0.0,5.17,160.94,0.0,0.0,0.0
2020-03-31,25.41,25.41,2107.18,2107.18,2132.59,0.88,90.11,32.32,20.01,143.32,548.43,202.75,11.26,1172.5,3448.41,1591.72,16.02,92.92,0.0,1700.66,38.82,0.83,102.06,1842.37,890.57,312.6,229.97,1.95,170.95,1606.04,3448.41,237.97,1514.16,0.0,0.0,113.6,18.89,0.0,5.24,410.06,0.0,0.0,0.0
2021-03-31,25.41,25.41,2843.76,2843.76,2869.17,0.61,91.92,29.96,22.42,144.91,646.72,314.44,7.41,968.57,3982.65,1703.32,10.96,50.8,0.22,1765.3,38.96,1.08,113.39,1918.73,760.77,390.02,766.34,1.65,145.14,2063.92,3982.65,257.36,1399.67,0.0,0.0,117.09,18.89,0.0,5.38,0.0,0.0,0.0,0.0
2022-03-31,25.41,25.41,3362.53,3362.53,3387.94,4.03,90.44,32.29,24.39,151.15,795.09,198.58,7.6,1001.27,4540.36,1760.84,6.44,154.59,1.18,1923.05,21.87,1.17,120.46,2066.55,1260.16,466.76,525.07,4.04,217.78,2473.81,4540.36,306.0,1329.36,0.0,0.0,310.24,18.89,2675.63,5.84,0.0,0.0,0.0,0.0
2023-03-31,25.41,25.41,3819.35,3819.35,3844.76,0.0,90.81,39.04,26.35,156.2,904.66,223.47,8.5,1136.63,5137.59,2058.79,5.45,83.71,0.0,2147.95,22.3,1.69,88.55,2260.49,1385.64,491.75,745.24,1.94,252.53,2877.1,5137.59,184.86,2621.04,0.0,0.0,242.43,18.89,0.0,6.07,0.0,0.0,0.0,0.0
2024-03-31,25.41,25.41,4473.09,4473.09,4498.5,0.0,96.01,48.27,29.84,174.12,1015.33,240.78,16.21,1272.32,5944.94,2264.9,56.84,143.7,5.6,2471.04,28.94,2.19,156.9,2659.07,1358.59,511.12,1186.24,2.46,227.46,3285.87,5944.94,471.12,2441.81,0.0,0.0,208.68,18.89,3605.55,12.87,0.0,0.0,0.0,0.0
2025-03-31,25.41,25.41,4960.53,4960.53,4985.94,0.0,87.58,67.57,38.04,193.19,893.1,409.78,10.87,1313.75,6492.88,2627.42,45.95,402.64,0.0,3076.01,45.25,2.15,264.09,3387.5,1333.65,539.92,952.32,2.56,276.93,3105.38,6492.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
