Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,39.89,39.89,134.71,143.62,183.51,0.0,0.0,13.55,7.5,180.6,36.35,21.23,245.67,442.73,59.76,0.0,1.38,0.0,61.15,11.32,14.27,0.0,1.91,88.63,76.71,216.25,21.16,39.97,0.0,354.09,442.73,22.65,9.56,0.0,49.1,38.66,15.75,11.32,8.91,50.46,0.44,6.29,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,47.82,47.82,817.53,818.77,866.59,0.0,0.0,91.88,703.96,754.6,1277.48,109.89,2845.93,3804.4,806.04,32.35,51.89,0.0,890.28,0.0,38.23,0.0,0.0,928.52,379.05,1599.44,132.53,764.87,0.0,2875.88,3804.4,167.01,123.15,31.07,839.84,205.18,15.75,0.0,1.24,530.78,158.78,63.66,28.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,47.82,47.82,954.09,954.55,1002.37,0.0,0.0,94.21,838.54,908.11,1555.46,102.71,3404.81,4501.39,839.19,32.35,22.39,0.0,893.93,0.2,33.24,0.0,0.0,927.37,480.84,2140.02,119.93,833.24,0.0,3574.02,4501.39,171.43,152.91,31.07,528.05,195.58,15.75,0.2,0.46,566.69,14.83,57.16,37.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,47.82,47.82,828.15,828.61,876.43,0.83,15.29,31.08,593.5,1556.81,592.47,96.08,2838.86,3746.37,648.73,0.0,18.2,0.0,666.93,0.0,0.0,10.5,0.0,677.43,555.35,1802.3,33.11,290.66,387.52,3068.95,3746.37,144.82,143.12,31.59,347.92,16.81,15.75,0.0,0.46,546.98,20.37,0.0,14.97,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,47.82,47.82,861.9,862.36,910.18,0.16,32.65,111.21,351.61,1812.6,823.94,133.01,3121.15,4142.55,619.76,0.0,53.54,0.0,673.3,0.0,0.0,23.49,0.0,696.8,694.18,1714.64,78.12,353.14,605.67,3445.75,4142.55,290.35,139.86,0.0,457.83,21.28,15.75,0.0,0.46,355.77,22.24,66.05,12.35,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,51.21,51.21,1197.09,1197.55,1248.76,0.0,38.23,42.26,415.16,1977.28,847.36,168.82,3408.62,4699.64,639.41,0.0,110.07,0.0,749.48,0.01,0.0,20.65,0.0,770.14,682.98,2296.08,36.44,342.11,571.89,3929.5,4699.64,230.72,156.11,2.98,457.56,30.96,15.75,0.01,0.46,536.38,71.27,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,51.21,51.21,1260.13,1260.59,1311.8,0.0,53.43,53.43,216.58,1820.15,917.62,172.79,3127.14,4492.37,686.72,0.0,70.17,0.0,756.89,0.01,8.67,8.58,0.0,774.15,693.2,2147.8,81.51,353.85,441.86,3718.22,4492.37,168.48,136.07,2.98,489.68,38.35,15.75,0.01,0.46,603.62,35.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,51.21,51.21,1127.15,1127.15,1178.36,0.0,126.25,126.25,503.54,1565.84,1232.29,165.56,3467.23,4771.84,684.09,0.0,32.94,0.0,717.03,0.01,120.35,4.04,205.8,1047.23,972.01,2067.44,61.08,7.01,617.07,3724.61,4771.84,0.0,154.72,0.0,458.17,42.6,15.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,51.21,51.21,981.58,981.58,1032.79,0.0,111.03,111.03,518.0,1662.59,1448.88,340.68,3970.15,5113.97,655.66,0.0,24.82,0.0,680.48,0.01,180.38,4.06,229.97,1094.9,1119.79,2271.32,71.71,7.93,548.32,4019.07,5113.97,0.0,603.77,0.0,0.0,582.93,15.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,51.21,51.21,1138.4,1138.4,1189.61,0.0,127.82,127.82,100.0,1709.15,1287.35,354.89,3451.39,4768.82,583.42,2.16,18.2,0.0,603.78,0.01,108.91,3.88,279.77,996.35,1026.21,1799.25,532.05,5.06,409.9,3772.47,4768.82,0.0,694.75,0.0,0.0,528.94,15.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
