Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-09-30,203.16,0.0,203.16,65.68,0.69,30.95,55.83,20.83,80.14,-50.97,19.54,-31.43,32.63,-64.06,3.24,-60.83,0.0,-60.83,-0.19,-61.01,109.54,0.0,-0.56,-0.55
2020-12-31,334.7,0.0,334.7,101.19,2.46,37.58,40.15,-0.33,111.18,42.47,5.07,47.55,34.13,13.41,52.47,65.88,0.0,65.88,1.58,67.47,111.48,0.0,0.61,0.59
2021-03-31,370.95,15.19,386.15,108.56,1.33,43.64,48.24,0.0,132.21,52.16,-13.54,38.62,26.58,12.04,-8.9,3.14,0.0,3.14,3.71,6.85,115.36,182.3,0.06,0.0
2021-06-30,310.96,0.0,310.96,86.68,1.32,48.73,39.08,4.71,128.12,2.32,5.06,7.38,26.98,-19.6,0.0,-19.6,0.0,-19.6,0.0,-19.6,115.36,0.0,-0.17,-0.17
2021-09-30,460.16,0.0,460.16,129.17,2.99,53.11,43.09,-4.8,172.1,64.5,4.92,69.42,27.72,41.7,-1.21,40.49,0.0,40.49,0.0,40.49,120.25,0.0,0.34,0.34
2021-12-31,552.31,0.0,552.31,154.15,3.84,65.25,47.07,0.0,207.47,74.53,3.39,77.92,24.24,53.68,0.0,53.68,0.0,53.68,0.0,53.68,120.25,0.0,0.45,0.44
2022-03-31,529.85,0.0,529.85,149.94,3.04,55.67,56.04,0.0,203.04,62.13,2.64,64.78,26.93,37.85,-0.11,37.74,-41.08,78.82,0.0,78.82,120.47,0.0,0.66,0.65
2022-06-30,634.5,0.0,634.5,181.01,4.7,67.87,54.51,0.0,237.88,88.52,6.89,95.41,27.77,67.64,0.0,67.64,0.0,67.64,0.0,67.64,120.47,0.0,0.56,0.56
2022-09-30,669.97,0.0,669.97,196.76,5.05,81.05,56.48,-0.88,246.63,84.89,4.99,89.87,29.77,60.1,0.0,60.1,0.0,60.1,0.0,60.1,120.47,0.0,0.5,0.5
2022-12-31,696.56,0.0,696.56,210.98,5.95,76.51,60.64,0.0,263.36,79.13,9.07,88.2,32.7,55.5,0.0,55.5,-10.6,66.1,0.0,66.1,120.47,0.0,0.55,0.55
2023-03-31,667.32,0.0,667.32,200.87,4.14,86.05,67.24,0.71,255.5,52.82,11.49,64.31,33.51,30.8,0.0,30.8,-21.44,52.24,0.0,52.24,120.5,0.0,0.43,0.43
2023-06-30,759.0,0.0,759.0,216.51,5.1,101.65,69.5,0.0,291.1,75.15,7.46,82.61,35.34,47.27,0.0,47.27,11.84,35.42,0.0,35.42,120.55,0.0,0.29,0.29
2023-09-30,778.74,0.0,778.74,222.5,1.88,105.25,82.66,0.0,309.97,56.48,7.53,64.01,39.96,24.05,0.0,24.05,-17.06,41.1,0.0,41.1,120.59,0.0,0.34,0.34
2023-12-31,796.36,0.0,796.36,225.98,2.72,111.29,89.26,0.0,307.12,59.99,5.09,65.09,43.51,21.57,0.0,21.57,3.57,18.01,0.0,18.01,120.59,0.0,0.15,0.15
2024-03-31,751.58,0.0,751.58,207.63,1.2,100.64,90.39,0.0,293.21,58.52,17.4,75.91,50.54,25.37,-116.01,-90.64,14.4,-105.04,0.0,-105.04,120.59,0.0,-0.87,-0.87
2024-06-30,839.88,0.0,839.88,234.46,1.68,108.25,91.69,0.0,323.07,80.74,11.32,92.05,52.42,39.64,0.0,39.64,7.98,31.65,0.0,31.65,120.61,0.0,0.26,0.26
2024-09-30,835.64,0.0,835.64,235.92,1.38,120.21,98.88,0.0,331.8,47.45,10.17,57.62,54.31,3.31,0.0,3.31,2.29,1.02,0.0,1.02,120.63,0.0,0.01,0.01
2024-12-31,872.59,0.0,872.59,249.68,1.3,124.55,104.54,0.0,350.69,41.84,13.91,55.74,56.05,-0.3,0.0,-0.3,-4.61,4.31,0.0,4.31,120.63,0.0,0.04,0.04
