Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,181.54,220.97,247.81,197.89,185.08,169.57,163.76,122.54,98.29,117.75,122.8,111.76,100.39,113.8,111.94,88.68,79.41,68.76,70.24,52.18,45.27,41.74,40.59,40.54,37.89,37.48,41.03,36.44,41.93,40.96,38.8,32.48,31.22,31.45,32.48,25.98
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.48,--,--
Total Income From Operations,181.54,220.97,247.81,197.89,185.08,169.57,163.76,122.54,98.29,117.75,122.8,111.76,100.39,113.8,111.94,88.68,79.41,68.76,70.24,52.18,45.27,41.74,40.59,40.54,37.89,37.48,41.03,36.44,41.93,40.96,38.8,32.48,31.22,31.94,32.48,25.98
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,26.12,27.06,26.06,22.47,23.5,19.71,18.65,18.36,15.7,14.64,16.32,21.82,10.74,10.67,9.98,9.67,8.78,8.42,8.72,8.26,6.74,10.99,9.67,12.58,8.76,6.71,7.33,7.03,8.58,6.28,5.44,6.41,7.26,5.6,4.85,4.92
Depreciation,11.88,10.59,9.97,8.12,6.42,5.31,5.0,4.5,4.23,4.04,4.09,3.5,3.22,2.8,2.72,1.36,1.39,2.06,2.0,1.84,2.4,2.21,2.02,2.05,2.03,2.02,1.95,2.26,2.43,1.72,1.33,0.98,1.0,0.89,0.88,0.73
