Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,9.17,58.17,-103.87,-103.87,0.0,-45.71,0.0,16.72,0.0,16.72,13.14,69.69,1.45,84.27,55.29,12.27,0.59,0.18,13.04,0.12,0.0,3.91,0.0,17.07,27.12,0.8,5.44,4.86,0.0,38.22,55.29,0.57,1.82,4.87,0.0,0.12,27.12,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.17,58.17,-112.61,-112.61,0.0,-54.44,0.0,24.28,0.0,24.4,11.97,70.71,1.96,84.63,54.59,9.71,0.36,0.18,10.25,0.12,0.0,3.27,0.0,13.63,29.04,0.79,5.45,5.67,0.0,40.95,54.59,0.75,1.58,6.96,0.0,0.12,29.04,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,9.17,58.17,-120.32,-120.32,0.0,-62.15,0.0,36.33,0.0,36.39,17.98,86.86,3.24,108.09,82.32,6.17,0.21,0.18,6.56,0.06,0.0,3.44,0.0,10.06,57.95,0.53,6.62,7.15,0.0,72.26,82.32,0.0,2.76,6.6,0.0,0.06,0.0,57.95,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.17,58.17,-139.3,-139.3,0.0,-81.13,0.0,54.27,0.0,54.27,19.47,110.19,4.4,134.06,107.19,4.52,1.0,0.18,5.7,8.07,0.0,4.3,10.45,28.52,60.01,0.43,9.32,8.92,0.0,78.68,107.19,0.77,4.39,4.52,0.0,8.07,0.0,60.01,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,9.17,75.39,-67.07,-67.07,0.0,8.32,0.0,79.5,0.0,79.5,24.43,144.63,3.39,172.46,260.27,8.11,0.61,0.18,8.9,86.02,0.0,5.16,11.35,111.44,125.09,0.5,11.52,10.78,0.94,148.83,260.27,1.55,7.48,3.68,0.0,86.02,0.0,125.09,66.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,9.17,76.34,-60.03,-60.03,0.0,16.3,0.0,109.01,0.0,109.01,29.17,175.56,5.45,210.17,335.49,6.63,112.88,0.18,119.69,20.46,0.0,5.91,0.0,146.05,121.0,0.56,40.37,24.02,3.5,189.44,335.49,0.0,10.3,3.02,0.0,20.46,0.0,121.0,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,9.98,9.98,-322.25,-322.25,0.0,-312.27,0.0,539.28,5.84,545.12,41.27,270.84,4.69,316.8,549.64,7.18,0.76,0.18,8.12,13.7,115.56,0.09,34.4,171.87,308.77,0.28,45.25,6.32,17.16,377.78,549.64,0.0,5.6,2.37,0.0,6.53,0.0,308.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,28.59,28.59,124.95,124.95,7.14,160.68,0.0,230.08,9.39,239.46,12.67,399.28,6.69,418.64,818.78,8.27,0.57,0.18,9.02,9.45,85.81,0.12,4.06,108.45,604.3,0.35,73.46,1.62,30.59,710.33,818.78,0.0,8.87,3.25,9.98,9.04,604.3,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28.88,28.88,236.02,236.02,9.6,274.49,0.0,330.96,25.83,356.79,17.71,465.81,3.98,487.5,1118.78,84.77,0.46,0.18,85.4,40.57,24.4,0.07,60.99,211.43,865.55,1.1,19.77,1.15,19.79,907.35,1118.78,0.0,10.18,4.02,9.98,8.96,865.55,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,30.32,30.32,1576.59,1576.59,9.74,1616.64,20.72,310.99,27.33,359.04,15.38,519.74,4.74,539.86,2515.54,64.72,0.27,0.18,65.17,50.44,0.0,0.24,22.58,138.43,2216.14,1.25,72.61,70.85,16.27,2377.11,2515.54,1.3,8.31,7.83,9.98,19.05,2216.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
