Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Net Sales/Income from operations,13699.87,6956.93,5976.55,4347.57,14768.78,6060.91,5635.81,3915.34,12494.58,5665.86,5144.89,3622.52,11561.04,5891.77,5551.17,1616.23,10738.21,5425.58,4853.82,1736.97,10322.94,4456.44,3451.05,3291.64,10044.57,4425.26,2610.33,2813.96,9068.28,4278.24,2380.45,2792.28,9319.27
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,13699.87,6956.93,5976.55,4347.57,14768.78,6060.91,5635.81,3915.34,12494.58,5665.86,5144.89,3622.52,11561.04,5891.77,5551.17,1616.23,10738.21,5425.58,4853.82,1736.97,10322.94,4456.44,3451.05,3291.64,10044.57,4425.26,2610.33,2813.96,9068.28,4278.24,2380.45,2792.28,9319.27
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,11553.29,3180.27,3076.24,1448.1,6497.52,2810.47,1969.37,1086.08,4971.34,2054.33,1736.39,1248.2,3578.39,1965.66,2154.35,1056.85,2637.39,2007.9,2043.89,1082.58,2572.26,2807.06,1545.47,1248.55,2621.93,1864.79,1859.6,1010.36,4109.59,1651.11,1101.04,967.3,3440.03
Purchase of Traded Goods,250.2,149.95,156.68,122.54,286.68,139.71,157.01,88.0,466.31,183.54,81.19,68.11,284.14,117.44,196.53,58.57,358.73,333.21,77.71,51.51,286.57,92.08,120.08,88.42,122.76,79.08,81.93,23.72,88.41,-67.11,171.84,24.16,175.65
Increase/Decrease in Stocks,-6827.54,95.54,-773.83,-118.94,-1927.44,-111.25,228.02,-148.22,-674.77,255.14,25.91,-297.73,776.14,890.71,267.33,-1341.89,3084.58,396.25,304.99,-1327.55,2410.53,-1012.58,-328.13,-358.41,2445.43,118.39,-1273.74,-122.68,1060.97,-162.13,-210.09,40.02,2362.9
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,1807.84,1293.03,1372.42,1244.43,1387.0,1297.36,1192.42,1399.46,1611.36,1129.24,1141.16,1014.13,1398.76,1065.85,1070.55,1054.67,1058.61,1060.09,1026.27,1146.05,1452.18,1272.8,1010.64,1028.35,1271.46,1067.79,902.3,1053.62,1168.94,1338.72,765.93,1026.46,1116.63
Depreciation,736.26,276.93,177.44,149.07,643.76,212.0,349.45,201.24,1055.35,268.69,251.82,208.05,382.33,373.32,242.89,111.33,667.89,178.89,219.65,111.15,510.59,202.47,166.24,118.32,503.98,234.74,138.79,150.98,539.01,152.88,135.82,119.26,246.38
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,1446.32,--,--,--,--,--,--,359.16,2113.76,809.66,356.58,462.64,2614.19,352.18,436.38,336.43,730.96,284.2,270.26,181.78,908.01,--,163.34,133.63,758.66,256.53,148.34,136.48,515.73,176.27,946.0,98.14,42.85
Exp. Capitalised,-523.44,--,--,--,--,--,--,-148.71,-285.2,-229.43,-492.39,-156.0,-228.06,-362.52,-169.87,-73.71,-413.89,-213.01,-157.95,29.81,57.78,--,46.23,35.0,148.39,45.67,33.77,74.75,309.13,55.49,431.75,91.28,149.39
Other Expenses,700.98,557.3,514.92,657.71,2628.59,490.53,560.17,399.98,1049.34,477.84,686.04,458.2,639.72,433.72,353.68,281.2,557.99,348.33,260.51,186.49,140.89,455.3,189.47,262.2,182.88,237.7,396.59,475.24,500.23,405.22,-886.17,320.58,544.98
"P/L Before Other Inc. , Int., Excpt. Items & Tax",4555.96,1403.91,1452.68,844.66,5252.67,1222.09,1179.37,678.35,2187.09,716.85,1358.19,616.92,2115.43,1055.41,999.33,132.78,2055.95,1029.72,808.49,275.15,1984.13,639.31,537.71,735.58,1989.08,520.57,322.75,11.49,-48.59,727.79,-75.67,105.08,1240.46
Other Income,652.74,631.15,544.0,737.64,557.08,459.69,470.98,410.79,721.96,496.95,260.8,192.09,500.51,196.7,139.04,150.09,131.78,92.17,87.64,47.08,159.52,32.72,41.77,59.31,118.78,57.57,69.67,130.09,185.77,186.27,190.23,198.94,342.1
"P/L Before Int., Excpt. Items & Tax",5208.7,2035.06,1996.68,1582.3,5809.75,1681.78,1650.35,1089.14,2909.05,1213.8,1618.99,809.01,2615.94,1252.11,1138.37,282.87,2187.73,1121.89,896.13,322.23,2143.65,672.03,579.48,794.89,2107.86,578.14,392.42,141.58,137.18,914.06,114.56,304.02,1582.56
Interest,8.42,0.07,--,0.13,31.39,0.35,0.3,0.01,55.28,2.06,0.35,0.22,42.09,0.75,0.62,14.68,29.83,53.21,71.44,104.63,100.97,69.82,100.9,76.71,133.68,29.69,1.39,6.24,4.01,0.01,0.78,0.37,9.55
P/L Before Exceptional Items & Tax,5200.28,2034.99,1996.68,1582.17,5778.36,1681.43,1650.05,1089.13,2853.77,1211.74,1618.64,808.79,2573.85,1251.36,1137.75,268.19,2157.9,1068.68,824.69,217.6,2042.68,602.21,478.58,718.18,1974.18,548.45,391.03,135.34,133.17,914.05,113.78,303.65,1573.01
Exceptional Items,--,--,5.89,--,--,--,--,--,--,--,--,--,--,--,--,--,2.02,--,--,--,--,11.78,5.51,101.63,--,135.05,61.52,382.07,903.54,-69.27,65.13,133.93,316.02
P/L Before Tax,5200.28,2034.99,2002.57,1582.17,5778.36,1681.43,1650.05,1089.13,2853.77,1211.74,1618.64,808.79,2573.85,1251.36,1137.75,268.19,2159.92,1068.68,824.69,217.6,2042.68,613.99,484.09,819.81,1974.18,683.5,452.55,517.41,1036.71,844.78,178.91,437.58,1889.03
Tax,1242.03,602.39,512.21,146.58,1486.32,427.92,414.75,274.94,12.47,57.75,409.42,202.13,-528.11,313.81,289.53,69.42,545.12,215.41,211.24,66.16,801.57,188.68,-140.37,253.67,796.89,228.31,163.13,156.87,737.65,296.19,111.01,107.58,444.35
P/L After Tax from Ordinary Activities,3958.25,1432.6,1490.36,1435.59,4292.04,1253.51,1235.3,814.19,2841.3,1153.99,1209.22,606.66,3101.96,937.55,848.22,198.77,1614.8,853.27,613.45,151.44,1241.11,425.31,624.46,566.14,1177.29,455.19,289.42,360.54,299.06,548.59,67.9,330.0,1444.68
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,3958.25,1432.6,1490.36,1435.59,4292.04,1253.51,1235.3,814.19,2841.3,1153.99,1209.22,606.66,3101.96,937.55,848.22,198.77,1614.8,853.27,613.45,151.44,1241.11,425.31,624.46,566.14,1177.29,455.19,289.42,360.54,1123.92,548.59,67.9,330.0,1444.68
Equity Share Capital,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,334.39,361.5,361.5
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,59.19,21.42,22.28,21.47,64.18,18.74,18.47,24.35,84.97,34.51,36.16,18.14,92.77,28.04,25.37,5.94,48.29,25.52,12.54,4.53,37.12,12.72,18.67,16.93,35.21,13.61,8.66,10.78,33.61,15.33,--,9.13,39.96
Diluted EPS,59.19,21.42,22.28,21.47,64.18,18.74,18.47,24.35,84.97,34.51,36.16,18.14,92.77,28.04,25.37,5.94,48.29,25.52,12.54,4.53,37.12,12.72,18.67,16.93,35.21,13.61,8.66,10.78,33.61,15.33,--,9.13,39.96
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
