Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,9306.41,9033.18,8525.48,8502.77,8957.25,8946.11,10516.54,9274.44,7893.22,7861.09,7308.47,7181.61,7259.78,7398.35,7479.29,6767.86,6960.14,6686.61,6569.41,6017.55,6121.54,6144.05,5857.21,5406.05,5611.87,5503.06,5207.76,5164.89,5215.46,5074.02,4696.56,4738.56,5428.38,4054.49,4055.32,-57.56
Other Operating Income,1659.35,1633.66,2214.98,1864.89,2700.85,2371.92,--,--,2238.3,2642.56,4232.89,1360.8,1200.53,2031.76,2153.46,1300.9,2197.22,1869.95,1370.81,857.54,1411.76,2228.81,1719.04,1481.99,1522.62,1344.75,1602.24,1466.32,1152.7,1237.93,1526.14,1248.73,1210.44,990.2,1314.74,317.18
Total Income From Operations,10965.76,10666.84,10740.46,10367.66,11658.1,11318.03,10516.54,9274.44,10131.52,10503.65,11541.36,8542.41,8460.31,9430.11,9632.75,8068.76,9157.36,8556.56,7940.22,6875.09,7533.3,8372.86,7576.25,6888.04,7134.49,6847.81,6810.0,6631.21,6368.16,6311.95,6222.7,5987.29,6638.82,5044.69,5370.06,259.62
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,257.15,810.17,704.31,840.87,1063.71,967.24,892.2,796.87,837.54,836.3,651.72,733.63,865.31,707.09,570.64,834.84,1003.74,1072.58,679.99,1491.58,700.37,689.99,652.37,648.52,1193.44,604.63,569.4,556.12,690.05,544.84,581.83,454.58,510.76,583.49,578.94,--
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
