Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,2550.1,2411.8,2324.8,2246.4,2351.2,2147.9,2136.1,2043.7,1878.2,1814.1,1766.1,1649.7,1548.1,1505.6,1447.3,1372.7,1303.0,1267.6,1207.9,1185.5,1324.1,1318.1,1293.4,1245.7,1239.3,1214.5,1184.1,1074.1,979.5,908.0,840.0,779.1,778.3,780.1,788.7,765.4,751.04,738.5,733.6,670.9
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2550.1,2411.8,2324.8,2246.4,2351.2,2147.9,2136.1,2043.7,1878.2,1814.1,1766.1,1649.7,1548.1,1505.6,1447.3,1372.7,1303.0,1267.6,1207.9,1185.5,1324.1,1318.1,1293.4,1245.7,1239.3,1214.5,1184.1,1074.1,979.5,908.0,840.0,779.1,778.3,780.1,788.7,765.4,751.04,738.5,733.6,670.9
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,1249.7,1238.7,1221.4,1170.3,1086.6,1103.5,1091.9,1068.2,1016.2,1016.1,996.4,923.0,818.5,808.0,792.5,773.7,756.1,756.9,738.1,756.6,754.4,787.2,773.6,753.1,742.5,751.8,730.3,681.1,629.4,588.3,567.7,498.4,501.5,492.1,492.4,487.8,242.19,460.8,464.4,436.3
Depreciation,58.9,69.3,71.8,66.0,68.0,65.0,61.5,51.2,50.2,51.7,50.8,49.7,45.4,45.7,45.4,46.1,43.4,43.9,44.9,41.5,40.8,39.8,37.2,35.6,15.5,19.0,19.7,18.9,18.0,13.1,13.3,13.2,13.4,13.6,13.9,16.6,16.74,13.7,12.7,11.0
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,522.6,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,848.9,700.2,681.1,630.6,774.4,589.5,588.3,547.0,442.1,387.9,377.8,352.8,384.7,349.1,323.5,304.6,277.3,251.2,253.0,236.8,331.8,263.5,252.0,234.5,269.3,233.4,233.9,205.3,198.6,178.7,141.5,153.0,146.5,134.2,134.2,121.5,-160.86,122.3,138.7,135.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",392.6,403.6,350.5,379.5,422.2,389.9,394.4,377.3,369.7,358.4,341.1,324.2,299.5,302.8,285.9,248.3,226.2,215.6,171.9,150.6,197.1,227.6,230.6,222.5,212.0,210.3,200.2,168.8,133.5,127.9,117.5,114.5,116.9,140.2,148.2,139.5,130.36,141.7,117.8,88.4
Other Income,49.3,30.2,68.2,63.5,49.6,63.6,41.5,48.0,48.4,73.5,38.9,44.8,41.9,37.2,29.7,44.9,36.5,48.4,75.9,13.5,63.3,44.6,49.7,54.7,34.7,36.7,55.4,24.4,71.5,42.4,46.0,28.2,2.6,16.2,14.2,22.5,4.47,27.1,24.5,19.3
"P/L Before Int., Excpt. Items & Tax",441.9,433.8,418.7,443.0,471.8,453.5,435.9,425.3,418.1,431.9,380.0,369.0,341.4,340.0,315.6,293.2,262.7,264.0,247.8,164.1,260.4,272.2,280.3,277.2,246.7,247.0,255.6,193.2,205.0,170.3,163.5,142.7,119.5,156.4,162.4,162.0,134.83,168.8,142.3,107.7
Interest,15.4,15.0,11.5,12.7,12.8,12.6,11.4,11.0,9.5,10.6,11.7,9.8,9.6,9.9,10.1,9.8,11.5,10.3,10.9,10.8,9.4,8.5,8.6,8.6,0.3,0.4,0.2,0.2,0.1,0.2,0.1,--,0.3,38.6,0.2,0.2,0.32,0.5,0.4,0.4
P/L Before Exceptional Items & Tax,426.5,418.8,407.2,430.3,459.0,440.9,424.5,414.3,408.6,421.3,368.3,359.2,331.8,330.1,305.5,283.4,251.2,253.7,236.9,153.3,251.0,263.7,271.7,268.6,246.4,246.6,255.4,193.0,204.9,170.1,163.4,142.7,119.2,117.8,162.2,161.8,134.51,168.3,141.9,107.3
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,426.5,418.8,407.2,430.3,459.0,440.9,424.5,414.3,408.6,421.3,368.3,359.2,331.8,330.1,305.5,283.4,251.2,253.7,236.9,153.3,251.0,263.7,271.7,268.6,246.4,246.6,255.4,193.0,204.9,170.1,163.4,142.7,119.2,117.8,162.2,161.8,134.51,168.3,141.9,107.3
Tax,112.1,118.0,114.2,117.7,129.7,119.9,116.3,114.7,116.6,133.8,99.9,96.7,89.9,87.2,80.4,74.8,60.6,63.9,58.0,39.5,60.3,65.4,68.7,70.6,61.3,65.9,65.4,48.7,56.5,50.5,45.9,38.8,26.1,--,43.5,42.4,22.77,37.2,39.6,18.2
P/L After Tax from Ordinary Activities,314.4,300.8,293.0,312.6,329.3,321.0,308.2,299.6,292.0,287.5,268.4,262.5,241.9,242.9,225.1,208.6,190.6,189.8,178.9,113.8,190.7,198.3,203.0,198.0,185.1,180.7,190.0,144.3,148.4,119.6,117.5,103.9,93.1,117.8,118.7,119.4,111.74,131.1,102.3,89.1
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,314.4,300.8,293.0,312.6,329.3,321.0,308.2,299.6,292.0,287.5,268.4,262.5,241.9,242.9,225.1,208.6,190.6,189.8,178.9,113.8,190.7,198.3,203.0,198.0,185.1,180.7,190.0,144.3,148.4,119.6,117.5,103.9,93.1,117.8,118.7,119.4,111.74,131.1,102.3,89.1
Equity Share Capital,21.2,21.2,21.2,21.2,21.2,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.0,21.0,21.0,21.0,21.0,20.9,20.9,20.9,20.8,20.8,20.8,20.8,20.7,20.5,20.5,20.4,20.4,20.3,20.3,20.3,20.3,20.3,300.0,300.0,300.0,300.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66.25,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,29.69,28.43,27.69,29.55,31.15,30.36,29.17,28.36,27.65,27.23,25.42,24.88,22.93,23.05,21.41,19.86,18.17,18.1,17.11,10.89,18.26,19.02,19.51,19.03,17.8,17.39,18.43,14.08,14.48,11.72,11.53,10.22,9.16,11.58,11.67,12.26,--,14.45,10.61,--
Diluted EPS,29.63,28.37,27.62,29.47,31.06,30.28,29.09,28.29,27.55,27.15,25.35,24.85,22.88,23.0,21.3,19.73,18.05,17.97,16.98,10.77,18.06,18.79,19.21,18.75,17.53,17.11,18.09,13.68,14.07,11.38,11.17,9.9,8.81,11.13,11.42,10.6,--,10.66,7.83,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
