Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Loans And Advances,Capital Goods,Equity Share Application Money,Long Term Borrowings
2004-03-31,15.05,15.05,-3.42,-3.42,11.63,0.0,0.0,0.0,1.06,0.0,12.86,0.02,12.87,25.99,14.57,0.0,0.0,0.0,14.57,0.0,0.0,0.0,14.57,0.0,0.0,10.97,0.45,0.0,11.43,25.99,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.06
2007-03-31,39.08,39.08,252.81,252.81,291.88,3.52,0.0,0.0,3.52,0.0,373.54,0.0,373.54,668.94,90.31,0.0,39.09,0.0,129.4,316.74,0.0,0.0,446.14,0.0,16.53,188.95,15.77,1.55,222.81,668.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,39.24,39.24,319.46,319.46,358.7,1.98,0.0,0.0,1.98,0.0,489.73,0.0,489.73,850.41,96.67,0.0,50.52,0.0,147.19,524.91,0.0,0.0,672.1,0.0,14.8,104.68,58.15,0.68,178.31,850.41,0.0,0.0,0.0,0.0,0.0,0.0,524.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,40.8,40.8,453.42,453.42,494.22,8.72,0.0,0.0,8.72,0.0,663.47,0.0,663.47,1166.41,208.59,0.0,0.27,0.0,208.86,469.83,0.0,0.0,678.69,0.0,26.9,405.8,45.85,9.18,487.72,1166.41,11.48,0.0,0.0,0.0,0.0,0.0,469.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,40.8,40.8,656.18,656.18,696.98,10.63,0.0,0.0,10.63,0.0,521.42,0.0,521.42,1229.03,192.52,0.0,0.27,0.0,192.79,617.23,0.0,0.0,810.02,0.0,30.38,270.01,110.79,7.83,419.01,1229.03,12.66,0.0,0.0,0.0,0.0,0.0,617.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,50.34,50.34,795.43,795.43,845.77,12.71,26.6,1.67,40.97,6.96,570.91,35.13,613.0,1499.74,141.18,54.12,0.01,0.0,195.3,181.99,0.0,8.09,451.97,641.57,48.87,325.74,22.95,8.65,1047.77,1499.74,16.99,11.85,1.17,1.24,10.2,0.0,181.99,0.0,641.57,0.0,66.6,0.0,0.0,0.0
2012-03-31,50.77,50.77,946.12,946.12,996.89,15.07,27.05,1.12,43.24,7.98,671.91,155.9,835.79,1875.92,136.87,50.7,0.14,0.0,187.71,220.81,0.0,77.69,548.53,929.4,51.43,312.4,28.27,5.89,1327.39,1875.92,6.55,12.22,1.47,1.12,10.2,0.0,220.81,0.0,929.4,0.0,62.32,0.54,0.0,0.0
2013-03-31,51.0,51.0,1105.75,1105.75,1156.75,19.64,36.36,0.89,56.89,10.02,470.14,91.98,572.14,1785.78,138.98,64.46,0.98,0.0,204.43,148.09,0.0,11.09,405.63,920.14,6.93,347.53,53.0,52.55,1380.15,1785.78,7.45,14.13,9.14,1.22,10.2,0.0,143.09,0.0,680.14,0.0,42.02,0.0,0.0,0.0
2014-03-31,51.0,51.0,1265.1,1265.1,1316.1,15.19,28.95,0.81,44.95,34.36,302.7,43.47,380.53,1741.57,130.15,43.13,0.24,0.0,173.53,13.24,0.0,0.0,214.83,1076.58,8.99,341.73,67.58,31.87,1526.74,1741.57,8.79,9.62,2.89,1.13,10.2,0.0,8.24,0.0,801.58,0.0,28.07,0.0,0.0,0.0
2015-03-31,51.0,51.0,1338.29,1338.29,1389.29,9.67,23.6,1.01,34.29,9.5,318.82,72.36,400.68,1824.26,114.08,28.74,0.0,2.28,145.1,13.19,0.0,0.0,196.5,1279.47,10.65,265.52,45.59,26.53,1627.76,1824.26,15.94,8.02,0.0,1.13,10.2,0.0,8.19,0.0,1143.04,0.0,38.22,0.0,0.0,0.0
2016-03-31,51.0,51.0,1427.0,1427.0,1477.99,0.0,20.38,1.24,21.61,18.79,338.65,1.19,358.64,1858.24,121.67,15.31,0.4,2.72,140.11,254.49,4.58,30.97,430.15,856.46,4.19,500.27,0.33,66.84,1428.1,1858.24,25.28,7.15,0.0,1.07,10.2,0.0,8.19,0.0,101.38,0.0,0.0,0.0,0.0,0.0
2017-03-31,51.0,51.0,1478.26,1478.26,1529.26,7.49,33.13,1.42,42.04,30.08,262.13,2.27,294.48,1865.78,140.08,11.7,0.24,0.12,152.14,440.42,0.0,408.98,1001.54,754.38,2.81,19.24,0.35,87.46,864.24,1865.78,57.5,7.99,0.0,1.12,10.2,0.0,8.19,0.0,70.87,0.0,0.0,0.0,0.0,0.0
2018-03-31,51.0,51.0,1505.87,1505.87,1556.87,17.05,22.3,1.48,40.83,41.4,321.3,0.9,363.6,1961.3,146.68,9.55,2.33,3.21,161.77,528.38,0.0,231.85,922.0,887.75,6.31,59.6,0.27,85.37,1039.3,1961.3,61.39,10.67,0.0,0.98,10.2,0.0,108.19,0.0,70.87,0.0,0.0,0.0,0.0,0.0
2019-03-31,51.0,51.0,1410.33,1410.33,1462.85,0.0,40.05,1.17,41.22,34.52,82.82,1.74,119.08,1623.15,141.25,15.61,0.03,18.92,175.81,723.62,2.98,68.1,970.51,528.39,9.08,36.9,0.21,78.06,652.64,1623.15,127.86,17.37,0.0,0.91,10.2,0.0,251.99,0.0,70.87,1.52,0.0,0.0,0.0,0.0
2020-03-31,51.0,51.0,1495.52,1495.52,1546.52,0.0,52.08,1.52,53.6,30.19,134.75,1.5,166.44,1766.56,143.37,14.1,0.47,22.63,180.57,833.99,9.38,67.1,1091.04,586.72,6.93,16.28,0.2,65.39,675.52,1766.56,126.22,18.3,0.0,1.46,10.2,0.0,251.99,0.0,67.13,0.0,0.0,0.0,0.0,0.0
2021-03-31,51.0,51.0,1529.36,1529.36,1580.36,0.0,52.94,1.88,54.82,22.22,124.27,1.74,148.23,1783.41,140.74,17.39,1.19,24.7,184.02,846.19,4.75,63.14,1098.1,598.45,10.97,4.32,0.05,71.52,685.31,1783.41,194.11,16.02,0.0,1.32,10.2,0.0,251.99,0.0,67.13,0.0,0.0,0.0,0.0,0.0
2022-03-31,51.0,51.0,1504.3,1504.3,1555.3,9.84,51.75,2.22,63.81,30.77,159.52,2.03,192.32,1811.43,137.15,15.44,43.37,50.91,246.87,684.39,0.0,63.28,994.54,713.49,13.13,14.27,0.0,76.0,816.89,1811.43,251.37,16.78,0.0,2.14,10.2,15.0,698.49,191.12,252.88,0.0,0.0,0.0,0.0,0.0
2023-03-31,51.0,51.0,1544.7,1544.7,1595.7,0.0,51.95,1.98,53.93,22.34,182.92,2.37,207.63,1857.26,131.15,13.64,51.87,116.45,313.11,1087.81,0.43,83.05,1484.4,128.34,11.61,13.65,0.0,219.26,372.86,1857.26,231.76,26.68,0.0,3.6,10.2,507.56,580.25,36.87,91.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,51.0,51.0,1499.19,1499.19,1550.19,9.8,52.43,2.25,64.48,56.36,139.63,0.63,196.62,1811.29,185.24,188.03,7.94,7.62,388.83,850.56,0.0,133.8,1373.19,286.35,58.47,16.96,0.0,76.32,438.1,1811.29,203.05,21.33,0.0,7.21,10.2,375.96,456.99,136.76,202.04,0.0,0.0,0.0,0.0,0.0
2025-03-31,51.0,51.0,1876.5,1876.5,1927.5,24.69,56.16,2.74,83.59,73.26,208.92,2.3,284.48,2295.57,236.4,181.01,6.12,0.0,423.53,1115.82,0.0,92.06,1631.41,512.95,8.09,44.78,0.0,98.34,664.16,2295.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
