Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,124.56,5.37,129.93,6.78,8.5,45.49,69.16,31.88,101.04,0.0,101.04,0.0,101.04,25.17,75.87,75.87,51.0,14.88,14.88,3.77,74.0,1.33,100.0,26.0
2013-03-31,120.66,6.0,126.66,6.62,8.43,50.38,61.22,42.38,103.6,0.03,103.57,0.0,103.57,26.95,76.63,76.63,51.0,15.03,15.03,3.77,74.0,1.33,100.0,26.0
2013-06-30,122.83,4.44,127.27,8.02,8.37,51.61,59.28,24.08,83.37,0.0,83.37,0.0,83.37,23.25,60.12,60.12,51.0,11.79,11.79,3.77,74.0,1.33,100.0,26.0
2013-09-30,81.23,6.8,88.03,7.84,7.86,61.49,10.84,23.98,34.81,0.0,34.81,0.0,34.81,7.76,27.05,27.05,51.0,5.3,5.3,3.77,74.0,1.33,100.0,26.0
2013-12-31,55.85,5.56,61.41,7.44,7.38,36.32,10.28,18.18,28.46,0.0,28.45,0.0,28.45,6.62,21.84,21.84,51.0,4.31,4.31,3.77,74.0,1.33,100.0,26.0
2014-03-31,59.81,4.15,63.96,8.05,10.7,14.17,31.04,33.03,64.07,1.06,63.01,0.0,63.01,19.26,43.75,43.75,51.0,8.63,8.62,3.77,74.0,1.33,100.0,26.0
2014-06-30,47.38,4.21,51.59,8.35,6.75,31.8,4.69,24.3,28.98,0.0,28.98,0.0,28.98,5.57,23.41,23.41,51.0,4.62,4.61,3.77,74.0,1.33,100.0,26.0
2014-09-30,49.8,5.02,54.83,9.21,6.42,27.59,11.6,26.68,38.28,1.37,36.91,0.0,36.91,7.54,29.38,29.38,51.0,5.79,5.79,5.1,100.0,0.0,0.0,0.0
2014-12-31,52.7,4.4,57.1,8.65,6.44,23.7,18.31,19.98,38.29,0.12,38.17,0.0,38.17,15.2,22.97,22.97,51.0,4.52,4.51,5.1,100.0,0.0,0.0,0.0
2015-03-31,53.7,5.27,58.97,8.72,6.32,16.89,27.04,38.83,65.87,-0.12,65.99,0.0,65.99,16.69,49.3,49.3,51.0,9.7,9.67,5.1,100.0,0.0,0.0,0.0
2015-06-30,51.78,4.44,56.21,9.2,6.26,28.15,12.59,19.96,32.55,0.11,32.45,0.0,32.45,11.22,21.23,21.23,51.0,4.18,4.18,5.1,100.0,0.0,0.0,0.0
