Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,319.79,319.79,197.45,8.18,-19.62,30.43,10.18,73.53,19.64,0.71,20.35,22.94,-2.59,6.88,4.29,2.3,1.99,1.99,25.3,0.08,0.08,6.66,26.33,16.8,90.13,66.4
2012-12-31,287.58,287.58,183.06,1.01,-20.17,29.49,10.18,62.07,21.94,4.17,26.11,22.63,3.48,1.25,4.73,0.0,4.73,4.73,25.3,0.19,0.19,6.66,26.33,16.8,90.13,66.4
2013-03-31,302.75,302.75,166.14,2.32,-7.57,28.25,9.53,67.65,36.43,2.35,38.78,23.34,15.44,-0.35,15.09,1.59,13.5,13.5,25.3,0.53,0.53,6.62,26.17,16.59,88.81,65.57
2013-06-30,314.66,314.66,216.78,1.95,-33.86,28.29,10.01,68.08,23.41,2.19,25.6,20.36,5.24,0.0,5.24,1.0,4.24,4.24,25.3,0.17,0.17,6.61,26.12,16.6,88.82,65.62
2013-09-30,300.68,300.68,208.96,0.42,-33.15,29.42,10.11,67.78,17.14,1.53,18.67,18.0,0.67,62.55,63.22,8.03,55.19,55.19,25.3,2.18,2.18,6.6,26.09,18.51,98.98,73.15
2013-12-31,345.29,345.29,192.37,0.46,21.41,31.73,9.92,69.03,20.37,2.49,22.86,18.87,3.99,0.59,4.58,1.58,3.0,3.0,25.3,0.12,0.12,6.6,26.09,18.51,98.98,73.15
2014-03-31,320.16,320.16,204.84,0.0,7.45,38.96,8.47,60.09,0.35,3.81,4.16,18.5,-14.34,-6.6,-20.94,-3.52,-17.42,-17.42,25.3,-0.69,-0.69,6.6,26.07,18.7,99.99,73.92
2014-06-30,285.57,285.57,183.4,1.38,-1.13,38.77,12.81,49.34,1.01,3.37,4.38,17.76,-13.38,-4.56,-17.94,-0.6,-17.34,-17.34,25.3,-0.69,-0.69,6.6,26.07,18.7,99.99,73.92
2014-09-30,377.64,377.64,184.83,0.01,64.37,35.74,13.26,53.59,25.84,-0.55,25.29,17.05,8.24,-0.12,8.12,-0.59,8.71,8.71,25.3,0.34,0.34,6.6,26.07,18.7,100.0,73.93
2014-12-31,321.84,321.84,183.53,2.81,-3.22,38.41,13.47,52.74,34.1,7.0,41.1,18.25,22.84,-5.64,17.2,2.65,14.56,14.56,25.3,0.58,0.58,6.56,25.94,18.74,100.0,74.06
2015-03-31,345.01,345.01,200.77,0.0,3.91,21.64,11.51,73.73,33.46,6.79,40.25,17.6,22.65,-4.72,17.94,9.24,8.7,8.7,25.3,0.34,0.34,6.56,25.94,18.74,100.0,74.06
2015-06-30,304.21,304.21,207.76,0.0,-27.82,24.75,12.55,63.86,23.12,1.51,24.63,15.72,8.91,0.0,8.91,2.2,6.71,6.71,25.3,0.27,0.27,6.56,25.94,18.74,100.0,74.06
2015-09-30,313.1,313.1,144.93,0.0,44.45,24.12,11.42,69.77,18.4,2.62,21.03,13.75,7.28,0.0,7.28,1.7,5.58,5.58,25.3,0.22,0.22,6.55,25.91,18.75,100.0,74.09
