Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,2246.87,2084.14,1891.22,1823.73,1981.79,1982.38,1657.22,1475.01,1396.35
Other Operating Income,608.31,352.24,343.13,281.71,274.37,303.18,247.4,225.97,205.27
Total Income From Operations,2855.18,2436.38,2234.35,2105.44,2256.16,2285.56,1904.62,1700.98,1601.62
EXPENDITURE,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--
Employees Cost,56.47,86.2,90.48,88.37,59.22,76.94,65.77,68.28,45.95
Depreciation,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,8.42,104.67,81.27,50.75,147.72,--,-297.95,150.23,--
R & D Expenses,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--
Other Expenses,2675.05,2127.06,1973.19,1865.06,2464.59,2165.76,2109.11,1424.03,1530.16
"P/L Before Other Inc. , Int., Excpt. Items & Tax",115.24,118.45,89.41,101.26,-415.37,42.86,27.69,58.44,25.51
Other Income,0.37,0.07,0.06,0.08,468.03,0.01,--,0.02,0.01
"P/L Before Int., Excpt. Items & Tax",115.61,118.52,89.47,101.34,52.66,42.87,27.69,58.46,25.52
Interest,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,115.61,118.52,89.47,101.34,52.66,42.87,27.69,58.46,25.52
Exceptional Items,--,--,--,--,--,--,--,--,--
P/L Before Tax,115.61,118.52,89.47,101.34,52.66,42.87,27.69,58.46,25.52
Tax,--,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,115.61,118.52,89.47,101.34,52.66,42.87,27.69,58.46,25.52
Prior Year Adjustments,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,115.61,118.52,89.47,101.34,52.66,42.87,27.69,58.46,25.52
Equity Share Capital,923.03,922.24,920.98,917.2,875.16,874.7,875.16,874.02,874.02
Reserves Excluding Revaluation Reserves,3142.37,3030.43,2917.07,2813.5,1671.46,1615.67,--,1537.95,1478.29
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,
Basic EPS,1.25,1.29,0.97,1.13,0.6,0.49,0.32,0.67,0.29
Diluted EPS,1.25,1.28,0.96,1.12,0.59,0.48,--,0.66,0.29
EPS After Extra Ordinary,,,,,,,,,
Public Share Holding,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,
Notes,,,,,,,,,
