Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,3.0,3.0,18.07,18.07,21.07,17.9,0.0,0.0,20.68,0.0,0.0,11.27,5.83,17.1,58.85,23.0,0.0,0.96,0.0,0.0,23.96,3.7,0.0,0.0,0.11,27.77,0.0,17.06,9.51,0.93,3.58,0.0,31.08,58.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.0,3.0,20.14,20.14,23.14,20.85,0.0,0.0,24.01,0.0,0.0,10.69,6.58,17.27,64.43,25.06,0.0,0.28,0.0,0.0,25.34,5.6,0.0,0.0,0.0,30.94,0.0,16.59,12.13,0.74,4.03,0.0,33.49,64.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,3.0,3.0,26.12,26.12,29.12,19.67,0.0,0.0,23.73,10.6,9.09,6.06,6.93,32.68,85.54,25.27,10.01,2.08,0.0,0.0,37.37,6.6,0.28,0.0,0.0,44.26,0.0,20.71,14.5,0.33,5.75,0.0,41.28,85.54,8.6,0.0,0.0,0.05,0.0,6.6,0.0,0.0,4.06,0.78,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,21.4,21.4,16.78,16.78,38.18,16.33,0.0,0.0,20.79,19.74,15.96,8.56,13.03,57.29,116.25,27.06,10.01,2.99,0.0,0.0,40.07,0.0,0.37,0.0,0.0,40.44,0.0,30.99,27.14,1.44,16.23,0.0,75.82,116.25,18.35,0.0,0.0,0.04,18.0,0.0,0.0,0.0,4.46,1.32,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,29.85,29.85,87.99,87.99,117.83,13.45,0.0,0.0,18.02,22.46,17.15,15.59,32.41,87.6,223.46,33.15,10.62,15.53,0.0,0.0,59.3,15.0,0.38,0.0,0.0,74.68,0.0,43.41,37.94,38.56,28.86,0.0,148.78,223.46,49.45,0.05,0.0,0.01,18.0,15.0,0.0,0.0,4.57,1.33,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,29.85,29.85,96.6,96.6,126.45,8.34,0.0,0.0,13.6,17.91,25.37,10.0,42.27,95.54,235.59,60.66,10.62,25.77,0.0,0.0,97.05,11.36,0.83,0.0,0.0,109.24,0.0,35.86,48.75,4.09,37.65,0.0,126.35,235.59,6.74,0.03,0.0,0.08,18.0,11.36,0.0,0.0,5.25,5.11,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,29.85,29.85,111.63,111.63,141.48,9.99,0.0,0.0,16.85,70.52,55.25,13.77,13.42,152.97,311.3,101.68,10.62,2.89,0.0,0.0,115.19,4.58,1.14,0.0,0.0,120.9,0.0,98.53,75.6,7.41,8.86,0.0,190.4,311.3,4.69,0.07,0.0,0.09,18.0,4.58,0.0,0.0,6.87,14.49,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,29.85,29.85,142.13,142.13,171.98,2.63,8.21,1.83,18.8,134.93,52.63,12.22,14.42,214.2,404.98,108.6,5.17,1.45,0.0,0.0,115.22,0.0,0.0,3.12,0.0,118.34,0.0,142.43,123.07,7.1,12.63,1.41,286.64,404.98,23.39,0.06,0.0,0.02,18.0,0.0,0.0,0.0,6.12,2.66,0.88,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,29.85,29.85,180.79,180.79,210.64,19.72,9.77,4.49,38.25,85.21,98.15,18.45,19.98,221.79,470.67,115.89,7.16,11.08,0.0,0.0,134.13,0.0,0.0,4.76,0.0,138.89,0.0,157.42,147.82,3.37,23.14,0.03,331.78,470.67,10.27,0.06,0.0,0.1,18.0,0.0,0.0,0.0,4.26,4.07,1.32,45.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,29.85,29.85,231.48,231.48,261.33,32.04,10.58,3.41,53.93,125.39,162.93,30.08,21.2,339.61,654.86,131.32,6.89,7.36,1.4,0.0,146.97,0.0,0.0,11.78,0.11,158.87,0.0,248.57,198.8,14.97,33.62,0.04,496.0,654.86,47.91,0.43,0.09,0.11,18.0,0.0,0.0,0.0,7.9,5.88,2.61,78.57,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,29.85,29.85,288.59,288.59,318.43,31.0,11.73,4.07,56.35,68.18,175.26,29.08,27.66,300.18,674.96,158.21,7.99,3.41,0.05,0.0,169.66,0.0,0.0,9.0,0.01,178.67,0.0,252.55,212.1,2.77,28.78,0.1,496.29,674.96,64.06,0.15,0.11,2.08,18.0,0.0,0.0,0.0,9.54,15.31,4.17,72.2,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,29.97,29.97,347.76,347.76,377.74,21.2,12.56,5.52,48.51,36.77,193.4,30.45,38.05,298.67,724.92,155.54,6.84,1.21,0.0,0.0,163.58,0.0,0.0,18.78,0.02,182.38,0.0,260.88,243.71,2.21,35.65,0.09,542.54,724.92,66.49,0.29,0.08,1.62,18.0,0.0,0.0,0.0,9.24,26.87,6.49,87.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,30.09,30.09,440.69,440.69,470.77,5.6,7.46,5.46,30.63,1.54,151.11,28.17,34.3,215.11,716.51,155.2,5.82,0.08,0.0,0.0,161.09,0.0,0.0,20.07,0.04,181.2,19.39,204.69,279.24,7.59,23.33,1.08,535.31,716.51,70.22,0.15,0.17,0.17,18.0,0.0,19.39,0.0,12.1,37.22,3.3,80.99,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,42.47,42.47,591.9,591.9,634.36,2.4,0.0,6.72,13.1,0.06,218.61,43.37,24.77,286.81,934.27,163.68,4.7,10.42,0.0,0.27,179.06,0.0,0.0,6.74,26.69,212.5,88.87,274.33,312.12,14.96,2.72,28.77,721.77,934.27,72.96,0.0,0.0,0.0,30.13,0.0,88.87,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,42.57,42.57,709.05,709.05,751.61,0.0,3.34,8.44,14.73,0.0,328.59,32.97,26.74,388.3,1154.64,196.44,4.14,7.46,0.0,0.28,208.33,8.85,0.0,7.32,22.28,246.78,75.16,310.51,444.49,5.04,2.5,70.16,907.86,1154.64,96.06,2.06,0.0,1.29,30.13,0.0,75.16,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,42.69,42.69,856.96,856.96,899.65,0.0,3.64,11.21,17.08,10.02,353.07,45.17,31.22,439.48,1356.22,210.04,3.47,7.71,0.0,0.28,221.5,8.85,0.0,6.06,41.03,277.44,83.13,370.88,454.32,84.65,3.33,82.47,1078.78,1356.22,154.12,261.24,0.0,2.86,30.13,0.0,83.13,0.01,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
